[20190512_142059 / views.py:16388]
fname_Src_CSV	44_5.1_10_rawdata.(AUDJPY).(Period-M15).(NumOfUnits-18000).(Bars-ALL-20190424_184417).20190311_081029.[SLICE-1000].csv
slice by	through
this file	(20190512_142059).(AUDJPY-M15).[sec-1.A-6.3-seq-list].(20190512_142059).csv
pair	AUDJPY
timeframe	M15
start	2019.04.10 02:45
end	2019.04.24 12:30
bars	1000

[20190512_142059 / views.py:16463]
[lo_UUU : 118]==============================
s.n.	e0.date	e1.date	e2.date	e0.diff	e1.diff	e2.diff
63	2019.04.17 15:00	2019.04.17 15:15	2019.04.17 15:30	0.007	0.004	0.040
64	2019.04.17 15:15	2019.04.17 15:30	2019.04.17 15:45	0.004	0.040	0.000
65	2019.04.17 17:15	2019.04.17 17:30	2019.04.17 17:45	0.049	0.033	0.042
66	2019.04.17 20:00	2019.04.17 20:15	2019.04.17 20:30	0.030	0.033	0.052
67	2019.04.17 21:15	2019.04.17 21:30	2019.04.17 21:45	0.002	0.016	0.018
68	2019.04.17 21:30	2019.04.17 21:45	2019.04.17 22:00	0.016	0.018	0.026
69	2019.04.17 21:45	2019.04.17 22:00	2019.04.17 22:15	0.018	0.026	0.006
70	2019.04.17 22:00	2019.04.17 22:15	2019.04.17 22:30	0.026	0.006	0.015
71	2019.04.17 23:00	2019.04.17 23:15	2019.04.17 23:30	0.013	0.009	0.015
72	2019.04.17 23:15	2019.04.17 23:30	2019.04.17 23:45	0.009	0.015	0.022
73	2019.04.17 23:30	2019.04.17 23:45	2019.04.18 00:00	0.015	0.022	0.000
74	2019.04.18 05:00	2019.04.18 05:15	2019.04.18 05:30	0.037	0.064	0.009
75	2019.04.18 05:15	2019.04.18 05:30	2019.04.18 05:45	0.064	0.009	0.008
76	2019.04.18 05:30	2019.04.18 05:45	2019.04.18 06:00	0.009	0.008	0.028
77	2019.04.18 08:00	2019.04.18 08:15	2019.04.18 08:30	0.035	0.000	0.019
78	2019.04.18 09:00	2019.04.18 09:15	2019.04.18 09:30	0.035	0.025	0.005
79	2019.04.18 11:15	2019.04.18 11:30	2019.04.18 11:45	0.002	0.026	0.005
80	2019.04.18 13:00	2019.04.18 13:15	2019.04.18 13:30	0.012	0.007	0.010
81	2019.04.18 13:15	2019.04.18 13:30	2019.04.18 13:45	0.007	0.010	0.008
82	2019.04.18 21:30	2019.04.18 21:45	2019.04.18 22:00	0.033	0.001	0.008
83	2019.04.18 21:45	2019.04.18 22:00	2019.04.18 22:15	0.001	0.008	0.006
84	2019.04.19 01:00	2019.04.19 01:15	2019.04.19 01:30	0.031	0.000	0.003
85	2019.04.19 01:15	2019.04.19 01:30	2019.04.19 01:45	0.000	0.003	0.009
86	2019.04.19 04:15	2019.04.19 04:30	2019.04.19 04:45	0.006	0.011	0.016
87	2019.04.19 05:45	2019.04.19 06:00	2019.04.19 06:15	0.000	0.002	0.004
88	2019.04.19 06:00	2019.04.19 06:15	2019.04.19 06:30	0.002	0.004	0.007
89	2019.04.19 06:15	2019.04.19 06:30	2019.04.19 06:45	0.004	0.007	0.001
90	2019.04.19 08:00	2019.04.19 08:15	2019.04.19 08:30	0.008	0.009	0.022
91	2019.04.19 08:15	2019.04.19 08:30	2019.04.19 08:45	0.009	0.022	0.006
92	2019.04.19 08:30	2019.04.19 08:45	2019.04.19 09:00	0.022	0.006	0.002
93	2019.04.19 08:45	2019.04.19 09:00	2019.04.19 09:15	0.006	0.002	0.018
94	2019.04.19 09:45	2019.04.19 10:00	2019.04.19 10:15	0.004	0.027	0.004
95	2019.04.19 10:00	2019.04.19 10:15	2019.04.19 10:30	0.027	0.004	0.021
96	2019.04.19 14:15	2019.04.19 14:30	2019.04.19 14:45	0.015	0.014	0.003
97	2019.04.19 23:45	2019.04.22 00:00	2019.04.22 00:15	0.016	0.034	0.006
98	2019.04.22 00:00	2019.04.22 00:15	2019.04.22 00:30	0.034	0.006	0.001
99	2019.04.22 01:00	2019.04.22 01:15	2019.04.22 01:30	0.036	0.020	0.008
100	2019.04.22 12:30	2019.04.22 12:45	2019.04.22 13:00	0.001	0.006	0.021
101	2019.04.22 12:45	2019.04.22 13:00	2019.04.22 13:15	0.006	0.021	0.004
102	2019.04.22 20:00	2019.04.22 20:15	2019.04.22 20:30	0.009	0.003	0.010
103	2019.04.22 22:00	2019.04.22 22:15	2019.04.22 22:30	0.023	0.011	0.001
104	2019.04.22 23:00	2019.04.22 23:15	2019.04.22 23:30	0.004	0.012	0.025
105	2019.04.23 00:00	2019.04.23 00:15	2019.04.23 00:30	0.025	0.010	0.049
106	2019.04.23 01:00	2019.04.23 01:15	2019.04.23 01:30	0.003	0.001	0.020
107	2019.04.23 06:15	2019.04.23 06:30	2019.04.23 06:45	0.023	0.024	0.013
108	2019.04.23 21:15	2019.04.23 21:30	2019.04.23 21:45	0.001	0.011	0.015
109	2019.04.23 21:30	2019.04.23 21:45	2019.04.23 22:00	0.011	0.015	0.028
110	2019.04.23 21:45	2019.04.23 22:00	2019.04.23 22:15	0.015	0.028	0.015
111	2019.04.23 22:00	2019.04.23 22:15	2019.04.23 22:30	0.028	0.015	0.002
112	2019.04.23 22:15	2019.04.23 22:30	2019.04.23 22:45	0.015	0.002	0.054
113	2019.04.24 05:15	2019.04.24 05:30	2019.04.24 05:45	0.050	0.002	0.008
114	2019.04.24 07:00	2019.04.24 07:15	2019.04.24 07:30	0.055	0.038	0.021
115	2019.04.24 07:15	2019.04.24 07:30	2019.04.24 07:45	0.038	0.021	0.009
116	2019.04.24 08:15	2019.04.24 08:30	2019.04.24 08:45	0.035	0.002	0.006
117	2019.04.24 11:15	2019.04.24 11:30	2019.04.24 11:45	0.012	0.026	0.023
118	2019.04.24 11:30	2019.04.24 11:45	2019.04.24 12:00	0.026	0.023	0.051
