[20190326_131944 / views.py:11279]
fname_Src_CSV	44_5.1_10_rawdata.(USDJPY).(Period-M5).(NumOfUnits-50000).(Bars-ALL-20190322_165334).20190322_165012.csv
slice by	through
this file	(20190326_131939).(USDJPY-M5).[sec-1~BB-histogram.UU-UD-DU-DD].csv 
pair	USDJPY
timeframe	M5
start	2018.06.19 20:55
end	2019.03.22 10:50
total bars	50000

[20190326_131944 / views.py:11298]
[in-BB locations]==============================
loc.	UU	UD	DU	DD	%UU	%UD	%DU	%DD
> 2S	1100	1386	97	151	0.0954	0.1140	0.0080	0.0132
2S >= / >= 1S	2994	3342	1639	1804	0.2596	0.2748	0.1353	0.1577
1S > / >= main	2826	3012	2919	2853	0.2451	0.2477	0.2409	0.2494
main > / >= M1S	2661	2721	2890	2641	0.2308	0.2238	0.2385	0.2309
M1S > / >= M2S	1800	1587	3075	2804	0.1561	0.1305	0.2538	0.2451
M2S >	150	112	1496	1186	0.0130	0.0092	0.1235	0.1037
