Pair=EURJPY;Period=M1;Days=25000;Shift=1;Bars=1500000;Time=20181208_073419
no;Open;High;Low;Close;RSI;MFI;BB.2s;BB.1s;BB.main;BB.-1s;BB.-2s;Diff;High/Low;datetime;dateTime_Local
11496;128.528;128.541;128.526;128.541;60.092313712527;56.42903520210255;128.5415229733403;128.5328114866704;128.5241000000005;128.5153885133306;128.5066770266607;0.01300000000000523;0.01499999999998636;2018.11.27 23:44;2018.11.28 06:44;15
11497;128.528;128.53;128.526;128.527;53.77539250368417;55.4745948885427;128.5387354033739;128.5308177016872;128.5229000000005;128.5149822983138;128.5070645966271;-0.001000000000004775;0.003999999999990678;2018.11.27 23:43;2018.11.28 06:43;16
11498;128.537;128.54;128.527;128.527;53.77539250368417;55.0729135097168;128.5385484755394;128.53034923777;128.5221500000005;128.5139507622311;128.5057515244616;-0.01000000000001933;0.01300000000000523;2018.11.27 23:42;2018.11.28 06:42;17
11499;128.532;128.537;128.532;128.537;59.88614106583714;57.4316507491218;128.5382766062758;128.5298133031382;128.5213500000005;128.5128866968628;128.5044233937252;0.004999999999995453;0.004999999999995453;2018.11.27 23:41;2018.11.28 06:41;18
11500;128.531;128.534;128.526;128.533;58.07580521502477;54.66079059331753;128.5357544491981;128.5280272245993;128.5203000000005;128.5125727754018;128.504845550803;0.001999999999981128;0.007999999999981355;2018.11.27 23:40;2018.11.28 06:40;19
11501;128.533;128.534;128.531;128.532;57.62157804975087;55.49997293268013;128.5338596657348;128.5266798328676;128.5195000000005;128.5123201671334;128.5051403342662;-0.0009999999999763531;0.002999999999985903;2018.11.27 23:39;2018.11.28 06:39;20
11502;128.53;128.533;128.53;128.532;57.62157804975087;54.92340848537683;128.5327292276207;128.5259646138106;128.5192000000005;128.5124353861904;128.5056707723803;0.00200000000000955;0.002999999999985903;2018.11.27 23:38;2018.11.28 06:38;21
11503;128.521;128.531;128.519;128.531;57.2031046579545;55.27097373065664;128.5320649913566;128.5255574956786;128.5190500000005;128.5125425043225;128.5060350086444;0.01000000000001933;0.01200000000000045;2018.11.27 23:37;2018.11.28 06:37;22
11504;128.518;128.521;128.517;128.521;52.77274057112929;54.45113419326955;128.5302050836512;128.5243025418258;128.5184000000005;128.5124974581751;128.5065949163498;0.002999999999985903;0.003999999999990678;2018.11.27 23:36;2018.11.28 06:36;23
11505;128.528;128.528;128.517;128.517;50.83884588634105;55.17335811963934;128.5299952117908;128.5241226058957;128.5182500000005;128.5123773941053;128.5065047882102;-0.01099999999999568;0.01099999999999568;2018.11.27 23:35;2018.11.28 06:35;24
11506;128.523;128.528;128.523;128.527;56.31572798355916;60.62272438503353;128.5300320075013;128.5241660037509;128.5183000000005;128.5124339962501;128.5065679924996;0.003999999999990678;0.004999999999995453;2018.11.27 23:34;2018.11.28 06:34;25
11507;128.519;128.53;128.519;128.522;53.95976278375077;60.21017375160852;128.5288381157817;128.5233190578911;128.5178000000005;128.5122809421099;128.5067618842192;0.002999999999985903;0.01099999999999568;2018.11.27 23:33;2018.11.28 06:33;26
11508;128.52;128.524;128.519;128.519;52.49954929991898;58.69626134103771;128.5284003393618;128.5228751696811;128.5173500000005;128.5118248303198;128.5062996606392;-0.001000000000004775;0.004999999999995453;2018.11.27 23:32;2018.11.28 06:32;27
11509;128.522;128.523;128.521;128.521;53.57571494388541;63.51410383062839;128.5283073764581;128.5226286882293;128.5169500000005;128.5112713117717;128.5055926235429;-0.001000000000004775;0.00200000000000955;2018.11.27 23:31;2018.11.28 06:31;28
11510;128.518;128.523;128.518;128.521;53.57571494388541;63.11520975712315;128.5281338497545;128.5222169248775;128.5163000000005;128.5103830751235;128.5044661502465;0.002999999999985903;0.004999999999995453;2018.11.27 23:30;2018.11.28 06:30;29
11511;128.502;128.519;128.501;128.519;52.70067946762216;63.31548205328091;128.5278036002901;128.5217268001453;128.5156500000004;128.5095731998556;128.5034963997108;0.01699999999999591;0.01800000000000068;2018.11.27 23:29;2018.11.28 06:29;30
11512;128.515;128.515;128.5;128.501;43.6136849783727;61.75655535221865;128.5279522028796;128.52142610144;128.5149000000004;128.5083738985608;128.5018477971212;-0.01399999999998158;0.01499999999998636;2018.11.27 23:28;2018.11.28 06:28;31
11513;128.518;128.518;128.515;128.516;51.43684139656514;67.58975460872966;128.5276491106411;128.5213245553208;128.5150000000004;128.5086754446801;128.5023508893598;-0.00200000000000955;0.003000000000014325;2018.11.27 23:27;2018.11.28 06:27;32
11514;128.519;128.521;128.519;128.52;53.88547192438738;67.9668071191528;128.5284211110682;128.5213105555343;128.5142000000004;128.5070894444666;128.4999788889327;0.001000000000004775;0.001999999999981128;2018.11.27 23:26;2018.11.28 06:26;33
11515;128.517;128.52;128.517;128.518;52.81859719897715;63.11497479317243;128.5277942845481;128.5207971422743;128.5138000000005;128.5068028577267;128.4998057154528;0.001000000000004775;0.003000000000014325;2018.11.27 23:25;2018.11.28 06:25;34
11516;128.514;128.52;128.514;128.517;52.29434637912004;58.17710301036969;128.5274132608001;128.5204816304003;128.5135500000004;128.5066183696006;128.4996867392007;0.002999999999985903;0.006000000000000227;2018.11.27 23:24;2018.11.28 06:24;35
11517;128.51;128.513;128.506;128.512;49.63619046060182;56.90620321619406;128.5273202749615;128.520410137481;128.5135000000004;128.5065898625199;128.4996797250394;0.00200000000000955;0.007000000000005002;2018.11.27 23:23;2018.11.28 06:23;36
11518;128.516;128.516;128.51;128.511;49.09729432488079;58.19211553910666;128.527543409985;128.5206217049927;128.5137000000005;128.5067782950082;128.4998565900159;-0.004999999999995453;0.006000000000000227;2018.11.27 23:22;2018.11.28 06:22;37
11519;128.517;128.518;128.515;128.516;51.72629997968784;56.59324231496827;128.5277699131695;128.520859956585;128.5139500000004;128.5070400434159;128.5001300868314;-0.001000000000004775;0.003000000000014325;2018.11.27 23:21;2018.11.28 06:21;38
11520;128.527;128.528;128.516;128.517;52.25796743343289;62.21097331070409;128.5296559590895;128.522102979545;128.5145500000004;128.5069970204559;128.4994440409114;-0.009999999999990905;0.01200000000000045;2018.11.27 23:20;2018.11.28 06:20;39
11521;128.529;128.529;128.526;128.526;57.29292444677544;70.9052020553948;128.5300846013973;128.5224173006989;128.5147500000004;128.507082699302;128.4994153986036;-0.002999999999985903;0.002999999999985903;2018.11.27 23:19;2018.11.28 06:19;40
11522;128.517;128.53;128.517;128.529;59.09595616872675;73.61475538150115;128.5300846013973;128.5224173006989;128.5147500000004;128.507082699302;128.4994153986036;0.01200000000000045;0.01300000000000523;2018.11.27 23:18;2018.11.28 06:18;41
11523;128.517;128.519;128.516;128.518;54.05991584406434;75.96002025516606;128.5277982013229;128.5208491006617;128.5139000000005;128.5069508993392;128.500001798678;0.001000000000004775;0.003000000000014325;2018.11.27 23:17;2018.11.28 06:17;42
11524;128.517;128.518;128.515;128.518;54.05991584406434;65.51152336029047;128.5273636214609;128.5204318107307;128.5135000000004;128.5065681892702;128.4996363785399;0.001000000000004775;0.003000000000014325;2018.11.27 23:16;2018.11.28 06:16;43
11525;128.517;128.521;128.516;128.518;54.05991584406434;70.26162889017841;128.527767719363;128.5207088596817;128.5136500000005;128.5065911403192;128.4995322806379;0.001000000000004775;0.004999999999995453;2018.11.27 23:15;2018.11.28 06:15;44
11526;128.513;128.518;128.508;128.517;53.61479227518893;71.68956210481221;128.5302386323132;128.5222693161568;128.5143000000004;128.5063306838441;128.4983613676877;0.003999999999990678;0.009999999999990905;2018.11.27 23:14;2018.11.28 06:14;45
11527;128.51;128.515;128.51;128.513;51.84164824119318;64.275805103176;128.5300841386718;128.5218920693361;128.5137000000005;128.5055079306648;128.4973158613292;0.003000000000014325;0.004999999999995453;2018.11.27 23:13;2018.11.28 06:13;46
11528;128.509;128.513;128.508;128.511;50.95103746700665;59.0322919425136;128.530117847663;128.5217089238317;128.5133000000005;128.5048910761692;128.4964821523379;0.00200000000000955;0.004999999999995453;2018.11.27 23:12;2018.11.28 06:12;47
11529;128.508;128.509;128.508;128.508;49.62346107498431;54.3275570524143;128.530457046005;128.5220285230028;128.5136000000005;128.5051714769982;128.4967429539959;0.0;0.0009999999999763531;2018.11.27 23:11;2018.11.28 06:11;48
11530;128.505;128.508;128.504;128.508;49.62346107498431;56.95344609425251;128.5319756974115;128.523237848706;128.5145000000005;128.505762151295;128.4970243025895;0.003000000000014325;0.004000000000019099;2018.11.27 23:10;2018.11.28 06:10;49
11531;128.504;128.507;128.503;128.504;47.92746693763504;59.90221117800631;128.5338418014427;128.5246959007216;128.5155500000005;128.5064040992794;128.4972581985583;0.0;0.004000000000019099;2018.11.27 23:09;2018.11.28 06:09;50
11532;128.501;128.51;128.501;128.503;47.50775162956374;61.57710044977642;128.5350023971033;128.5258761985519;128.5167500000005;128.5076238014491;128.4984976028976;0.001999999999981128;0.00899999999998613;2018.11.27 23:08;2018.11.28 06:08;51
11533;128.511;128.511;128.5;128.5;46.27357037584895;56.32408138444556;128.5345082833257;128.5258291416631;128.5171500000005;128.5084708583378;128.4997917166752;-0.01099999999999568;0.01099999999999568;2018.11.27 23:07;2018.11.28 06:07;52
11534;128.512;128.513;128.511;128.512;50.81346965215312;60.82312928495229;128.5335674669254;128.525583733463;128.5176000000005;128.509616266538;128.5016325330755;0.0;0.00200000000000955;2018.11.27 23:06;2018.11.28 06:06;53
11535;128.517;128.517;128.511;128.513;51.21122934176106;58.99008417359317;128.5337389106129;128.5255694553067;128.5174000000005;128.5092305446943;128.5010610893881;-0.003999999999990678;0.006000000000000227;2018.11.27 23:05;2018.11.28 06:05;54
11536;128.517;128.517;128.516;128.516;52.37978798992732;62.50170248652935;128.5338014349836;128.525525717492;128.5172500000005;128.5089742825089;128.5006985650174;-0.001000000000004775;0.001000000000004775;2018.11.27 23:04;2018.11.28 06:04;55
11537;128.515;128.517;128.515;128.516;52.37978798992732;64.10917267253336;128.5337690190535;128.525384509527;128.5170000000005;128.5086154904739;128.5002309809474;0.001000000000004775;0.00200000000000955;2018.11.27 23:03;2018.11.28 06:03;56
11538;128.526;128.528;128.515;128.516;52.37978798992732;62.61125691949754;128.5344145258682;128.5253322629343;128.5162500000005;128.5071677370666;128.4980854741327;-0.01000000000001933;0.01300000000000523;2018.11.27 23:02;2018.11.28 06:02;57
