[20190503_001757 / libfx_2.py:6507]
file(this)	data.[Sec_1_A12_Detect].[dp-mountain~list].(20190503_001459).dat
pair	AUDJPY
timeframe	M15
source	44_5.1_10_rawdata.(AUDJPY).(Period-M15).(NumOfUnits-18000).(Bars-ALL-20190424_184417).20190311_081029.[SLICE-1000].csv
start	2019.04.10 02:45
end	2019.04.24 12:30
ratioOf_TS	0.300
lenOf_LO_BDs	1000

------------------------------
s.n.	BD.start	list_index	open	close	BB.2S	BB.1S	BB.main	BB.M1S	BB.M2S	BD.anchor	list_index	open	close	BB.2S	BB.1S	BB.main	BB.M1S	BB.M2S	BD.end(curr)	list_index	open	close	BB.2S	BB.1S	BB.main	BB.M1S	BB.M2S	
94	2019.04.18 23:00	657	79.976	80.037	80.035	80.004	79.974	79.944	79.913	2019.04.19 01:45	668	80.060	80.069	80.085	80.051	80.018	79.985	79.951	2019.04.19 02:45	672	80.059	80.024	80.083	80.058	80.033	80.008	79.984
95	2019.04.19 03:00	673	80.018	80.033	80.082	80.059	80.035	80.011	79.988	2019.04.19 03:00	673	80.018	80.033	80.082	80.059	80.035	80.011	79.988	2019.04.19 03:15	674	80.032	80.021	80.081	80.059	80.036	80.013	79.990
96	2019.04.19 04:15	678	79.988	79.994	80.077	80.056	80.035	80.014	79.993	2019.04.19 04:45	680	80.005	80.021	80.077	80.055	80.033	80.011	79.989	2019.04.19 05:15	682	80.017	80.004	80.077	80.054	80.031	80.008	79.984
97	2019.04.19 06:00	685	79.999	80.001	80.073	80.049	80.024	80.000	79.975	2019.04.19 06:45	688	80.013	80.014	80.056	80.037	80.017	79.997	79.978	2019.04.19 07:00	689	80.014	80.007	80.052	80.034	80.015	79.996	79.978
98	2019.04.19 07:30	691	79.999	80.007	80.031	80.020	80.009	79.998	79.987	2019.04.19 07:30	691	79.999	80.007	80.031	80.020	80.009	79.998	79.987	2019.04.19 07:45	692	80.009	80.000	80.029	80.019	80.008	79.997	79.987
99	2019.04.19 08:00	693	79.999	80.007	80.025	80.016	80.007	79.998	79.989	2019.04.19 09:15	698	80.049	80.067	80.053	80.034	80.015	79.997	79.978	2019.04.19 09:30	699	80.066	80.026	80.054	80.035	80.016	79.998	79.979
100	2019.04.19 09:45	700	80.026	80.030	80.055	80.036	80.017	79.998	79.979	2019.04.19 10:30	703	80.059	80.080	80.076	80.051	80.026	80.001	79.976	2019.04.19 11:00	705	80.072	80.062	80.085	80.059	80.033	80.006	79.980
101	2019.04.19 11:30	707	80.060	80.063	80.090	80.064	80.038	80.012	79.985	2019.04.19 11:30	707	80.060	80.063	80.090	80.064	80.038	80.012	79.985	2019.04.19 11:45	708	80.063	80.060	80.092	80.066	80.040	80.014	79.988
102	2019.04.19 12:00	709	80.060	80.062	80.094	80.068	80.043	80.018	79.992	2019.04.19 12:00	709	80.060	80.062	80.094	80.068	80.043	80.018	79.992	2019.04.19 12:15	710	80.063	80.030	80.091	80.068	80.045	80.021	79.998
103	2019.04.19 12:45	712	80.023	80.029	80.087	80.067	80.047	80.027	80.006	2019.04.19 13:00	713	80.028	80.031	80.085	80.066	80.048	80.030	80.011	2019.04.19 13:15	714	80.031	80.026	80.084	80.066	80.049	80.031	80.013
104	2019.04.19 13:30	715	80.024	80.035	80.084	80.066	80.049	80.031	80.013	2019.04.19 13:45	716	80.036	80.055	80.084	80.067	80.049	80.031	80.014	2019.04.19 14:00	717	80.055	80.023	80.085	80.066	80.048	80.029	80.011
105	2019.04.19 14:15	718	80.023	80.038	80.082	80.064	80.046	80.028	80.010	2019.04.19 14:45	720	80.052	80.055	80.083	80.066	80.049	80.032	80.015	2019.04.19 15:00	721	80.054	80.044	80.082	80.065	80.048	80.031	80.014
106	2019.04.19 16:00	725	80.011	80.013	80.072	80.055	80.039	80.022	80.005	2019.04.19 16:15	726	80.014	80.030	80.069	80.053	80.037	80.021	80.005	2019.04.19 17:15	730	80.026	80.015	80.057	80.044	80.031	80.018	80.005
107	2019.04.19 17:30	731	80.014	80.016	80.058	80.044	80.031	80.017	80.004	2019.04.19 17:30	731	80.014	80.016	80.058	80.044	80.031	80.017	80.004	2019.04.19 17:45	732	80.017	80.013	80.058	80.044	80.030	80.016	80.002
108	2019.04.19 18:15	734	80.007	80.009	80.059	80.043	80.028	80.013	79.997	2019.04.19 18:15	734	80.007	80.009	80.059	80.043	80.028	80.013	79.997	2019.04.19 18:30	735	80.007	79.988	80.061	80.043	80.026	80.008	79.991
109	2019.04.19 19:00	737	79.964	79.999	80.062	80.041	80.020	79.999	79.978	2019.04.19 19:00	737	79.964	79.999	80.062	80.041	80.020	79.999	79.978	2019.04.19 19:30	739	79.990	79.986	80.056	80.035	80.014	79.993	79.973
110	2019.04.19 20:00	741	79.970	79.986	80.047	80.027	80.007	79.988	79.968	2019.04.19 20:30	743	79.986	80.000	80.040	80.022	80.004	79.985	79.967	2019.04.19 21:30	747	79.994	79.987	80.030	80.014	79.998	79.982	79.966
111	2019.04.19 21:45	748	79.985	80.015	80.028	80.013	79.998	79.983	79.967	2019.04.19 21:45	748	79.985	80.015	80.028	80.013	79.998	79.983	79.967	2019.04.19 22:15	750	80.008	80.005	80.023	80.010	79.996	79.983	79.969
112	2019.04.19 22:30	751	80.003	80.007	80.021	80.009	79.996	79.983	79.970	2019.04.19 22:30	751	80.003	80.007	80.021	80.009	79.996	79.983	79.970	2019.04.19 22:45	752	80.009	79.999	80.020	80.007	79.995	79.983	79.971
113	2019.04.19 23:00	753	80.000	80.025	80.023	80.009	79.996	79.982	79.969	2019.04.19 23:15	754	80.025	80.030	80.027	80.012	79.997	79.982	79.966	2019.04.19 23:30	755	80.027	80.015	80.030	80.014	79.998	79.983	79.967
114	2019.04.19 23:45	756	80.015	80.031	80.033	80.017	80.001	79.986	79.970	2019.04.19 23:45	756	80.015	80.031	80.033	80.017	80.001	79.986	79.970	2019.04.22 00:00	757	79.939	79.973	80.034	80.017	80.000	79.983	79.967
115	2019.04.22 00:15	758	79.972	79.978	80.034	80.017	80.000	79.982	79.965	2019.04.22 00:30	759	79.980	79.981	80.034	80.017	79.999	79.982	79.964	2019.04.22 00:45	760	79.982	79.976	80.034	80.017	80.000	79.982	79.965
116	2019.04.22 01:00	761	79.977	80.013	80.035	80.018	80.001	79.984	79.967	2019.04.22 01:30	763	80.031	80.039	80.044	80.025	80.005	79.986	79.966	2019.04.22 01:45	764	80.038	80.013	80.045	80.026	80.006	79.987	79.967
117	2019.04.22 02:00	765	80.010	80.015	80.046	80.026	80.007	79.987	79.968	2019.04.22 02:00	765	80.010	80.015	80.046	80.026	80.007	79.987	79.968	2019.04.22 02:15	766	80.012	80.010	80.046	80.027	80.008	79.988	79.969
118	2019.04.22 03:15	770	79.975	79.991	80.046	80.025	80.004	79.984	79.963	2019.04.22 03:30	771	79.991	80.066	80.057	80.032	80.007	79.982	79.958	2019.04.22 03:45	772	80.061	80.036	80.060	80.034	80.009	79.984	79.958
119	2019.04.22 04:30	775	79.908	79.971	80.066	80.033	80.000	79.966	79.933	2019.04.22 04:30	775	79.908	79.971	80.066	80.033	80.000	79.966	79.933	2019.04.22 04:45	776	79.970	79.943	80.064	80.030	79.995	79.961	79.926
120	2019.04.22 05:30	779	79.932	79.954	80.069	80.029	79.990	79.950	79.910	2019.04.22 05:30	779	79.932	79.954	80.069	80.029	79.990	79.950	79.910	2019.04.22 06:00	781	79.947	79.943	80.067	80.026	79.985	79.943	79.902
121	2019.04.22 07:00	785	79.849	79.891	80.060	80.009	79.957	79.906	79.855	2019.04.22 07:00	785	79.849	79.891	80.060	80.009	79.957	79.906	79.855	2019.04.22 08:00	789	79.881	79.872	80.046	79.990	79.935	79.880	79.824
122	2019.04.22 08:15	790	79.870	79.899	80.039	79.985	79.930	79.876	79.822	2019.04.22 09:00	793	79.906	79.938	79.976	79.945	79.914	79.882	79.851	2019.04.22 09:30	795	79.919	79.874	79.969	79.939	79.909	79.880	79.850
123	2019.04.22 09:45	796	79.877	79.895	79.965	79.936	79.907	79.878	79.849	2019.04.22 09:45	796	79.877	79.895	79.965	79.936	79.907	79.878	79.849	2019.04.22 10:00	797	79.898	79.874	79.961	79.933	79.904	79.875	79.846
124	2019.04.22 10:15	798	79.875	79.882	79.958	79.930	79.901	79.873	79.844	2019.04.22 10:30	799	79.878	79.886	79.950	79.924	79.898	79.872	79.846	2019.04.22 10:45	800	79.885	79.881	79.941	79.918	79.895	79.871	79.848
125	2019.04.22 11:30	803	79.871	79.876	79.928	79.908	79.888	79.868	79.848	2019.04.22 11:30	803	79.871	79.876	79.928	79.908	79.888	79.868	79.848	2019.04.22 12:00	805	79.876	79.874	79.926	79.907	79.889	79.870	79.851
126	2019.04.22 12:30	807	79.859	79.860	79.927	79.907	79.886	79.866	79.845	2019.04.22 13:15	810	79.889	79.893	79.927	79.907	79.886	79.865	79.845	2019.04.22 13:45	812	79.886	79.855	79.920	79.901	79.882	79.862	79.843
127	2019.04.22 14:15	814	79.837	79.856	79.901	79.887	79.873	79.859	79.845	2019.04.22 14:30	815	79.856	79.885	79.902	79.888	79.874	79.860	79.845	2019.04.22 14:45	816	79.884	79.870	79.900	79.886	79.873	79.859	79.846
128	2019.04.22 15:30	819	79.823	79.824	79.904	79.885	79.866	79.846	79.827	2019.04.22 15:30	819	79.823	79.824	79.904	79.885	79.866	79.846	79.827	2019.04.22 15:45	820	79.827	79.777	79.914	79.887	79.860	79.834	79.807
129	2019.04.22 16:00	821	79.774	79.844	79.913	79.886	79.859	79.832	79.805	2019.04.22 16:30	823	79.829	79.865	79.911	79.883	79.856	79.829	79.801	2019.04.22 17:30	827	79.847	79.814	79.906	79.878	79.850	79.822	79.795
130	2019.04.22 17:45	828	79.813	79.837	79.905	79.877	79.849	79.821	79.793	2019.04.22 17:45	828	79.813	79.837	79.905	79.877	79.849	79.821	79.793	2019.04.22 18:00	829	79.836	79.811	79.900	79.873	79.845	79.818	79.790
131	2019.04.22 18:15	830	79.810	79.834	79.893	79.867	79.842	79.817	79.792	2019.04.22 18:45	832	79.833	79.858	79.886	79.863	79.839	79.816	79.793	2019.04.22 19:00	833	79.856	79.830	79.886	79.862	79.839	79.816	79.792
132	2019.04.22 19:15	834	79.831	79.861	79.886	79.863	79.839	79.816	79.792	2019.04.22 19:30	835	79.859	79.881	79.885	79.862	79.839	79.816	79.793	2019.04.22 19:45	836	79.880	79.861	79.884	79.861	79.839	79.816	79.793
133	2019.04.22 20:00	837	79.860	79.869	79.886	79.863	79.840	79.816	79.793	2019.04.22 20:30	839	79.871	79.881	79.895	79.870	79.845	79.819	79.794	2019.04.22 20:45	840	79.880	79.872	79.891	79.870	79.850	79.829	79.808
134	2019.04.22 22:00	845	79.819	79.842	79.897	79.874	79.852	79.829	79.807	2019.04.22 22:30	847	79.852	79.853	79.895	79.874	79.854	79.833	79.812	2019.04.22 22:45	848	79.852	79.842	79.895	79.875	79.854	79.833	79.813
135	2019.04.22 23:00	849	79.844	79.848	79.892	79.874	79.856	79.838	79.819	2019.04.22 23:30	851	79.859	79.884	79.894	79.877	79.860	79.842	79.825	2019.04.23 00:00	853	79.810	79.835	79.895	79.878	79.861	79.843	79.826
136	2019.04.23 00:15	854	79.835	79.845	79.895	79.877	79.860	79.842	79.825	2019.04.23 00:30	855	79.843	79.892	79.897	79.879	79.860	79.842	79.824	2019.04.23 00:45	856	79.887	79.871	79.898	79.879	79.861	79.842	79.824
137	2019.04.23 01:00	857	79.876	79.879	79.899	79.880	79.861	79.843	79.824	2019.04.23 01:30	859	79.879	79.899	79.903	79.883	79.863	79.842	79.822	2019.04.23 02:00	861	79.897	79.891	79.909	79.887	79.865	79.842	79.820
138	2019.04.23 04:00	869	79.597	79.603	80.008	79.917	79.825	79.734	79.643	2019.04.23 04:00	869	79.597	79.603	80.008	79.917	79.825	79.734	79.643	2019.04.23 04:15	870	79.602	79.588	80.021	79.916	79.812	79.707	79.603
139	2019.04.23 04:30	871	79.590	79.684	80.015	79.908	79.802	79.695	79.589	2019.04.23 04:30	871	79.590	79.684	80.015	79.908	79.802	79.695	79.589	2019.04.23 06:00	877	79.671	79.650	79.961	79.852	79.743	79.634	79.526
140	2019.04.23 06:15	878	79.652	79.675	79.943	79.838	79.733	79.628	79.523	2019.04.23 06:45	880	79.697	79.710	79.893	79.803	79.714	79.624	79.535	2019.04.23 07:00	881	79.710	79.676	79.863	79.783	79.703	79.623	79.543
141	2019.04.23 07:15	882	79.671	79.690	79.834	79.764	79.694	79.624	79.554	2019.04.23 07:45	884	79.687	79.693	79.768	79.723	79.677	79.632	79.587	2019.04.23 08:00	885	79.693	79.673	79.743	79.707	79.671	79.635	79.599
142	2019.04.23 08:15	886	79.672	79.695	79.736	79.703	79.669	79.636	79.602	2019.04.23 08:15	886	79.672	79.695	79.736	79.703	79.669	79.636	79.602	2019.04.23 09:00	889	79.692	79.665	79.725	79.701	79.677	79.653	79.628
143	2019.04.23 10:45	896	79.539	79.542	79.756	79.703	79.650	79.597	79.544	2019.04.23 11:00	897	79.543	79.579	79.757	79.702	79.647	79.592	79.536	2019.04.23 11:15	898	79.578	79.552	79.757	79.699	79.641	79.582	79.524
144	2019.04.23 11:30	899	79.552	79.576	79.751	79.693	79.634	79.576	79.517	2019.04.23 11:45	900	79.575	79.583	79.742	79.685	79.628	79.571	79.514	2019.04.23 12:00	901	79.587	79.567	79.737	79.680	79.623	79.565	79.508
145	2019.04.23 12:45	904	79.564	79.572	79.708	79.656	79.604	79.552	79.500	2019.04.23 12:45	904	79.564	79.572	79.708	79.656	79.604	79.552	79.500	2019.04.23 13:00	905	79.570	79.557	79.699	79.649	79.598	79.548	79.497
146	2019.04.23 13:45	908	79.532	79.538	79.646	79.611	79.575	79.540	79.504	2019.04.23 14:30	911	79.540	79.577	79.599	79.580	79.561	79.542	79.523	2019.04.23 15:00	913	79.575	79.558	79.591	79.575	79.559	79.542	79.526
147	2019.04.23 15:45	916	79.510	79.515	79.596	79.575	79.555	79.534	79.514	2019.04.23 15:45	916	79.510	79.515	79.596	79.575	79.555	79.534	79.514	2019.04.23 16:00	917	79.514	79.498	79.597	79.574	79.551	79.528	79.505
148	2019.04.23 16:30	919	79.488	79.500	79.600	79.572	79.544	79.516	79.488	2019.04.23 16:30	919	79.488	79.500	79.600	79.572	79.544	79.516	79.488	2019.04.23 16:45	920	79.501	79.452	79.603	79.570	79.537	79.505	79.472
149	2019.04.23 17:30	923	79.300	79.346	79.657	79.580	79.503	79.427	79.350	2019.04.23 18:00	925	79.338	79.348	79.655	79.568	79.481	79.394	79.307	2019.04.23 18:15	926	79.348	79.332	79.654	79.562	79.471	79.379	79.287
150	2019.04.23 18:45	928	79.322	79.378	79.644	79.548	79.452	79.356	79.260	2019.04.23 18:45	928	79.322	79.378	79.644	79.548	79.452	79.356	79.260	2019.04.23 19:15	930	79.363	79.352	79.624	79.529	79.434	79.339	79.244
151	2019.04.23 20:45	936	79.285	79.290	79.496	79.428	79.360	79.292	79.224	2019.04.23 20:45	936	79.285	79.290	79.496	79.428	79.360	79.292	79.224	2019.04.23 21:00	937	79.291	79.279	79.474	79.411	79.349	79.287	79.224
152	2019.04.23 21:15	938	79.281	79.282	79.449	79.394	79.339	79.284	79.229	2019.04.23 23:30	947	79.424	79.453	79.439	79.389	79.339	79.290	79.240	2019.04.24 00:00	949	79.408	79.353	79.449	79.395	79.342	79.289	79.235
153	2019.04.24 00:15	950	79.354	79.366	79.450	79.396	79.343	79.289	79.235	2019.04.24 00:30	951	79.364	79.368	79.452	79.398	79.345	79.291	79.237	2019.04.24 00:45	952	79.361	79.359	79.454	79.400	79.347	79.294	79.240
154	2019.04.24 01:00	953	79.359	79.372	79.456	79.403	79.350	79.297	79.245	2019.04.24 01:00	953	79.359	79.372	79.456	79.403	79.350	79.297	79.245	2019.04.24 01:30	955	79.363	79.336	79.454	79.406	79.357	79.308	79.259
155	2019.04.24 02:00	957	79.332	79.341	79.449	79.405	79.362	79.318	79.274	2019.04.24 02:15	958	79.340	79.358	79.445	79.405	79.365	79.326	79.286	2019.04.24 02:30	959	79.358	79.340	79.441	79.404	79.368	79.331	79.295
156	2019.04.24 03:30	963	79.274	79.309	79.448	79.405	79.362	79.319	79.275	2019.04.24 03:30	963	79.274	79.309	79.448	79.405	79.362	79.319	79.275	2019.04.24 04:00	965	79.306	79.295	79.441	79.397	79.352	79.307	79.262
157	2019.04.24 05:15	970	78.644	78.694	79.700	79.454	79.208	78.962	78.717	2019.04.24 05:45	972	78.688	78.696	79.707	79.424	79.141	78.858	78.575	2019.04.24 06:00	973	78.694	78.667	79.697	79.402	79.106	78.810	78.515
158	2019.04.24 07:00	977	78.503	78.558	79.614	79.283	78.952	78.621	78.290	2019.04.24 08:45	984	78.644	78.650	79.112	78.910	78.709	78.507	78.306	2019.04.24 09:00	985	78.649	78.578	78.976	78.825	78.673	78.521	78.370
159	2019.04.24 09:30	987	78.550	78.623	78.740	78.684	78.628	78.572	78.516	2019.04.24 09:30	987	78.550	78.623	78.740	78.684	78.628	78.572	78.516	2019.04.24 09:45	988	78.624	78.577	78.719	78.669	78.619	78.570	78.520
