[20190427_174404 / views.py:15864]
fname_Src_CSV	44_5.1_10_rawdata.(AUDJPY).(Period-M15).(NumOfUnits-18000).(Bars-ALL-20190424_184417).20190311_081029.csv
slice by	through
this file	(20190427_174402).(AUDJPY-M15).[sec-1.A-6.3-seq-list].(20190427_174404).csv
pair	AUDJPY
timeframe	M15
start	2018.06.14 17:30
end	2019.04.24 12:30
bars	21114

[20190427_174404 / views.py:15939]
[lo_UUU : 2595]==============================
s.n.	e0.date	e1.date	e2.date	e0.diff	e1.diff	e2.diff
63	2018.06.21 10:15	2018.06.21 10:30	2018.06.21 10:45	0.027	0.073	0.014
64	2018.06.21 20:00	2018.06.21 20:15	2018.06.21 20:30	0.002	0.003	0.042
65	2018.06.21 20:15	2018.06.21 20:30	2018.06.21 20:45	0.003	0.042	0.030
66	2018.06.21 20:30	2018.06.21 20:45	2018.06.21 21:00	0.042	0.030	0.030
67	2018.06.21 20:45	2018.06.21 21:00	2018.06.21 21:15	0.030	0.030	0.005
68	2018.06.21 21:00	2018.06.21 21:15	2018.06.21 21:30	0.030	0.005	0.022
69	2018.06.22 04:15	2018.06.22 04:30	2018.06.22 04:45	0.024	0.022	0.004
70	2018.06.22 04:30	2018.06.22 04:45	2018.06.22 05:00	0.022	0.004	0.037
71	2018.06.22 07:45	2018.06.22 08:00	2018.06.22 08:15	0.044	0.021	0.025
72	2018.06.22 10:45	2018.06.22 11:00	2018.06.22 11:15	0.045	0.053	0.039
73	2018.06.22 11:00	2018.06.22 11:15	2018.06.22 11:30	0.053	0.039	0.039
74	2018.06.22 11:15	2018.06.22 11:30	2018.06.22 11:45	0.039	0.039	0.058
75	2018.06.22 11:30	2018.06.22 11:45	2018.06.22 12:00	0.039	0.058	0.057
76	2018.06.22 14:15	2018.06.22 14:30	2018.06.22 14:45	0.013	0.032	0.032
77	2018.06.22 18:00	2018.06.22 18:15	2018.06.22 18:30	0.052	0.040	0.063
78	2018.06.22 19:00	2018.06.22 19:15	2018.06.22 19:30	0.058	0.030	0.009
79	2018.06.22 20:00	2018.06.22 20:15	2018.06.22 20:30	0.052	0.033	0.008
80	2018.06.22 21:45	2018.06.22 22:00	2018.06.22 22:15	0.000	0.006	0.021
81	2018.06.22 22:00	2018.06.22 22:15	2018.06.22 22:30	0.006	0.021	0.023
82	2018.06.22 23:45	2018.06.25 00:00	2018.06.25 00:15	0.025	0.002	0.047
83	2018.06.25 06:00	2018.06.25 06:15	2018.06.25 06:30	0.040	0.004	0.034
84	2018.06.25 08:45	2018.06.25 09:00	2018.06.25 09:15	0.057	0.032	0.087
85	2018.06.25 09:00	2018.06.25 09:15	2018.06.25 09:30	0.032	0.087	0.003
86	2018.06.25 22:00	2018.06.25 22:15	2018.06.25 22:30	0.022	0.036	0.302
87	2018.06.25 23:15	2018.06.25 23:30	2018.06.25 23:45	0.021	0.006	0.015
88	2018.06.25 23:30	2018.06.25 23:45	2018.06.26 00:00	0.006	0.015	0.018
89	2018.06.26 06:15	2018.06.26 06:30	2018.06.26 06:45	0.022	0.036	0.028
90	2018.06.26 06:30	2018.06.26 06:45	2018.06.26 07:00	0.036	0.028	0.003
91	2018.06.26 07:30	2018.06.26 07:45	2018.06.26 08:00	0.023	0.017	0.097
92	2018.06.26 09:30	2018.06.26 09:45	2018.06.26 10:00	0.003	0.018	0.002
93	2018.06.26 13:15	2018.06.26 13:30	2018.06.26 13:45	0.059	0.054	0.018
94	2018.06.26 15:00	2018.06.26 15:15	2018.06.26 15:30	0.070	0.035	0.029
95	2018.06.26 15:15	2018.06.26 15:30	2018.06.26 15:45	0.035	0.029	0.038
96	2018.06.26 16:45	2018.06.26 17:00	2018.06.26 17:15	0.032	0.079	0.011
97	2018.06.26 17:00	2018.06.26 17:15	2018.06.26 17:30	0.079	0.011	0.031
98	2018.06.26 17:15	2018.06.26 17:30	2018.06.26 17:45	0.011	0.031	0.041
99	2018.06.26 17:30	2018.06.26 17:45	2018.06.26 18:00	0.031	0.041	0.035
100	2018.06.26 17:45	2018.06.26 18:00	2018.06.26 18:15	0.041	0.035	0.041
101	2018.06.26 18:00	2018.06.26 18:15	2018.06.26 18:30	0.035	0.041	0.033
102	2018.06.26 18:15	2018.06.26 18:30	2018.06.26 18:45	0.041	0.033	0.019
103	2018.06.26 18:30	2018.06.26 18:45	2018.06.26 19:00	0.033	0.019	0.034
104	2018.06.26 19:30	2018.06.26 19:45	2018.06.26 20:00	0.018	0.009	0.069
105	2018.06.26 21:15	2018.06.26 21:30	2018.06.26 21:45	0.038	0.021	0.008
106	2018.06.27 00:30	2018.06.27 00:45	2018.06.27 01:00	0.020	0.000	0.040
107	2018.06.27 01:45	2018.06.27 02:00	2018.06.27 02:15	0.005	0.033	0.027
108	2018.06.27 05:00	2018.06.27 05:15	2018.06.27 05:30	0.053	0.037	0.082
109	2018.06.27 06:00	2018.06.27 06:15	2018.06.27 06:30	0.144	0.009	0.007
110	2018.06.27 07:15	2018.06.27 07:30	2018.06.27 07:45	0.009	0.057	0.014
111	2018.06.27 12:45	2018.06.27 13:00	2018.06.27 13:15	0.074	0.019	0.033
112	2018.06.27 23:00	2018.06.27 23:15	2018.06.27 23:30	0.057	0.021	0.054
113	2018.06.28 00:30	2018.06.28 00:45	2018.06.28 01:00	0.009	0.026	0.006
114	2018.06.28 06:15	2018.06.28 06:30	2018.06.28 06:45	0.002	0.002	0.014
115	2018.06.28 06:30	2018.06.28 06:45	2018.06.28 07:00	0.002	0.014	0.060
116	2018.06.28 06:45	2018.06.28 07:00	2018.06.28 07:15	0.014	0.060	0.004
117	2018.06.28 16:00	2018.06.28 16:15	2018.06.28 16:30	0.058	0.056	0.007
