[20190301_102841 / views.py:10526]
fname_Src_CSV	44_5.1_10_rawdata.(EURUSD).(Period-M15).(NumOfUnits-6000).(Bars-6000).20190226_125818.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].20190301_102840.csv
pair	EURUSD
timeframe	M15

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD
[20190301_102841 / views.py:10617]
56	2018.12.06 00:00	2018.12.06 23:45	96	25	26	23	15	0.26042	0.27083	0.23958	0.15625
57	2018.12.05 00:00	2018.12.05 23:45	96	25	26	26	18	0.26042	0.27083	0.27083	0.18750
58	2018.12.04 00:00	2018.12.04 23:45	96	25	22	22	24	0.26042	0.22917	0.22917	0.25000
59	2018.12.03 00:00	2018.12.03 23:45	96	20	23	21	29	0.20833	0.23958	0.21875	0.30208
60	2018.11.30 00:00	2018.11.30 23:45	96	19	23	22	29	0.19792	0.23958	0.22917	0.30208
61	2018.11.29 00:00	2018.11.29 23:45	96	25	28	28	12	0.26042	0.29167	0.29167	0.12500
62	2018.11.28 00:00	2018.11.28 23:45	96	23	26	25	17	0.23958	0.27083	0.26042	0.17708
63	2018.11.27 00:00	2018.11.27 23:45	96	24	24	21	22	0.25000	0.25000	0.21875	0.22917
64	2018.11.26 00:00	2018.11.26 23:45	96	22	24	24	22	0.22917	0.25000	0.25000	0.22917
65	2018.11.23 21:30	2018.11.23 23:45	10	2	4	3	0	0.20000	0.40000	0.30000	0.00000


