[20190228_134909 / views.py:10271]
fname_Src_CSV	44_5.1_10_rawdata.(EURJPY).(Period-M15).(NumOfUnits-4500).(Bars-4500).20190214_095445.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].20190228_134908.csv
pair	EURJPY
timeframe	M15

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD


[20190228_134909 / views.py:10280]


[lo_UU]==============================
s.n.	e0.dateTime	e1.dateTime	e0.CP	e1.CP	e0.BB_1S
82	2019.02.08 08:30	2019.02.08 08:45	124.395	124.422	124.474
83	2019.02.08 08:45	2019.02.08 09:00	124.422	124.471	124.474
84	2019.02.08 10:45	2019.02.08 11:00	124.425	124.460	124.463
85	2019.02.08 12:00	2019.02.08 12:15	124.448	124.539	124.459
86	2019.02.08 12:45	2019.02.08 13:00	124.557	124.618	124.494
87	2019.02.08 14:45	2019.02.08 15:00	124.559	124.566	124.558
88	2019.02.08 15:00	2019.02.08 15:15	124.566	124.591	124.565
89	2019.02.08 15:15	2019.02.08 15:30	124.591	124.669	124.573
90	2019.02.08 18:30	2019.02.08 18:45	124.258	124.323	124.593
91	2019.02.08 20:30	2019.02.08 20:45	124.315	124.336	124.483
92	2019.02.08 20:45	2019.02.08 21:00	124.336	124.355	124.453
93	2019.02.08 22:30	2019.02.08 22:45	124.311	124.322	124.346
94	2019.02.07 01:30	2019.02.07 01:45	124.973	125.014	124.992
95	2019.02.07 03:15	2019.02.07 03:30	124.735	124.734	125.021
96	2019.02.07 03:30	2019.02.07 03:45	124.734	124.769	125.021
97	2019.02.07 04:15	2019.02.07 04:30	124.758	124.797	125.000
98	2019.02.07 04:30	2019.02.07 04:45	124.797	124.828	124.991
99	2019.02.07 05:45	2019.02.07 06:00	124.845	124.920	124.939
100	2019.02.07 06:45	2019.02.07 07:00	124.900	124.899	124.906
101	2019.02.07 07:45	2019.02.07 08:00	124.902	124.898	124.898
102	2019.02.07 08:00	2019.02.07 08:15	124.898	124.902	124.904
103	2019.02.07 08:15	2019.02.07 08:30	124.902	124.939	124.910
104	2019.02.07 08:30	2019.02.07 08:45	124.939	124.987	124.918
105	2019.02.07 15:45	2019.02.07 16:00	124.378	124.526	124.675
106	2019.02.07 16:45	2019.02.07 17:00	124.551	124.608	124.533
107	2019.02.07 17:00	2019.02.07 17:15	124.608	124.659	124.539
108	2019.02.07 17:15	2019.02.07 17:30	124.659	124.711	124.553
109	2019.02.07 20:00	2019.02.07 20:15	124.676	124.681	124.678
110	2019.02.07 21:15	2019.02.07 21:30	124.681	124.696	124.694
111	2019.02.06 00:45	2019.02.06 01:00	125.383	125.420	125.479
112	2019.02.06 01:00	2019.02.06 01:15	125.420	125.428	125.479
113	2019.02.06 01:15	2019.02.06 01:30	125.428	125.430	125.477
114	2019.02.06 01:30	2019.02.06 01:45	125.430	125.434	125.476
115	2019.02.06 02:15	2019.02.06 02:30	125.387	125.418	125.465
116	2019.02.06 03:30	2019.02.06 03:45	125.298	125.398	125.441
117	2019.02.06 05:30	2019.02.06 05:45	125.143	125.146	125.421
118	2019.02.06 05:45	2019.02.06 06:00	125.146	125.191	125.412
119	2019.02.06 06:00	2019.02.06 06:15	125.191	125.203	125.398
120	2019.02.06 11:00	2019.02.06 11:15	124.877	124.909	125.129
121	2019.02.06 12:00	2019.02.06 12:15	124.891	124.932	125.051
122	2019.02.06 12:15	2019.02.06 12:30	124.932	124.940	125.031
123	2019.02.06 12:30	2019.02.06 12:45	124.940	124.990	125.011
124	2019.02.06 13:15	2019.02.06 13:30	124.945	124.952	124.977
125	2019.02.06 14:00	2019.02.06 14:15	124.982	125.015	124.952
126	2019.02.06 14:45	2019.02.06 15:00	125.022	125.040	124.980
127	2019.02.06 15:00	2019.02.06 15:15	125.040	125.069	124.992
128	2019.02.06 15:15	2019.02.06 15:30	125.069	125.079	125.006
129	2019.02.06 17:15	2019.02.06 17:30	124.875	124.888	125.027
130	2019.02.06 17:30	2019.02.06 17:45	124.888	124.938	125.027
131	2019.02.06 20:00	2019.02.06 20:15	124.925	124.995	124.987
132	2019.02.06 20:15	2019.02.06 20:30	124.995	125.026	124.977
133	2019.02.06 22:45	2019.02.06 23:00	124.989	124.993	124.989
134	2019.02.06 23:00	2019.02.06 23:15	124.993	125.007	124.993
135	2019.02.05 00:15	2019.02.05 00:30	125.647	125.661	125.684
136	2019.02.05 00:30	2019.02.05 00:45	125.661	125.674	125.685
137	2019.02.05 00:45	2019.02.05 01:00	125.674	125.713	125.687
138	2019.02.05 01:00	2019.02.05 01:15	125.713	125.726	125.691
139	2019.02.05 01:15	2019.02.05 01:30	125.726	125.747	125.698
140	2019.02.05 01:30	2019.02.05 01:45	125.747	125.759	125.708
141	2019.02.05 02:45	2019.02.05 03:00	125.787	125.796	125.755
142	2019.02.05 03:30	2019.02.05 03:45	125.813	125.844	125.782
143	2019.02.05 05:15	2019.02.05 05:30	125.759	125.770	125.815
144	2019.02.05 08:00	2019.02.05 08:15	125.591	125.617	125.804
145	2019.02.05 08:15	2019.02.05 08:30	125.617	125.629	125.796
146	2019.02.05 08:30	2019.02.05 08:45	125.629	125.646	125.785
147	2019.02.05 11:00	2019.02.05 11:15	125.605	125.613	125.646
148	2019.02.05 11:45	2019.02.05 12:00	125.612	125.637	125.629
149	2019.02.05 13:45	2019.02.05 14:00	125.558	125.606	125.599
150	2019.02.05 14:00	2019.02.05 14:15	125.606	125.621	125.602
151	2019.02.05 15:30	2019.02.05 15:45	125.563	125.578	125.618
152	2019.02.05 18:30	2019.02.05 18:45	125.406	125.442	125.602
153	2019.02.05 20:45	2019.02.05 21:00	125.479	125.487	125.500
154	2019.02.05 22:30	2019.02.05 22:45	125.466	125.474	125.482
155	2019.02.04 02:30	2019.02.04 02:45	125.479	125.502	125.496
156	2019.02.04 05:30	2019.02.04 05:45	125.487	125.493	125.513
157	2019.02.04 05:45	2019.02.04 06:00	125.493	125.506	125.516
