[20190228_133812 / views.py:10085]
fname_Src_CSV	44_5.1_10_rawdata.(EURJPY).(Period-M15).(NumOfUnits-4500).(Bars-4500).20190214_095445.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].20190228_133811.csv
pair	EURJPY
timeframe	M15

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD
[20190228_133812 / views.py:10255]
1	2019.02.06 01:00	2019.02.06 01:15
2	2019.02.06 01:15	2019.02.06 01:30
3	2019.02.06 01:30	2019.02.06 01:45
4	2019.02.06 02:15	2019.02.06 02:30
5	2019.02.06 03:30	2019.02.06 03:45
6	2019.02.06 05:30	2019.02.06 05:45
7	2019.02.06 05:45	2019.02.06 06:00
8	2019.02.06 06:00	2019.02.06 06:15
9	2019.02.06 11:00	2019.02.06 11:15
10	2019.02.06 12:00	2019.02.06 12:15
11	2019.02.06 12:15	2019.02.06 12:30
12	2019.02.06 12:30	2019.02.06 12:45
13	2019.02.06 13:15	2019.02.06 13:30
14	2019.02.06 14:00	2019.02.06 14:15
15	2019.02.06 14:45	2019.02.06 15:00
16	2019.02.06 15:00	2019.02.06 15:15
17	2019.02.06 15:15	2019.02.06 15:30
18	2019.02.06 17:15	2019.02.06 17:30
19	2019.02.06 17:30	2019.02.06 17:45
20	2019.02.06 20:00	2019.02.06 20:15
21	2019.02.06 20:15	2019.02.06 20:30
22	2019.02.06 22:45	2019.02.06 23:00
23	2019.02.06 23:00	2019.02.06 23:15
0	2019.02.05 00:15	2019.02.05 00:30
1	2019.02.05 00:30	2019.02.05 00:45
2	2019.02.05 00:45	2019.02.05 01:00
3	2019.02.05 01:00	2019.02.05 01:15
4	2019.02.05 01:15	2019.02.05 01:30
5	2019.02.05 01:30	2019.02.05 01:45
6	2019.02.05 02:45	2019.02.05 03:00
7	2019.02.05 03:30	2019.02.05 03:45
8	2019.02.05 05:15	2019.02.05 05:30
9	2019.02.05 08:00	2019.02.05 08:15
10	2019.02.05 08:15	2019.02.05 08:30
11	2019.02.05 08:30	2019.02.05 08:45
12	2019.02.05 11:00	2019.02.05 11:15
13	2019.02.05 11:45	2019.02.05 12:00
14	2019.02.05 13:45	2019.02.05 14:00
15	2019.02.05 14:00	2019.02.05 14:15
16	2019.02.05 15:30	2019.02.05 15:45
17	2019.02.05 18:30	2019.02.05 18:45
18	2019.02.05 20:45	2019.02.05 21:00
19	2019.02.05 22:30	2019.02.05 22:45
0	2019.02.04 02:30	2019.02.04 02:45
1	2019.02.04 05:30	2019.02.04 05:45
2	2019.02.04 05:45	2019.02.04 06:00
3	2019.02.04 06:00	2019.02.04 06:15
4	2019.02.04 06:15	2019.02.04 06:30
5	2019.02.04 06:30	2019.02.04 06:45
6	2019.02.04 06:45	2019.02.04 07:00
7	2019.02.04 07:45	2019.02.04 08:00
8	2019.02.04 08:30	2019.02.04 08:45
9	2019.02.04 09:30	2019.02.04 09:45
10	2019.02.04 09:45	2019.02.04 10:00
11	2019.02.04 10:00	2019.02.04 10:15
