[20190311_075607 / views.py:11521]
fname_Src_CSV	44_5.1_10_rawdata.(AUDJPY).(Period-M5).(NumOfUnits-55000).(Bars-ALL-20190310_140323).20190310_140123.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].(AUDJPY-M5).(20190311_075559).csv
pair	AUDJPY
timeframe	M5
start	2017.11.20 11:30
end	2019.03.08 23:50

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD
[20190311_075607 / views.py:11613]
1	2019.03.08 00:05	2019.03.08 23:50	286	78	70	70	57	0.273	0.245	0.245	0.199
2	2019.03.07 00:00	2019.03.07 23:55	288	67	66	64	78	0.233	0.229	0.222	0.271
3	2019.03.06 00:00	2019.03.06 23:55	288	57	68	69	75	0.198	0.236	0.240	0.260
4	2019.03.05 00:00	2019.03.05 23:55	288	69	73	75	56	0.240	0.253	0.260	0.194
5	2019.03.04 00:05	2019.03.04 23:55	287	54	76	77	67	0.188	0.265	0.268	0.233
6	2019.03.01 00:00	2019.03.01 23:50	287	64	70	65	73	0.223	0.244	0.226	0.254
7	2019.02.28 00:00	2019.02.28 23:55	288	53	77	79	72	0.184	0.267	0.274	0.250
8	2019.02.27 00:00	2019.02.27 23:55	288	76	73	71	59	0.264	0.253	0.247	0.205
9	2019.02.26 00:00	2019.02.26 23:55	288	65	67	69	62	0.226	0.233	0.240	0.215
10	2019.02.25 00:05	2019.02.25 23:55	287	76	72	70	62	0.265	0.251	0.244	0.216
11	2019.02.22 00:00	2019.02.22 23:50	287	65	80	80	53	0.226	0.279	0.279	0.185
12	2019.02.21 00:00	2019.02.21 23:55	288	59	74	75	75	0.205	0.257	0.260	0.260
13	2019.02.20 00:00	2019.02.20 23:55	288	76	67	64	67	0.264	0.233	0.222	0.233
14	2019.02.19 00:00	2019.02.19 23:55	288	77	69	72	56	0.267	0.240	0.250	0.194
15	2019.02.18 00:05	2019.02.18 23:55	287	66	66	67	69	0.230	0.230	0.233	0.240
16	2019.02.15 00:00	2019.02.15 23:50	287	87	65	68	49	0.303	0.226	0.237	0.171
17	2019.02.14 00:00	2019.02.14 23:55	288	55	80	78	64	0.191	0.278	0.271	0.222
18	2019.02.13 00:00	2019.02.13 23:55	288	68	67	71	69	0.236	0.233	0.247	0.240
19	2019.02.12 00:00	2019.02.12 23:55	288	68	71	73	61	0.236	0.247	0.253	0.212
20	2019.02.11 00:05	2019.02.11 23:55	287	63	73	72	62	0.220	0.254	0.251	0.216
21	2019.02.08 00:00	2019.02.08 23:50	287	78	67	65	67	0.272	0.233	0.226	0.233
22	2019.02.07 00:00	2019.02.07 23:55	288	69	69	68	67	0.240	0.240	0.236	0.233
23	2019.02.06 00:00	2019.02.06 23:55	288	45	76	75	79	0.156	0.264	0.260	0.274
24	2019.02.05 00:00	2019.02.05 23:55	288	68	60	64	77	0.236	0.208	0.222	0.267
25	2019.02.04 00:00	2019.02.04 23:55	288	69	77	74	49	0.240	0.267	0.257	0.170
26	2019.02.01 00:00	2019.02.01 23:50	287	62	77	80	57	0.216	0.268	0.279	0.199
27	2019.01.31 00:00	2019.01.31 23:55	288	72	70	71	62	0.250	0.243	0.247	0.215
28	2019.01.30 00:00	2019.01.30 23:55	288	73	76	74	50	0.253	0.264	0.257	0.174
29	2019.01.29 00:00	2019.01.29 23:55	288	81	65	66	67	0.281	0.226	0.229	0.233
30	2019.01.28 00:00	2019.01.28 23:55	288	57	75	75	71	0.198	0.260	0.260	0.247
31	2019.01.25 00:00	2019.01.25 23:50	287	88	66	66	56	0.307	0.230	0.230	0.195
32	2019.01.24 00:00	2019.01.24 23:55	288	61	68	71	72	0.212	0.236	0.247	0.250
33	2019.01.23 00:00	2019.01.23 23:55	287	67	71	72	62	0.233	0.247	0.251	0.216
34	2019.01.22 00:00	2019.01.22 23:55	288	62	69	72	76	0.215	0.240	0.250	0.264
35	2019.01.21 00:00	2019.01.21 23:55	288	68	67	67	73	0.236	0.233	0.233	0.253
36	2019.01.18 00:00	2019.01.18 23:50	287	61	74	77	66	0.213	0.258	0.268	0.230
37	2019.01.17 00:00	2019.01.17 23:55	288	64	73	72	68	0.222	0.253	0.250	0.236
38	2019.01.16 00:00	2019.01.16 23:55	288	60	71	72	67	0.208	0.247	0.250	0.233
39	2019.01.15 00:00	2019.01.15 23:55	288	81	66	65	59	0.281	0.229	0.226	0.205
40	2019.01.14 00:00	2019.01.14 23:55	288	65	72	75	65	0.226	0.250	0.260	0.226
41	2019.01.11 00:00	2019.01.11 23:50	287	74	73	72	52	0.258	0.254	0.251	0.181
