[20190311_075608 / views.py:11258]
fname_Src_CSV	44_5.1_10_rawdata.(AUDJPY).(Period-M5).(NumOfUnits-55000).(Bars-ALL-20190310_140323).20190310_140123.csv
slice by	day
this file	(20190311_075559).(AUDJPY-M5).[sec-1~BB-histogram.UU-UD-DU-DD].csv 
pair	AUDJPY
timeframe	M5
start	2017.11.20 11:30
end	2019.03.08 23:50

[BB locations]==============================
loc.	UU	UD	DU	DD	%UU	%UD	%DU	%DD
[20190311_075608 / views.py:11277]
> 2S	1124	1467	112	151	0.0886	0.1072	0.0082	0.0120
2S >= / >= 1S	3419	3840	1800	1842	0.2696	0.2805	0.1315	0.1468
1S > / >= main	3111	3386	3285	2989	0.2453	0.2473	0.2400	0.2382
main > / >= M1S	3008	3110	3252	3029	0.2372	0.2272	0.2376	0.2414
M1S > / >= M2S	1850	1761	3601	3229	0.1459	0.1286	0.2631	0.2574
M2S >	171	126	1636	1307	0.0135	0.0092	0.1195	0.1042
