			source = 44_3.2_15_file-io.USDJPY.Period-H1.Days-5000.Bars-120000.20180903_134452.2018-06.csv
			log = PatternPercentage_UpUpAboveBB1S__UpOrDown.20180922_134833.log
			csv = PatternPercentage_UpUpAboveBB1S__UpOrDown.20180922_134833.(csv).csv
id,dateTime,dateTime_Local,PC

495,2018.06.01 09:00,2018.06.01 16:00,109.072
494,2018.06.01 10:00,2018.06.01 17:00,109.161
490,2018.06.01 14:00,2018.06.01 21:00,109.185
462,2018.06.04 18:00,2018.06.05 01:00,109.639
461,2018.06.04 19:00,2018.06.05 02:00,109.661
460,2018.06.04 20:00,2018.06.05 03:00,109.687
456,2018.06.05 00:00,2018.06.05 07:00,109.784
420,2018.06.06 12:00,2018.06.06 19:00,110.061
413,2018.06.06 19:00,2018.06.07 02:00,110.001
412,2018.06.06 20:00,2018.06.07 03:00,110.120
355,2018.06.11 05:00,2018.06.11 12:00,109.445
336,2018.06.12 00:00,2018.06.12 07:00,110.022
314,2018.06.12 22:00,2018.06.13 05:00,110.336
313,2018.06.12 23:00,2018.06.13 06:00,110.348
312,2018.06.13 00:00,2018.06.13 07:00,110.346
311,2018.06.13 01:00,2018.06.13 08:00,110.379
310,2018.06.13 02:00,2018.06.13 09:00,110.444
309,2018.06.13 03:00,2018.06.13 10:00,110.451
308,2018.06.13 04:00,2018.06.13 11:00,110.470
307,2018.06.13 05:00,2018.06.13 12:00,110.533
268,2018.06.14 20:00,2018.06.15 03:00,110.436
267,2018.06.14 21:00,2018.06.15 04:00,110.559
266,2018.06.14 22:00,2018.06.15 05:00,110.572
259,2018.06.15 05:00,2018.06.15 12:00,110.554
258,2018.06.15 06:00,2018.06.15 13:00,110.693
186,2018.06.20 06:00,2018.06.20 13:00,110.077
173,2018.06.20 19:00,2018.06.21 02:00,110.138
172,2018.06.20 20:00,2018.06.21 03:00,110.194
80,2018.06.26 16:00,2018.06.26 23:00,109.704
79,2018.06.26 17:00,2018.06.27 00:00,109.772
78,2018.06.26 18:00,2018.06.27 01:00,109.878
58,2018.06.27 14:00,2018.06.27 21:00,109.862
57,2018.06.27 15:00,2018.06.27 22:00,110.196
32,2018.06.28 16:00,2018.06.28 23:00,110.147
5,2018.06.29 19:00,2018.06.30 02:00,110.717


