[20181001_122817 / libfx.py:7035]
source = 44_3.2_15_file-io.EURJPY.Period-H1.Days-5000.Bars-120000.20180903_135340.(m-07).20180926_205209.csv
log file = op_2-2.detect.highs-lows.v-3.EURJPY-Period-H1.(m-07).20181001_122817.log

lo_Highs	lo_Lows	lenOf_LO_BarDatas
89	89	521
0.171	0.171	1.000

[20181001_122817 / libfx.py:7082]
<highs>
datetime(local)	start	current	diff
2018.07.23 22:00	130.3840	130.3860	0.0020
2018.07.23 17:00	130.1890	130.1850	-0.0040
2018.07.23 13:00	130.1100	130.1890	0.0790
2018.07.23 08:00	130.1900	130.6360	0.4460
2018.07.21 05:00	130.6330	130.7520	0.1190
2018.07.20 23:00	130.8330	131.0390	0.2060
2018.07.20 19:00	130.9300	131.0460	0.1160
2018.07.20 15:00	131.0140	131.0160	0.0020
2018.07.20 01:00	131.0950	131.0950	0.0000
2018.07.19 19:00	131.0300	131.1740	0.1440
2018.07.19 13:00	131.2960	131.3380	0.0420
2018.07.19 08:00	131.3150	131.4050	0.0900
2018.07.19 04:00	131.4010	131.4300	0.0290
2018.07.19 02:00	131.4420	131.4430	0.0010
2018.07.18 16:00	131.4110	131.5220	0.1110
2018.07.18 10:00	131.5540	131.7100	0.1560
2018.07.18 00:00	131.8090	131.8050	-0.0040
2018.07.17 20:00	131.8460	131.8390	-0.0070
2018.07.17 18:00	131.9100	131.9070	-0.0030
2018.07.17 16:00	131.8340	131.8330	-0.0010
2018.07.17 14:00	131.6970	131.6940	-0.0030
2018.07.17 04:00	131.4930	131.5180	0.0250
2018.07.16 23:00	131.5820	131.6340	0.0520
2018.07.16 20:00	131.5970	131.6290	0.0320
2018.07.14 02:00	131.2600	131.2600	0.0000
2018.07.14 00:00	131.1420	131.1440	0.0020
2018.07.13 22:00	131.0280	131.0250	-0.0030
2018.07.13 17:00	131.1840	131.1860	0.0020
2018.07.13 10:00	131.3010	131.4740	0.1730
2018.07.13 05:00	131.3350	131.3370	0.0020
2018.07.13 01:00	131.3260	131.4300	0.1040
2018.07.12 23:00	131.3540	131.3530	-0.0010
2018.07.12 04:00	130.7740	130.7980	0.0240
2018.07.12 02:00	130.9050	130.9070	0.0020
2018.07.11 17:00	130.2480	130.2510	0.0030
2018.07.11 15:00	130.2680	130.2680	0.0000
2018.07.11 13:00	130.2990	130.2960	-0.0030
2018.07.11 04:00	130.0800	130.7230	0.6430
2018.07.10 19:00	130.4080	130.4080	0.0000
2018.07.10 14:00	130.4640	130.5090	0.0450
2018.07.10 12:00	130.5010	130.5010	0.0000
2018.07.10 10:00	130.5480	130.5510	0.0030
2018.07.07 02:00	129.7090	129.7540	0.0450
2018.07.07 00:00	129.8610	129.8580	-0.0030
2018.07.06 22:00	129.8380	129.8380	0.0000
2018.07.06 18:00	129.5840	129.5840	0.0000
2018.07.06 16:00	129.6380	129.6380	0.0000
2018.07.06 10:00	129.4190	129.4190	0.0000
2018.07.06 08:00	129.3740	129.3730	-0.0010
2018.07.06 02:00	129.4100	129.4110	0.0010
2018.07.05 21:00	129.3810	129.5810	0.2000
2018.07.05 19:00	129.3670	129.3620	-0.0050
2018.07.05 15:00	129.4070	129.4070	0.0000
2018.07.05 09:00	128.8520	128.8500	-0.0020
2018.07.04 16:00	128.7160	128.9080	0.1920
2018.07.04 12:00	128.8170	128.8600	0.0430
2018.07.04 07:00	128.8400	128.9120	0.0720
2018.07.04 05:00	128.9700	128.9720	0.0020
2018.07.04 03:00	128.8870	128.8870	0.0000
2018.07.03 21:00	128.8000	129.2760	0.4760
2018.07.03 17:00	129.2670	129.5080	0.2410
2018.07.03 12:00	128.9680	128.9680	0.0000
2018.07.03 10:00	129.0950	129.0950	0.0000
2018.07.02 18:00	128.6280	129.0150	0.3870
2018.07.02 16:00	128.9970	128.9970	0.0000
2018.07.02 12:00	129.0760	129.4080	0.3320

