Pair=EURJPY;Period=H1;Days=5000;Shift=1;Bars=120000;Time=20180903_135340;;;;;;;;;;
no;Open;High;Low;Close;RSI;MFI;BB.2s;BB.1s;BB.main;BB.-1s;BB.-2s;Diff;High/Low;datetime;
1044;128.791;128.89;128.726;128.887;48.3383799877;39.5180905779;129.2524668823;129.4431337646;129.0618;128.8711331177;128.6804662354;0.096;0.164;2018.07.03 20:00;2018.07.04 03:00;76
1045;128.8;128.849;128.744;128.787;45.8567769143;40.2520887167;129.2537469816;129.4413439632;129.06615;128.8785530184;128.6909560368;-0.013;0.105;2018.07.03 19:00;2018.07.04 02:00;77
1046;128.894;128.962;128.763;128.797;46.066998749;42.9810866666;129.2554701051;129.4319902102;129.07895;128.9024298949;128.7259097898;-0.097;0.199;2018.07.03 18:00;2018.07.04 01:00;78
1047;128.958;129.053;128.841;128.893;48.0770491026;47.3138056088;129.2554403582;129.4318807164;129.079;128.9025596418;128.7261192836;-0.065;0.212;2018.07.03 17:00;2018.07.04 00:00;79
1048;128.991;129.024;128.875;128.957;49.4433852636;52.1794205681;129.259229234;129.447808468;129.07065;128.882070766;128.693491532;-0.034;0.149;2018.07.03 16:00;2018.07.03 23:00;80
1049;129.278;129.297;128.885;128.988;50.0985495819;56.6306597866;129.2613722641;129.4643445282;129.0584;128.8554277359;128.6524554718;-0.29;0.412;2018.07.03 15:00;2018.07.03 22:00;81
1050;129.121;129.294;129.091;129.276;56.733471157;62.0184843243;129.2661879594;129.4945759188;129.0378;128.8094120406;128.5810240812;0.155;0.203;2018.07.03 14:00;2018.07.03 21:00;82
1051;129.267;129.328;129.109;129.12;53.5692091393;57.3263164486;129.2492741222;129.5002482443;128.9983;128.7473258778;128.4963517557;-0.147;0.219;2018.07.03 13:00;2018.07.03 20:00;83
1052;129.335;129.372;129.22;129.267;57.3220341943;56.0831879588;129.2382223612;129.5083447223;128.9681;128.6979776388;128.4278552777;-0.068;0.152;2018.07.03 12:00;2018.07.03 19:00;84
1053;129.509;129.561;129.316;129.331;59.0325247761;55.3839697116;129.2068053317;129.4773606634;128.93625;128.6656946683;128.3951393366;-0.178;0.245;2018.07.03 11:00;2018.07.03 18:00;85
1054;129.328;129.521;129.212;129.508;64.054387964;55.2132703335;129.1645915097;129.4222330193;128.90695;128.6493084903;128.3916669807;0.18;0.309;2018.07.03 10:00;2018.07.03 17:00;86
1055;129.154;129.354;129.107;129.327;60.816143677;49.4389522131;129.0901153365;129.3082306729;128.872;128.6538846635;128.4357693271;0.173;0.247;2018.07.03 09:00;2018.07.03 16:00;87
1056;128.932;129.239;128.872;129.153;57.303357376;43.7178302342;129.0465589311;129.2395678623;128.85355;128.6605410689;128.4675321377;0.221;0.367;2018.07.03 08:00;2018.07.03 15:00;88
1057;128.933;129.016;128.893;128.931;52.098336413;43.0083950328;129.0305382936;129.2147265872;128.84635;128.6621617064;128.4779734128;-0.002;0.123;2018.07.03 07:00;2018.07.03 14:00;89
1058;128.968;129.009;128.856;128.933;52.1527499048;44.5215288738;129.0375568114;129.2245636227;128.85055;128.6635431886;128.4765363773;-0.035;0.153;2018.07.03 06:00;2018.07.03 13:00;90
1059;128.927;129.096;128.82;128.968;53.0743209915;43.848012997;129.0299588182;129.2163676364;128.84355;128.6571411818;128.4707323636;0.041;0.276;2018.07.03 05:00;2018.07.03 12:00;91
1060;129.095;129.267;128.727;128.928;52.1564307517;49.9840859441;129.0324809324;129.2199618647;128.845;128.6575190676;128.4700381353;-0.167;0.54;2018.07.03 04:00;2018.07.03 11:00;92
1061;129.073;129.178;129.019;129.095;56.5431547133;50.6337559527;129.0287212475;129.2153424949;128.8421;128.6554787526;128.4688575051;0.022;0.159;2018.07.03 03:00;2018.07.03 10:00;93
1062;129.009;129.088;128.984;129.079;56.2079152157;44.8440835429;129.0268667265;129.2124334531;128.8413;128.6557332735;128.4701665469;0.07;0.104;2018.07.03 02:00;2018.07.03 09:00;94
1063;128.98;129.047;128.98;129.011;54.8000955171;40.8984555612;129.0395346979;129.2327193958;128.84635;128.6531653021;128.4599806042;0.031;0.067;2018.07.03 01:00;2018.07.03 08:00;95
1064;129.033;129.068;128.92;128.974;54.0362897885;43.5706319506;129.0927907324;129.3193814648;128.8662;128.6396092676;128.4130185352;-0.059;0.148;2018.07.03 00:00;2018.07.03 07:00;96
1065;128.795;129.107;128.781;129.043;55.7039293824;45.6560864214;129.1412768205;129.3951536411;128.8874;128.6335231795;128.379646359;0.248;0.326;2018.07.02 23:00;2018.07.03 06:00;97
1066;128.728;128.836;128.716;128.798;50.5568163994;42.4300575802;129.1668199;129.4337898;128.89985;128.6328801;128.3659102;0.07;0.12;2018.07.02 22:00;2018.07.03 05:00;98
1067;128.711;128.738;128.672;128.726;48.8990730508;41.9062695949;129.2064805301;129.4871610603;128.9258;128.6451194699;128.3644389397;0.015;0.066;2018.07.02 21:00;2018.07.03 04:00;99
1068;128.58;128.736;128.547;128.712;48.5806115637;43.2259867671;129.2351146486;129.5192792972;128.95095;128.6667853514;128.3826207029;0.132;0.189;2018.07.02 20:00;2018.07.03 03:00;100
1069;128.485;128.649;128.48;128.576;45.4428932727;40.2934398192;129.2495400864;129.5295801728;128.9695;128.6894599136;128.4094198272;0.091;0.169;2018.07.02 19:00;2018.07.03 02:00;101
1070;128.52;128.611;128.416;128.486;43.2664142691;36.8870274451;129.2816834541;129.5565169082;129.00685;128.7320165459;128.4571830918;-0.034;0.195;2018.07.02 18:00;2018.07.03 01:00;102
1071;128.628;128.756;128.511;128.516;43.8199909472;36.4003332943;129.2993935289;129.5524370577;129.04635;128.7933064711;128.5402629423;-0.112;0.245;2018.07.02 17:00;2018.07.03 00:00;103
1072;128.747;128.789;128.585;128.63;45.941983341;36.9411907763;129.3195430606;129.5502861211;129.0888;128.8580569394;128.6273138789;-0.117;0.204;2018.07.02 16:00;2018.07.02 23:00;104
1073;128.808;128.913;128.729;128.745;48.1777941171;41.3205617314;129.340387371;129.554174742;129.1266;128.912812629;128.699025258;-0.063;0.184;2018.07.02 15:00;2018.07.02 22:00;105
1074;128.957;128.967;128.777;128.809;49.4501200953;46.733110009;129.357355312;129.5576106241;129.1571;128.956844688;128.7565893759;-0.148;0.19;2018.07.02 14:00;2018.07.02 21:00;106
1075;129.008;129.027;128.875;128.958;52.5176339638;52.0164900392;129.3660110853;129.5511721706;129.18085;128.9956889147;128.8105278295;-0.05;0.152;2018.07.02 13:00;2018.07.02 20:00;107
1076;129.012;129.088;128.928;129.009;53.598772991;57.4044203389;129.3774463718;129.5569427437;129.19795;129.0184536282;128.8389572563;-0.003;0.16;2018.07.02 12:00;2018.07.02 19:00;108
1077;128.796;129.075;128.762;129.015;53.7223780657;57.7227979168;129.3782086008;129.5619172016;129.1945;129.0107913992;128.8270827984;0.219;0.313;2018.07.02 11:00;2018.07.02 18:00;109
1078;128.997;128.998;128.627;128.793;49.6402119178;51.6088657156;129.3834921248;129.5834842497;129.1835;128.9835078752;128.7835157503;-0.204;0.371;2018.07.02 10:00;2018.07.02 17:00;110
1079;128.869;129.026;128.838;128.997;53.7816850324;57.4031262632;129.3792003296;129.5688506591;129.18955;128.9998996704;128.8102493409;0.128;0.188;2018.07.02 09:00;2018.07.02 16:00;111
1080;129.076;129.079;128.807;128.87;51.3828064692;52.1620623652;129.3858491305;129.594298261;129.1774;128.9689508695;128.760501739;-0.206;0.272;2018.07.02 08:00;2018.07.02 15:00;112
1081;129.179;129.208;129.057;129.079;55.9204569158;58.6396221696;129.3851435132;129.5911370265;129.17915;128.9731564868;128.7671629735;-0.1;0.151;2018.07.02 07:00;2018.07.02 14:00;113
1082;129.409;129.409;129.156;129.18;58.2834199999;64.0945656025;129.3837864938;129.5925729876;129.175;128.9662135062;128.7574270124;-0.229;0.253;2018.07.02 06:00;2018.07.02 13:00;114
1083;129.399;129.496;129.357;129.408;64.0913698553;63.2788925989;129.3899148716;129.6341797432;129.14565;128.9013851284;128.6571202568;0.009;0.139;2018.07.02 05:00;2018.07.02 12:00;115
1084;129.296;129.491;129.291;129.398;63.9416524095;57.9959424654;129.3662447983;129.6240895966;129.1084;128.8505552017;128.5927104034;0.102;0.2;2018.07.02 04:00;2018.07.02 11:00;116
1085;129.319;129.334;129.167;129.292;62.361361858;52.3665804052;129.3373476226;129.5881452452;129.08655;128.8357523774;128.5849547548;-0.027;0.167;2018.07.02 03:00;2018.07.02 10:00;117
1086;129.23;129.348;129.205;129.317;62.9797912012;57.6645538857;129.318288883;129.565427766;129.07115;128.824011117;128.576872234;0.087;0.143;2018.07.02 02:00;2018.07.02 09:00;118
1087;129.094;129.265;129.09;129.229;61.7100186926;59.136599164;129.2924170901;129.5400841801;129.04475;128.7970829099;128.5494158199;0.135;0.175;2018.07.02 01:00;2018.07.02 08:00;119
1088;129.201;129.291;129.068;129.083;59.5217397385;59.6482273387;129.2735447221;129.5200894442;129.027;128.7804552779;128.5339105558;-0.118;0.223;2018.07.02 00:00;2018.07.02 07:00;120
