[20190209_144139 / views.py:6892]
source csv	=	list_4-3.slice-by-day.(2019-01-23).20190206_135722.csv
source dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw
log file name	=	no-42.[tester-1].20190209_143838.csv
log file dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\log
this file created at	=	20190209_143838
margin_SL=	0.020	margin_TP=	0.040	spread=	0.010

'============== SL ==============
s.n.	e0.no	idx_op	dateTime	idx_curr	dateTime	pr_op	pr_curr	diff	diff of idx
63	10916	566	2019.01.23 09:28	567	2019.01.23 09:29	124.640	124.588	-0.052	1
64	10908	574	2019.01.23 09:36	575	2019.01.23 09:37	124.660	124.614	-0.046	1
65	10903	577	2019.01.23 09:39	580	2019.01.23 09:42	124.633	124.611	-0.022	3
66	10900	582	2019.01.23 09:44	583	2019.01.23 09:45	124.645	124.611	-0.034	1
67	10897	585	2019.01.23 09:47	586	2019.01.23 09:48	124.632	124.594	-0.038	1
68	10893	588	2019.01.23 09:50	590	2019.01.23 09:52	124.618	124.594	-0.024	2
69	10888	592	2019.01.23 09:54	595	2019.01.23 09:57	124.631	124.602	-0.029	3
70	10879	603	2019.01.23 10:05	604	2019.01.23 10:06	124.495	124.458	-0.037	1
71	10875	607	2019.01.23 10:09	608	2019.01.23 10:10	124.464	124.431	-0.033	1
72	10873	609	2019.01.23 10:11	610	2019.01.23 10:12	124.459	124.394	-0.065	1
73	10864	617	2019.01.23 10:19	619	2019.01.23 10:21	124.465	124.434	-0.031	2
74	10857	623	2019.01.23 10:25	626	2019.01.23 10:28	124.501	124.462	-0.039	3
75	10850	631	2019.01.23 10:33	633	2019.01.23 10:35	124.475	124.445	-0.030	2
76	10844	638	2019.01.23 10:40	639	2019.01.23 10:41	124.532	124.493	-0.039	1
77	10837	641	2019.01.23 10:43	646	2019.01.23 10:48	124.518	124.476	-0.042	5
78	10834	648	2019.01.23 10:50	649	2019.01.23 10:51	124.506	124.468	-0.038	1
79	10832	650	2019.01.23 10:52	651	2019.01.23 10:53	124.496	124.469	-0.027	1
80	10828	654	2019.01.23 10:56	655	2019.01.23 10:57	124.490	124.469	-0.021	1
81	10826	656	2019.01.23 10:58	657	2019.01.23 10:59	124.505	124.473	-0.032	1
82	10818	664	2019.01.23 11:06	665	2019.01.23 11:07	124.578	124.497	-0.081	1
