			source = 44_3.2_15_file-io.EURJPY.Period-H1.Days-5000.Bars-120000.20180903_135341.2018-08.(w-1).20180924_112710.csv
			log = PatternPercentage_UpUpAboveBB1S__UpOrDown.20180924_112810.log
			csv = PatternPercentage_UpUpAboveBB1S__UpOrDown.20180924_112810.(csv).csv
id,dateTime,dateTime_Local,PC,dif-0,dif-1,dif-2,rsi.-1,rsi.-2,rsi.-3,mfi.-1,mfi.-2,mfi.-3
96,2018.08.27 17:00,2018.08.28 00:00,129.351,0.242,0.114,0.085,61.213,57.554,54.706,47.666,42.053,41.292
88,2018.08.28 01:00,2018.08.28 08:00,129.683,0.056,0.113,0.165,64.835,66.007,68.008,47.774,48.755,46.366
75,2018.08.28 14:00,2018.08.28 21:00,129.933,0.155,0.051,0.099,63.427,63.301,62.113,59.970,60.612,60.914
49,2018.08.29 16:00,2018.08.29 23:00,129.896,0.385,0.296,0.202,52.267,46.884,44.205,28.573,23.135,28.677
48,2018.08.29 17:00,2018.08.30 00:00,130.273,0.296,0.202,0.014,62.782,52.267,46.884,35.277,28.573,23.135
44,2018.08.29 21:00,2018.08.30 04:00,130.606,0.062,0.059,0.014,65.183,71.765,71.504,55.307,53.801,50.237
43,2018.08.29 22:00,2018.08.30 05:00,130.668,0.059,0.014,0.066,66.251,65.183,71.765,52.500,55.307,53.801


