Pair=EURJPY;Period=M1;Days=33000;Shift=1;Bars=1980000;Time=20190203_101336
no;Open;High;Low;Close;RSI;MFI;BB.2s;BB.1s;BB.main;BB.-1s;BB.-2s;Diff;High/Low;datetime;dateTime_Local;s.n.
25842;124.413;124.414;124.369;124.369;35.48023193727558;36.70510435587558;124.4847827338815;124.4565163669412;124.428250000001;124.3999836330608;124.3717172661205;-0.04399999999999693;0.04500000000000171;2019.01.08 23:59;2019.01.09 06:59;1
25843;124.419;124.42;124.41;124.413;43.7895964431919;37.24455855491157;124.4883870278405;124.4611685139208;124.433950000001;124.4067314860812;124.3795129721615;-0.006000000000000227;0.01000000000000512;2019.01.08 23:58;2019.01.09 06:58;2
25844;124.411;124.425;124.411;124.42;45.39643436237908;40.01816448878988;124.4979060197649;124.4680030098829;124.438100000001;124.408196990119;124.3782939802371;0.009000000000000341;0.01399999999999579;2019.01.08 23:57;2019.01.09 06:57;3
25845;124.425;124.425;124.408;124.409;42.23191813549862;42.0537367395891;124.5063378094062;124.4741439047036;124.441950000001;124.4097560952984;124.3775621905958;-0.01599999999999113;0.01699999999999591;2019.01.08 23:56;2019.01.09 06:56;4
25846;124.426;124.433;124.418;124.425;45.90837198342105;47.81077654538994;124.5102167611693;124.4778833805852;124.445550000001;124.4132166194168;124.3808832388327;-0.001000000000004775;0.01500000000000057;2019.01.08 23:55;2019.01.09 06:55;5
25847;124.392;124.426;124.392;124.426;46.1468972776168;45.54786296457983;124.5125814788356;124.4801907394183;124.447800000001;124.4154092605837;124.3830185211663;0.03400000000000603;0.03400000000000603;2019.01.08 23:54;2019.01.09 06:54;6
25848;124.393;124.397;124.389;124.392;35.28667286389454;43.88103638127218;124.5143365102182;124.4820932551096;124.449850000001;124.4176067448924;124.3853634897837;-0.001000000000004775;0.008000000000009777;2019.01.08 23:53;2019.01.09 06:53;7
25849;124.392;124.404;124.391;124.397;36.30964732783768;49.4045922473906;124.512597353879;124.48307367694;124.453550000001;124.424026323062;124.3945026461229;0.005000000000009663;0.01299999999999102;2019.01.08 23:52;2019.01.09 06:52;8
25850;124.391;124.394;124.385;124.392;34.50588221293374;48.29543728812634;124.5097626045356;124.4832313022683;124.456700000001;124.4301686977337;124.4036373954663;0.000999999999990564;0.009000000000000341;2019.01.08 23:51;2019.01.09 06:51;9
25851;124.445;124.445;124.357;124.39;33.79337149970524;49.02574269514552;124.5038617748177;124.4818308874094;124.459800000001;124.4377691125926;124.4157382251843;-0.05499999999999261;0.08799999999999386;2019.01.08 23:50;2019.01.09 06:50;10
25852;124.459;124.459;124.445;124.445;47.21155411589692;60.24219988486364;124.4935358983804;124.4782929491907;124.463050000001;124.4478070508113;124.4325641016216;-0.01400000000001;0.01400000000001;2019.01.08 23:49;2019.01.09 06:49;11
25853;124.462;124.463;124.458;124.46;52.62545379845813;65.44907855434617;124.4931702311354;124.4784601155682;124.463750000001;124.4490398844338;124.4343297688666;-0.00200000000000955;0.004999999999995453;2019.01.08 23:48;2019.01.09 06:48;12
25854;124.457;124.468;124.455;124.464;54.19999299097437;65.23247430443547;124.4932424990632;124.4782462495321;124.463250000001;124.4482537504698;124.4332575009387;0.007000000000005002;0.01300000000000523;2019.01.08 23:47;2019.01.09 06:47;13
