[20181001_122640 / libfx.py:7035]
source = 44_3.2_15_file-io.EURJPY.Period-H1.Days-5000.Bars-120000.20180903_135341.2018-08.csv
log file = op_2-2.detect.highs-lows.v-3.EURJPY-Period-H1.20181001_122640.log

lo_Highs	lo_Lows	lenOf_LO_BarDatas
93	86	552
0.168	0.156	1.000

[20181001_122640 / libfx.py:7082]
<highs>
datetime(local)	start	current	diff
2018.08.07 11:00	128.6780	128.6780	0.0000
2018.08.07 23:00	128.9260	128.9380	0.0120
2018.08.08 01:00	128.9390	128.9470	0.0080
2018.08.08 08:00	129.1520	129.1800	0.0280
2018.08.08 19:00	129.3180	128.6450	-0.6730
2018.08.09 00:00	128.7200	128.7130	-0.0070
2018.08.09 03:00	128.7130	128.7700	0.0570
2018.08.09 09:00	128.8880	128.7570	-0.1310
2018.08.09 12:00	128.7570	128.6710	-0.0860
2018.08.09 18:00	128.8280	128.8280	0.0000
2018.08.10 02:00	128.8250	128.2850	-0.5400
2018.08.10 11:00	128.2840	127.9300	-0.3540
2018.08.10 16:00	127.9310	127.3060	-0.6250
2018.08.10 18:00	127.3050	127.0190	-0.2860
2018.08.11 00:00	127.0720	126.5680	-0.5040
2018.08.11 02:00	126.5740	126.2390	-0.3350
2018.08.11 04:00	126.2370	126.1010	-0.1360
2018.08.13 13:00	125.7100	125.4350	-0.2750
2018.08.13 15:00	125.4380	125.5340	0.0960
2018.08.13 21:00	125.6230	126.0450	0.4220
2018.08.14 02:00	126.4720	126.1360	-0.3360
2018.08.14 06:00	126.1050	126.3250	0.2200
2018.08.14 10:00	126.2760	126.3270	0.0510
2018.08.15 02:00	126.4590	125.9930	-0.4660
2018.08.15 14:00	126.0920	126.0440	-0.0480
2018.08.16 01:00	126.0390	125.3590	-0.6800
2018.08.16 10:00	125.5710	125.4300	-0.1410
2018.08.16 18:00	126.0570	126.1100	0.0530
2018.08.16 20:00	126.1130	126.0240	-0.0890
2018.08.16 23:00	126.0230	126.1470	0.1240
2018.08.17 01:00	126.1480	126.2780	0.1300
2018.08.17 04:00	126.2810	126.0180	-0.2630
2018.08.17 18:00	126.1150	126.1890	0.0740
2018.08.17 20:00	126.1850	125.8540	-0.3310
2018.08.17 22:00	125.8540	125.9040	0.0500
2018.08.20 12:00	126.4740	126.3310	-0.1430
2018.08.20 17:00	126.3360	126.3260	-0.0100
2018.08.20 19:00	126.3260	126.2530	-0.0730
2018.08.20 21:00	126.2500	126.3020	0.0520
2018.08.20 23:00	126.3020	126.1780	-0.1240
2018.08.21 17:00	126.8900	126.8460	-0.0440
2018.08.22 09:00	127.7790	127.4710	-0.3080
2018.08.22 18:00	127.7990	127.7670	-0.0320
