Pair=EURJPY;Period=H1;Days=5000;Shift=1;Bars=120000;Time=20180903_135340;;;;;;;;;;
no;Open;High;Low;Close;RSI;MFI;BB.2s;BB.1s;BB.main;BB.-1s;BB.-2s;Diff;High/Low;datetime;
114;129.264;129.31;129.196;129.294;70.6950638023;72.8706310267;129.2384187836;129.4658875671;129.01095;128.7834812164;128.5560124329;0.03;0.114;2018.08.24 23:00;2018.08.25 06:00;1
115;129.283;129.304;129.229;129.264;70.0281278336;74.2365003383;129.209583996;129.440767992;128.9784;128.747216004;128.516032008;-0.019;0.075;2018.08.24 22:00;2018.08.25 05:00;2
116;129.208;129.307;129.159;129.281;70.8967298546;74.2286292359;129.1823058008;129.4223616016;128.94225;128.7021941992;128.4621383984;0.073;0.148;2018.08.24 21:00;2018.08.25 04:00;3
117;129.264;129.337;129.141;129.21;69.3903309677;74.1854537392;129.1485392004;129.3940284007;128.90305;128.6575607996;128.4120715993;-0.054;0.196;2018.08.24 20:00;2018.08.25 03:00;4
118;129.288;129.35;129.256;129.257;71.7250363641;79.3996834356;129.1182798467;129.3707096934;128.86585;128.6134201533;128.3609903066;-0.031;0.094;2018.08.24 19:00;2018.08.25 02:00;5
119;129.328;129.343;129.207;129.288;73.2697401854;78.9440650337;129.0763683596;129.3265867193;128.82615;128.5759316404;128.3257132807;-0.04;0.136;2018.08.24 18:00;2018.08.25 01:00;6
120;129.081;129.416;129.051;129.327;75.2054958615;78.348412695;129.023955376;129.264610752;128.7833;128.542644624;128.301989248;0.246;0.365;2018.08.24 17:00;2018.08.25 00:00;7
121;129.071;129.234;129.059;129.082;70.5643577992;73.4291919315;128.9571001133;129.1778002266;128.7364;128.5156998867;128.2949997734;0.011;0.175;2018.08.24 16:00;2018.08.24 23:00;8
122;129.043;129.075;128.914;129.07;70.3057268303;68.2289821859;128.9208773106;129.1420046212;128.69975;128.4786226894;128.2574953788;0.027;0.161;2018.08.24 15:00;2018.08.24 22:00;9
123;129.008;129.119;128.957;129.042;69.7159033938;68.5878911488;128.8801788203;129.0859076406;128.67445;128.4687211797;128.2629923594;0.034;0.162;2018.08.24 14:00;2018.08.24 21:00;10
