[20190307_090103 / views.py:11251]
fname_Src_CSV	44_5.1_10_rawdata.(EURUSD).(Period-M15).(NumOfUnits-6000).(Bars-6000).20190226_125818.csv
slice by	day
this file	(20190307_090102).(EURUSD-M15).[sec-1~BB-histogram.UU-UD-DU-DD].csv 
pair	EURUSD
timeframe	M15

[BB locations]==============================
loc.	UU	UD	DU	DD	%UU	%UD	%DU	%DD
[20190307_090103 / views.py:11270]
> 2S	135	206	19	19	0.0957	0.1372	0.0130	0.0140
2S >= / >= 1S	352	436	230	210	0.2495	0.2903	0.1572	0.1545
1S > / >= main	353	360	366	369	0.2502	0.2397	0.2502	0.2715
main > / >= M1S	355	295	332	280	0.2516	0.1964	0.2269	0.2060
M1S > / >= M2S	202	188	345	313	0.1432	0.1252	0.2358	0.2303
M2S >	14	17	171	168	0.0099	0.0113	0.1169	0.1236
