[20190329_134836 / views.py:13615]
fname_Src_CSV	44_5.1_10_rawdata.(EURJPY).(Period-M15).(NumOfUnits-4500).(Bars-ALL-20190327_162926).20190214_095445.csv
slice by	through
this file	(20190329_134834).(EURJPY-M15).[sec-1.A-6.3-seq].(20190329_134836).csv
pair	EURJPY
timeframe	M15
start	2018.11.09 03:30
end	2019.03.27 10:15
bars	9065

[20190329_134836 / views.py:13684]
[lo_UUU]==============================
s.n.	e0.date	e1.date	e2.date	e0.diff	e1.diff	e2.diff
1	2018.11.09 13:00	2018.11.09 13:15	2018.11.09 13:30	0.056	0.025	0.037
2	2018.11.09 13:15	2018.11.09 13:30	2018.11.09 13:45	0.025	0.037	0.028
3	2018.11.09 14:30	2018.11.09 14:45	2018.11.09 15:00	0.039	0.032	0.041
4	2018.11.09 15:30	2018.11.09 15:45	2018.11.09 16:00	0.004	0.083	0.001
5	2018.11.09 15:45	2018.11.09 16:00	2018.11.09 16:15	0.083	0.001	0.018
6	2018.11.09 19:15	2018.11.09 19:30	2018.11.09 19:45	0.074	0.045	0.059
7	2018.11.09 19:30	2018.11.09 19:45	2018.11.09 20:00	0.045	0.059	0.011
8	2018.11.09 21:30	2018.11.09 21:45	2018.11.09 22:00	0.086	0.010	0.001
9	2018.11.09 21:45	2018.11.09 22:00	2018.11.09 22:15	0.010	0.001	0.013
10	2018.11.12 01:45	2018.11.12 02:00	2018.11.12 02:15	0.038	0.043	0.028
11	2018.11.12 02:00	2018.11.12 02:15	2018.11.12 02:30	0.043	0.028	0.028
12	2018.11.12 02:15	2018.11.12 02:30	2018.11.12 02:45	0.028	0.028	0.000
13	2018.11.12 02:30	2018.11.12 02:45	2018.11.12 03:00	0.028	0.000	0.040
14	2018.11.12 02:45	2018.11.12 03:00	2018.11.12 03:15	0.000	0.040	0.011
15	2018.11.12 03:00	2018.11.12 03:15	2018.11.12 03:30	0.040	0.011	0.007
16	2018.11.12 20:45	2018.11.12 21:00	2018.11.12 21:15	0.056	0.029	0.006
17	2018.11.13 02:30	2018.11.13 02:45	2018.11.13 03:00	0.011	0.059	0.076
18	2018.11.13 04:45	2018.11.13 05:00	2018.11.13 05:15	0.052	0.031	0.162
19	2018.11.13 05:00	2018.11.13 05:15	2018.11.13 05:30	0.031	0.162	0.199
20	2018.11.13 05:15	2018.11.13 05:30	2018.11.13 05:45	0.162	0.199	0.040
21	2018.11.13 05:30	2018.11.13 05:45	2018.11.13 06:00	0.199	0.040	0.052
22	2018.11.13 15:00	2018.11.13 15:15	2018.11.13 15:30	0.024	0.023	0.028
23	2018.11.13 17:30	2018.11.13 17:45	2018.11.13 18:00	0.073	0.194	0.152
24	2018.11.13 21:15	2018.11.13 21:30	2018.11.13 21:45	0.011	0.007	0.042
25	2018.11.13 21:30	2018.11.13 21:45	2018.11.13 22:00	0.007	0.042	0.047
26	2018.11.13 22:30	2018.11.13 22:45	2018.11.13 23:00	0.075	0.032	0.044
27	2018.11.13 22:45	2018.11.13 23:00	2018.11.13 23:15	0.032	0.044	0.023
28	2018.11.13 23:00	2018.11.13 23:15	2018.11.13 23:30	0.044	0.023	0.032
29	2018.11.13 23:15	2018.11.13 23:30	2018.11.13 23:45	0.023	0.032	0.017
30	2018.11.14 00:15	2018.11.14 00:30	2018.11.14 00:45	0.015	0.061	0.067
31	2018.11.14 00:30	2018.11.14 00:45	2018.11.14 01:00	0.061	0.067	0.108
32	2018.11.14 00:45	2018.11.14 01:00	2018.11.14 01:15	0.067	0.108	0.072
33	2018.11.14 02:45	2018.11.14 03:00	2018.11.14 03:15	0.019	0.020	0.038
34	2018.11.14 08:15	2018.11.14 08:30	2018.11.14 08:45	0.040	0.026	0.014
35	2018.11.14 13:30	2018.11.14 13:45	2018.11.14 14:00	0.034	0.001	0.048
36	2018.11.14 13:45	2018.11.14 14:00	2018.11.14 14:15	0.001	0.048	0.086
37	2018.11.14 14:00	2018.11.14 14:15	2018.11.14 14:30	0.048	0.086	0.071
38	2018.11.14 15:00	2018.11.14 15:15	2018.11.14 15:30	0.164	0.018	0.099
39	2018.11.14 16:00	2018.11.14 16:15	2018.11.14 16:30	0.024	0.069	0.062
40	2018.11.14 16:15	2018.11.14 16:30	2018.11.14 16:45	0.069	0.062	0.308
41	2018.11.14 21:30	2018.11.14 21:45	2018.11.14 22:00	0.172	0.195	0.076
42	2018.11.14 23:45	2018.11.15 00:00	2018.11.15 00:15	0.007	0.024	0.006
43	2018.11.15 00:00	2018.11.15 00:15	2018.11.15 00:30	0.024	0.006	0.013
44	2018.11.15 00:15	2018.11.15 00:30	2018.11.15 00:45	0.006	0.013	0.008
45	2018.11.15 00:30	2018.11.15 00:45	2018.11.15 01:00	0.013	0.008	0.094
46	2018.11.15 02:00	2018.11.15 02:15	2018.11.15 02:30	0.040	0.003	0.062
47	2018.11.15 04:00	2018.11.15 04:15	2018.11.15 04:30	0.028	0.100	0.062
48	2018.11.15 06:15	2018.11.15 06:30	2018.11.15 06:45	0.081	0.018	0.020
49	2018.11.15 07:30	2018.11.15 07:45	2018.11.15 08:00	0.007	0.037	0.060
50	2018.11.15 07:45	2018.11.15 08:00	2018.11.15 08:15	0.037	0.060	0.016
51	2018.11.15 12:15	2018.11.15 12:30	2018.11.15 12:45	0.063	0.139	0.077
