Pair=USDJPY;Period=M15;Days=9000;Shift=1;Bars=9000;Time=20181208_065354
no;Open;High;Low;Close;RSI;MFI;BB.2s;BB.1s;BB.main;BB.-1s;BB.-2s;Diff;High/Low;datetime;dateTime_Local;s.n.
4703;113.968;113.988;113.953;113.979;52.75077745126813;43.47509793111011;114.0078110154805;113.9871555077405;113.9665000000004;113.9458444922603;113.9251889845203;0.01099999999999568;0.03499999999999659;2018.10.01 23:45;2018.10.02 06:45;1
4704;113.956;113.979;113.955;113.97;51.5489753504222;44.13508317735146;114.0067610009659;113.9863055004832;113.9658500000004;113.9453944995177;113.9249389990349;0.01399999999999579;0.02400000000000091;2018.10.01 23:30;2018.10.02 06:30;2
4705;113.974;113.981;113.951;113.955;49.51584248885069;48.43725491580865;114.0062285788721;113.9856642894362;113.9651000000004;113.9445357105646;113.9239714211288;-0.01900000000000546;0.03000000000000114;2018.10.01 23:15;2018.10.02 06:15;3
4706;113.976;113.976;113.947;113.974;52.14911422198943;43.83625077401339;114.0077857809064;113.9857678904534;113.9637500000004;113.9417321095474;113.9197142190944;-0.001999999999995339;0.02899999999999636;2018.10.01 23:00;2018.10.02 06:00;4
4707;113.943;113.982;113.941;113.981;53.1381824343522;40.69732155338922;114.0069840153485;113.9850920076745;113.9632000000004;113.9413079923264;113.9194159846523;0.0379999999999967;0.04099999999999682;2018.10.01 22:45;2018.10.02 05:45;5
4708;113.941;113.943;113.921;113.942;47.90902166123633;32.63930461739982;114.0049963954676;113.983323197734;113.9616500000004;113.9399768022668;113.9183036045332;0.000999999999990564;0.02199999999999136;2018.10.01 22:30;2018.10.02 05:30;6
4709;113.944;113.956;113.92;113.94;47.62429262303448;31.48005306427109;114.0101692879036;113.987384643952;113.9646000000004;113.9418153560488;113.9190307120973;-0.004000000000004889;0.03600000000000136;2018.10.01 22:15;2018.10.02 05:15;7
4710;113.982;113.982;113.942;113.942;47.87288191923392;37.4602539505677;114.0219203945361;113.9955601972683;113.9692000000004;113.9428398027326;113.9164796054647;-0.04000000000000625;0.04000000000000625;2018.10.01 22:00;2018.10.02 05:00;8
4711;113.99;113.996;113.956;113.981;52.99757814864044;42.83848325258915;114.025717686853;113.9990338434267;113.9723500000004;113.9456661565741;113.9189823131478;-0.009000000000000341;0.03999999999999204;2018.10.01 21:45;2018.10.02 04:45;9
4712;114.006;114.006;113.968;113.989;54.12669542671625;48.20310122285743;114.0254863960129;113.9988431980067;113.9722000000004;113.9455568019942;113.9189136039879;-0.01699999999999591;0.0379999999999967;2018.10.01 21:30;2018.10.02 04:30;10
