Pair=USDJPY;Period=M15;Days=9000;Shift=1;Bars=9000;Time=20181208_065354
no;Open;High;Low;Close;RSI;MFI;BB.2s;BB.1s;BB.main;BB.-1s;BB.-2s;Diff;High/Low;datetime;dateTime_Local;s.n.
2413;113.204;113.238;113.193;113.233;63.43036416985231;59.95955750162888;113.276923132006;113.1510365660031;113.0251500000002;112.8992634339973;112.7733768679944;0.02900000000001057;0.04500000000000171;2018.11.02 20:15;2018.11.03 03:15;15
2414;113.124;113.211;113.072;113.201;62.19742763938286;56.73421827675822;113.2539714019625;113.1288607009814;113.0037500000002;112.878639299019;112.7535285980379;0.07699999999999818;0.1389999999999958;2018.11.02 20:00;2018.11.03 03:00;16
2415;113.156;113.168;113.061;113.124;59.04070118091772;53.59426118537176;113.2285118358584;113.1070559179293;112.9856000000002;112.8641440820711;112.742688164142;-0.03200000000001069;0.1069999999999993;2018.11.02 19:45;2018.11.03 02:45;17
2416;113.251;113.262;113.119;113.154;60.92372664349148;54.00945047436767;113.2116166153058;113.092633307653;112.9736500000002;112.8546666923474;112.7356833846946;-0.09700000000000841;0.1430000000000007;2018.11.02 19:30;2018.11.03 02:30;18
2417;113.217;113.291;113.205;113.249;67.38953950198403;57.82982253183836;113.1858074731856;113.0734037365929;112.9610000000002;112.8485962634075;112.7361925268148;0.03199999999999648;0.08599999999999852;2018.11.02 19:15;2018.11.03 02:15;19
2418;113.096;113.224;113.084;113.219;66.31711377799735;57.58034914191823;113.1265338027739;113.034816901387;112.9431000000002;112.8513830986134;112.7596661972266;0.1229999999999905;0.1400000000000006;2018.11.02 19:00;2018.11.03 02:00;20
2419;113.009;113.109;112.984;113.091;61.13672977357627;54.07070594053766;113.061522272243;112.9931861361216;112.9248500000002;112.8565138638788;112.7881777277575;0.08199999999999363;0.125;2018.11.02 18:45;2018.11.03 01:45;21
2420;112.978;113.061;112.942;113.01;57.17737321445168;52.20814708876575;113.0297812190993;112.9713156095498;112.9128500000002;112.8543843904507;112.7959187809011;0.03200000000001069;0.119000000000014;2018.11.02 18:30;2018.11.03 01:30;22
2421;113.015;113.018;112.94;112.978;55.47490630966428;50.38142108522813;113.0164768247012;112.9603884123507;112.9043000000002;112.8482115876497;112.7921231752992;-0.03700000000000614;0.07800000000000296;2018.11.02 18:15;2018.11.03 01:15;23
2422;112.95;113.046;112.935;113.017;58.15164265167532;55.03839209677864;113.0084695844139;112.952584792207;112.8967000000002;112.8408152077934;112.7849304155866;0.06699999999999307;0.1110000000000042;2018.11.02 18:00;2018.11.03 01:00;24
2423;112.854;112.972;112.846;112.951;54.63232493765287;53.28013970842793;112.9918037593323;112.9386018796663;112.8854000000002;112.8321981203342;112.7789962406681;0.0969999999999942;0.1259999999999906;2018.11.02 17:45;2018.11.03 00:45;25
2424;112.875;112.877;112.787;112.854;48.59669652760361;51.37518352522955;112.9906207896548;112.9332853948275;112.8759500000002;112.818614605173;112.7612792103457;-0.0210000000000008;0.0899999999999892;2018.11.02 17:30;2018.11.03 00:30;26
2425;112.899;112.934;112.866;112.875;49.96380391931244;53.17332995139892;113.0026070462909;112.9359035231456;112.8692000000002;112.8024964768549;112.7357929537096;-0.02400000000000091;0.06799999999999784;2018.11.02 17:15;2018.11.03 00:15;27
2426;112.933;112.942;112.846;112.899;51.53792585900091;54.13184195838646;113.0042939745951;112.9340719872977;112.8638500000003;112.7936280127028;112.7234060254054;-0.03400000000000603;0.09599999999998943;2018.11.02 17:00;2018.11.03 00:00;28
2427;112.99;112.999;112.889;112.933;53.81993470657831;55.99489021252593;113.0008890833246;112.9310445416624;112.8612000000003;112.7913554583381;112.7215109166759;-0.05699999999998795;0.1099999999999994;2018.11.02 16:45;2018.11.02 23:45;29
2428;112.945;113.003;112.887;112.99;57.90324956147253;58.3237470717163;112.9949058735887;112.9268029367945;112.8587000000003;112.790597063206;112.7224941264118;0.04500000000000171;0.1159999999999997;2018.11.02 16:30;2018.11.02 23:30;30
2429;112.885;112.967;112.883;112.948;55.54213910373979;51.06651111241929;112.9784033440326;112.9163516720164;112.8543000000003;112.7922483279841;112.730196655968;0.06299999999998818;0.08400000000000318;2018.11.02 16:15;2018.11.02 23:15;31
2430;112.966;113.018;112.881;112.884;51.61345968603345;44.44981787315113;112.9731600577677;112.913005028884;112.8528500000003;112.7926949711165;112.7325399422328;-0.08199999999999363;0.1370000000000005;2018.11.02 16:00;2018.11.02 23:00;32
2431;112.927;113.007;112.881;112.965;57.74928980346985;45.44733056592245;112.9789419218831;112.9169709609417;112.8550000000003;112.7930290390589;112.7310580781175;0.0379999999999967;0.1260000000000048;2018.11.02 15:45;2018.11.02 22:45;33
2432;112.802;113.033;112.802;112.928;55.4510901929898;38.68579686830501;112.9791700628427;112.9171100314215;112.8550500000003;112.7929899685791;112.7309299371579;0.1259999999999906;0.2309999999999945;2018.11.02 15:30;2018.11.02 22:30;34
2433;112.837;112.861;112.774;112.805;46.21105174211402;35.21244907138799;112.9978052236477;112.928527611824;112.8592500000003;112.7899723881765;112.7206947763528;-0.03199999999999648;0.0870000000000033;2018.11.02 15:15;2018.11.02 22:15;35
2434;112.889;112.896;112.822;112.838;48.79035940845992;35.57841798204579;113.0134635388893;112.9407067694448;112.8679500000003;112.7951932305558;112.7224364611113;-0.05100000000000193;0.07399999999999807;2018.11.02 15:00;2018.11.02 22:00;36
2435;112.901;112.901;112.864;112.885;52.77603134109686;42.05488453600032;113.0316770863317;112.953863543166;112.8760500000003;112.7982364568346;112.7204229136689;-0.01599999999999113;0.03699999999999193;2018.11.02 14:45;2018.11.02 21:45;37
2436;112.891;112.918;112.875;112.901;54.2081460843679;45.41338540208043;113.0579412342934;112.9711706171468;112.8844000000003;112.7976293828537;112.7108587657071;0.009999999999990905;0.04300000000000637;2018.11.02 14:30;2018.11.02 21:30;38
2437;112.854;112.894;112.845;112.891;53.45827398579098;44.90433680200317;113.0686558429771;112.9788029214887;112.8889500000003;112.7990970785119;112.7092441570235;0.03700000000000614;0.04900000000000659;2018.11.02 14:15;2018.11.02 21:15;39
2438;112.85;112.854;112.814;112.854;50.61569012187888;44.24598345756891;113.0847141454257;112.990157072713;112.8956000000003;112.8010429272875;112.7064858545748;0.004000000000004889;0.04000000000000625;2018.11.02 14:00;2018.11.02 21:00;40
2439;112.839;112.87;112.824;112.851;50.38226322969412;44.07777081849851;113.0935626039698;112.997756301985;112.9019500000003;112.8061436980155;112.7103373960307;0.01200000000000045;0.04600000000000648;2018.11.02 13:45;2018.11.02 20:45;41
