Pair=EURJPY;Period=H1;Days=5000;Shift=1;Bars=120000;Time=20180903_135340;;;;;;;;;;
no;Open;High;Low;Close;RSI;MFI;BB.2s;BB.1s;BB.main;BB.-1s;BB.-2s;Diff;High/Low;datetime;
259;126.019;126.156;126.01;126.147;53.2931314997;54.3153051394;126.3968812087;126.2132906043;126.0297;125.8461093957;125.6625187913;0.128;0.146;2018.08.16 22:00;2018.08.17 05:00;26
260;125.935;126.047;125.898;126.018;51.0818805042;52.3876852027;126.4438977913;126.2183738956;125.99285;125.7673261044;125.5418022087;0.083;0.149;2018.08.16 21:00;2018.08.17 04:00;27
261;126.043;126.098;125.871;125.933;49.5879001049;50.3083376877;126.4646750195;126.2160875097;125.9675;125.7189124903;125.4703249805;-0.11;0.227;2018.08.16 20:00;2018.08.17 03:00;28
262;126.281;126.487;125.939;126.046;51.5772751394;47.8618568737;126.4759691941;126.212634597;125.9493;125.685965403;125.4226308059;-0.235;0.548;2018.08.16 19:00;2018.08.17 02:00;29
263;126.144;126.278;126.093;126.278;55.9557057375;51.2870801074;126.4705200753;126.1996600377;125.9288;125.6579399623;125.3870799247;0.134;0.185;2018.08.16 18:00;2018.08.17 01:00;30
264;126.148;126.336;126.084;126.145;53.8207224925;50.8200527823;126.4326769858;126.1627134929;125.89275;125.6227865071;125.3528230142;-0.003;0.252;2018.08.16 17:00;2018.08.17 00:00;31
265;125.752;126.229;125.721;126.147;53.8580180534;46.1230111702;126.4162131378;126.1374815689;125.85875;125.5800184311;125.3012868622;0.395;0.508;2018.08.16 16:00;2018.08.16 23:00;32
266;125.994;126.064;125.702;125.75;46.9220721757;40.7299958196;126.3910133714;126.1077566857;125.8245;125.5412433143;125.2579866286;-0.244;0.362;2018.08.16 15:00;2018.08.16 22:00;33
267;126.023;126.164;125.952;125.993;51.4162383081;46.2542680763;126.3911044494;126.1041272247;125.81715;125.5301727753;125.2431955506;-0.03;0.212;2018.08.16 14:00;2018.08.16 21:00;34
268;126.011;126.135;125.978;126.024;52.020078432;53.068707787;126.3864489933;126.0859494967;125.78545;125.4849505033;125.1844510067;0.013;0.157;2018.08.16 13:00;2018.08.16 20:00;35
269;126.113;126.133;125.94;126.007;51.7247145749;46.5773080969;126.4273235572;126.0789367786;125.73055;125.3821632214;125.0337764428;-0.106;0.193;2018.08.16 12:00;2018.08.16 19:00;36
270;125.923;126.208;125.916;126.11;53.6248103622;45.8754164591;126.412890796;126.051095398;125.6893;125.327504602;124.965709204;0.187;0.292;2018.08.16 11:00;2018.08.16 18:00;37
271;126.057;126.149;125.867;125.925;50.5235819689;40.4039044682;126.3599903299;126.0083951649;125.6568;125.3052048351;124.9536096701;-0.132;0.282;2018.08.16 10:00;2018.08.16 17:00;38
272;126.28;126.29;126.043;126.055;52.8844475124;40.6566254024;126.3369600649;125.9907050325;125.64445;125.2981949675;124.9519399351;-0.225;0.247;2018.08.16 09:00;2018.08.16 16:00;39
273;126.096;126.374;126.008;126.282;57.328218585;40.6827152853;126.3037789945;125.9680394972;125.6323;125.2965605028;124.9608210055;0.186;0.366;2018.08.16 08:00;2018.08.16 15:00;40
274;126.193;126.194;125.989;126.097;54.3589549285;35.355238043;126.2391833866;125.9278416933;125.6165;125.3051583067;124.9938166134;-0.096;0.205;2018.08.16 07:00;2018.08.16 14:00;41
