"[20181225_173505 / libfx_2.py:2898] "				
"##################################################"				
"Source csv"	": 44_3.2_15_file-io.EURJPY.Period-H1.Days-5000.Bars-120000.20180903_135340.(m-01).20180926_205209.csv"			
"Pair"	": EURJPY"			
"Period"	": H1"			
"##################################################"				
				
"a0[0]"	2	" / "	"a0[1].dateTime"	"2018.01.10 13:00"
"a0[0]"	2	" / "	"a0[1].dateTime"	"2018.01.15 15:00"
"a0[0]"	2	" / "	"a0[1].dateTime"	"2018.01.16 02:00"
"a0[0]"	2	" / "	"a0[1].dateTime"	"2018.01.16 23:00"
"a0[0]"	2	" / "	"a0[1].dateTime"	"2018.01.17 11:00"
"a0[0]"	2	" / "	"a0[1].dateTime"	"2018.01.17 15:00"
"a0[0]"	2	" / "	"a0[1].dateTime"	"2018.01.18 09:00"
"a0[0]"	2	" / "	"a0[1].dateTime"	"2018.01.19 03:00"
"a0[0]"	2	" / "	"a0[1].dateTime"	"2018.01.19 19:00"
"a0[0]"	2	" / "	"a0[1].dateTime"	"2018.01.22 10:00"
"a0[0]"	2	" / "	"a0[1].dateTime"	"2018.01.23 17:00"
"a0[0]"	2	" / "	"a0[1].dateTime"	"2018.01.24 19:00"
"a0[0]"	2	" / "	"a0[1].dateTime"	"2018.01.24 23:00"
"a0[0]"	2	" / "	"a0[1].dateTime"	"2018.01.25 02:00"
"a0[0]"	2	" / "	"a0[1].dateTime"	"2018.01.26 22:00"
"a0[0]"	2	" / "	"a0[1].dateTime"	"2018.01.29 07:00"
"a0[0]"	2	" / "	"a0[1].dateTime"	"2018.01.30 00:00"
"a0[0]"	2	" / "	"a0[1].dateTime"	"2018.01.31 02:00"
"a0[0]"	2	" / "	"a0[1].dateTime"	"2018.01.31 05:00"
"a0[0]"	3	" / "	"a0[1].dateTime"	"2018.01.02 02:00"
"a0[0]"	3	" / "	"a0[1].dateTime"	"2018.01.03 07:00"
"a0[0]"	3	" / "	"a0[1].dateTime"	"2018.01.11 03:00"
"a0[0]"	3	" / "	"a0[1].dateTime"	"2018.01.11 16:00"
"a0[0]"	3	" / "	"a0[1].dateTime"	"2018.01.15 12:00"
"a0[0]"	3	" / "	"a0[1].dateTime"	"2018.01.15 23:00"
"a0[0]"	3	" / "	"a0[1].dateTime"	"2018.01.16 18:00"
"a0[0]"	3	" / "	"a0[1].dateTime"	"2018.01.17 21:00"
"a0[0]"	3	" / "	"a0[1].dateTime"	"2018.01.18 13:00"
"a0[0]"	3	" / "	"a0[1].dateTime"	"2018.01.23 08:00"
"a0[0]"	3	" / "	"a0[1].dateTime"	"2018.01.25 07:00"
"a0[0]"	3	" / "	"a0[1].dateTime"	"2018.01.25 16:00"
"a0[0]"	3	" / "	"a0[1].dateTime"	"2018.01.26 13:00"
"a0[0]"	4	" / "	"a0[1].dateTime"	"2018.01.05 07:00"
"a0[0]"	4	" / "	"a0[1].dateTime"	"2018.01.08 19:00"
"a0[0]"	4	" / "	"a0[1].dateTime"	"2018.01.12 11:00"
"a0[0]"	4	" / "	"a0[1].dateTime"	"2018.01.12 16:00"
"a0[0]"	4	" / "	"a0[1].dateTime"	"2018.01.15 08:00"
"a0[0]"	4	" / "	"a0[1].dateTime"	"2018.01.17 04:00"
"a0[0]"	4	" / "	"a0[1].dateTime"	"2018.01.18 06:00"
"a0[0]"	4	" / "	"a0[1].dateTime"	"2018.01.23 03:00"
"a0[0]"	4	" / "	"a0[1].dateTime"	"2018.01.26 02:00"
"a0[0]"	4	" / "	"a0[1].dateTime"	"2018.01.29 20:00"
"a0[0]"	4	" / "	"a0[1].dateTime"	"2018.01.30 13:00"
"a0[0]"	5	" / "	"a0[1].dateTime"	"2018.01.02 09:00"
"a0[0]"	5	" / "	"a0[1].dateTime"	"2018.01.09 01:00"
"a0[0]"	5	" / "	"a0[1].dateTime"	"2018.01.19 00:00"
"a0[0]"	5	" / "	"a0[1].dateTime"	"2018.01.22 01:00"
"a0[0]"	5	" / "	"a0[1].dateTime"	"2018.01.22 20:00"
"a0[0]"	6	" / "	"a0[1].dateTime"	"2018.01.02 23:00"
"a0[0]"	6	" / "	"a0[1].dateTime"	"2018.01.04 04:00"
"a0[0]"	6	" / "	"a0[1].dateTime"	"2018.01.09 23:00"
"a0[0]"	6	" / "	"a0[1].dateTime"	"2018.01.15 00:00"
"a0[0]"	7	" / "	"a0[1].dateTime"	"2018.01.12 03:00"
"a0[0]"	8	" / "	"a0[1].dateTime"	"2018.01.04 16:00"
