Pair=EURJPY;Period=H1;Days=5000;Shift=1;Bars=120000;Time=20180903_135340;;;;;;;;;;
no;Open;High;Low;Close;RSI;MFI;BB.2s;BB.1s;BB.main;BB.-1s;BB.-2s;Diff;High/Low;datetime;
568;130.771;131.147;130.755;131.003;74.9693305108;71.6600068178;130.678067004;131.066734008;130.2894;129.900732996;129.512065992;0.232;0.392;2018.07.31 16:00;2018.07.31 23:00;1
569;130.862;130.926;130.715;130.773;71.43229942;67.1390635284;130.5953422301;130.9539344602;130.23675;129.8781577699;129.5195655398;-0.089;0.211;2018.07.31 15:00;2018.07.31 22:00;2
570;130.863;130.936;130.807;130.863;75.3926506409;69.2660223879;130.5375195678;130.8781391357;130.1969;129.8562804322;129.5156608643;0.0;0.129;2018.07.31 14:00;2018.07.31 21:00;3
571;130.724;130.906;130.691;130.862;75.3782414619;69.6207206461;130.461385313;130.766920626;130.15585;129.850314687;129.544779374;0.138;0.215;2018.07.31 13:00;2018.07.31 20:00;4
572;130.785;130.822;130.668;130.725;73.3469842039;70.5449238076;130.3723425444;130.6333850889;130.1113;129.8502574556;129.5892149112;-0.06;0.154;2018.07.31 12:00;2018.07.31 19:00;5
573;130.512;130.847;130.447;130.784;75.9090755797;71.1137652019;130.2939882913;130.5158265827;130.07215;129.8503117087;129.6284734173;0.272;0.4;2018.07.31 11:00;2018.07.31 18:00;6
574;130.257;130.606;130.222;130.511;71.5389072649;70.8286138172;130.1808370808;130.3345741615;130.0271;129.8733629192;129.7196258385;0.254;0.384;2018.07.31 10:00;2018.07.31 17:00;7
575;130.289;130.501;130.072;130.26;66.1803410408;69.8346202066;130.1086109874;130.2280719747;129.98915;129.8696890126;129.7502280253;-0.029;0.429;2018.07.31 09:00;2018.07.31 16:00;8
576;130.1;130.304;130.098;130.289;67.5768471477;64.4220363571;130.0760233698;130.1873967396;129.96465;129.8532766302;129.7419032604;0.189;0.206;2018.07.31 08:00;2018.07.31 15:00;9
577;129.825;130.4;129.666;130.099;62.6745699203;64.5616017308;130.0300351276;130.1212202553;129.93885;129.8476648724;129.7564797448;0.274;0.734;2018.07.31 07:00;2018.07.31 14:00;10
578;129.993;130.171;129.728;129.824;52.8781425533;62.5513637161;130.016680783;130.1147615661;129.9186;129.820519217;129.7224384339;-0.169;0.443;2018.07.31 06:00;2018.07.31 13:00;11
579;130.011;130.067;129.884;129.988;62.1142482749;69.9574587633;130.0295199299;130.1535898598;129.90545;129.7813800701;129.6573101402;-0.023;0.183;2018.07.31 05:00;2018.07.31 12:00;12
580;129.914;130.048;129.865;130.012;63.6601116177;65.1308838006;130.0311075148;130.1808150297;129.8814;129.7316924852;129.5819849703;0.098;0.183;2018.07.31 04:00;2018.07.31 11:00;13
581;129.951;129.973;129.843;129.916;59.8643998797;64.6402354619;130.0222300639;130.1873101278;129.85715;129.6920699361;129.5269898722;-0.035;0.13;2018.07.31 03:00;2018.07.31 10:00;14
582;129.983;130.018;129.932;129.95;62.0448526321;70.5964113745;130.0198924257;130.2053848514;129.8344;129.6489075743;129.4634151486;-0.033;0.086;2018.07.31 02:00;2018.07.31 09:00;15
583;129.978;130.013;129.967;129.981;64.0660675584;73.1566878962;130.0089972616;130.2061945233;129.8118;129.6146027384;129.4174054767;0.003;0.046;2018.07.31 01:00;2018.07.31 08:00;16
584;129.965;130.018;129.89;129.978;63.9581238596;68.8632083287;129.9942216346;130.2045432693;129.7839;129.5735783654;129.3632567307;0.013;0.128;2018.07.31 00:00;2018.07.31 07:00;17
585;129.97;130.025;129.969;130.008;65.8369467184;79.3129288679;129.9743186389;130.1897372779;129.7589;129.5434813611;129.3280627221;0.038;0.056;2018.07.30 23:00;2018.07.31 06:00;18
586;129.991;130.042;129.966;129.972;64.6532386758;80.2080982255;129.948550109;130.1663502181;129.73075;129.512949891;129.2951497819;-0.019;0.076;2018.07.30 22:00;2018.07.31 05:00;19
587;129.95;129.991;129.931;129.99;65.7351183939;75.273432574;129.9250565826;130.1504631653;129.69965;129.4742434174;129.2488368347;0.04;0.06;2018.07.30 21:00;2018.07.31 04:00;20
588;129.975;130.009;129.943;129.95;64.4803353461;75.9811249659;129.8944069777;130.1194139553;129.6694;129.4443930223;129.2193860447;-0.025;0.066;2018.07.30 20:00;2018.07.31 03:00;21
589;130.042;130.057;129.963;129.976;65.972157514;76.7690078215;129.8650509686;130.0909019371;129.6392;129.4133490314;129.1874980629;-0.066;0.094;2018.07.30 19:00;2018.07.31 02:00;22
590;129.97;130.069;129.927;130.042;69.870479292;78.0798859569;129.8280386303;130.0458272607;129.61025;129.3924613697;129.1746727393;0.072;0.142;2018.07.30 18:00;2018.07.31 01:00;23
591;129.944;129.981;129.878;129.971;67.9340619446;77.5392632925;129.7764182579;129.9742865159;129.57855;129.3806817421;129.1828134841;0.027;0.103;2018.07.30 17:00;2018.07.31 00:00;24
592;129.884;129.97;129.849;129.942;67.1139333996;76.5647974024;129.7294164256;129.9097828513;129.54905;129.3686835744;129.1883171487;0.058;0.121;2018.07.30 16:00;2018.07.30 23:00;25
593;129.754;129.89;129.736;129.883;65.4037419717;75.7880215412;129.6804275715;129.841205143;129.51965;129.3588724285;129.198094857;0.129;0.154;2018.07.30 15:00;2018.07.30 22:00;26
594;129.77;129.839;129.716;129.752;61.1412396951;71.1497678586;129.6368476281;129.7870452563;129.48665;129.3364523719;129.1862547437;-0.018;0.123;2018.07.30 14:00;2018.07.30 21:00;27
595;129.773;129.798;129.693;129.77;62.1406319437;71.6114797198;129.606493215;129.74613643;129.46685;129.327206785;129.18756357;-0.003;0.105;2018.07.30 13:00;2018.07.30 20:00;28
