[20190501_130124 / libfx_2.py:6429]
file(this)	data.[Sec_1_A12_Detect].[dp-mountain~list].(20190501_125857).dat
pair	AUDJPY
timeframe	M15
source	44_5.1_10_rawdata.(AUDJPY).(Period-M15).(NumOfUnits-18000).(Bars-ALL-20190424_184417).20190311_081029.[SLICE-1000].csv
start	2019.04.10 02:45
end	2019.04.24 12:30
ratioOf_TS	0.300

------------------------------
s.n.	BD.start	list_index	open	close	BD.anchor	list_index	open	close	BD.end(curr)	list_index	open	close
68	2019.04.17 10:00	509	80.509	80.555	2019.04.17 11:15	514	80.656	80.680	2019.04.17 11:30	515	80.677	80.596
69	2019.04.17 11:45	516	80.593	80.619	2019.04.17 12:00	517	80.620	80.621	2019.04.17 12:15	518	80.621	80.603
70	2019.04.17 12:45	520	80.595	80.614	2019.04.17 12:45	520	80.595	80.614	2019.04.17 13:00	521	80.615	80.604
71	2019.04.17 13:15	522	80.605	80.608	2019.04.17 13:15	522	80.605	80.608	2019.04.17 13:30	523	80.607	80.580
72	2019.04.17 13:45	524	80.581	80.586	2019.04.17 14:00	525	80.584	80.592	2019.04.17 14:15	526	80.591	80.548
73	2019.04.17 15:00	529	80.509	80.516	2019.04.17 16:15	534	80.551	80.601	2019.04.17 16:30	535	80.600	80.480
74	2019.04.17 17:15	538	80.260	80.309	2019.04.17 17:45	540	80.342	80.384	2019.04.17 18:00	541	80.384	80.346
75	2019.04.17 19:15	546	80.210	80.220	2019.04.17 19:30	547	80.219	80.236	2019.04.17 19:45	548	80.234	80.224
76	2019.04.17 20:00	549	80.223	80.253	2019.04.17 20:30	551	80.287	80.339	2019.04.17 21:00	553	80.306	80.279
77	2019.04.17 21:15	554	80.281	80.283	2019.04.17 23:45	564	80.402	80.424	2019.04.18 00:15	566	80.391	80.373
78	2019.04.18 00:45	568	80.361	80.392	2019.04.18 01:00	569	80.392	80.410	2019.04.18 01:15	570	80.410	80.393
79	2019.04.18 02:00	573	80.366	80.387	2019.04.18 02:15	574	80.387	80.388	2019.04.18 02:45	576	80.382	80.344
80	2019.04.18 03:30	579	80.278	80.294	2019.04.18 03:30	579	80.278	80.294	2019.04.18 03:45	580	80.294	80.259
81	2019.04.18 04:30	583	80.195	80.351	2019.04.18 04:30	583	80.195	80.351	2019.04.18 04:45	584	80.349	80.253
82	2019.04.18 05:00	585	80.253	80.290	2019.04.18 06:00	589	80.371	80.399	2019.04.18 06:15	590	80.400	80.327
83	2019.04.18 07:00	593	80.271	80.323	2019.04.18 07:15	594	80.323	80.333	2019.04.18 07:45	596	80.328	80.302
84	2019.04.18 08:00	597	80.301	80.336	2019.04.18 09:30	603	80.399	80.404	2019.04.18 10:00	605	80.395	80.356
85	2019.04.18 10:15	606	80.360	80.368	2019.04.18 10:15	606	80.360	80.368	2019.04.18 10:30	607	80.369	80.265
86	2019.04.18 11:15	610	80.095	80.097	2019.04.18 11:45	612	80.134	80.139	2019.04.18 12:00	613	80.140	80.090
87	2019.04.18 12:30	615	80.059	80.084	2019.04.18 13:45	620	80.114	80.122	2019.04.18 14:30	623	80.120	80.092
88	2019.04.18 14:45	624	80.093	80.095	2019.04.18 14:45	624	80.093	80.095	2019.04.18 15:00	625	80.095	80.060
89	2019.04.18 15:30	627	80.044	80.101	2019.04.18 16:15	630	80.118	80.125	2019.04.18 16:45	632	80.116	80.081
90	2019.04.18 17:45	636	79.976	79.992	2019.04.18 18:45	640	80.011	80.012	2019.04.18 19:00	641	80.011	79.959
91	2019.04.18 19:15	642	79.958	79.964	2019.04.18 19:15	642	79.958	79.964	2019.04.18 19:30	643	79.964	79.954
92	2019.04.18 20:00	645	79.918	79.930	2019.04.18 20:15	646	79.930	79.956	2019.04.18 20:30	647	79.958	79.936
93	2019.04.18 20:45	648	79.937	79.953	2019.04.18 22:15	654	79.998	80.004	2019.04.18 22:45	656	79.986	79.975
94	2019.04.18 23:00	657	79.976	80.037	2019.04.19 01:45	668	80.060	80.069	2019.04.19 02:45	672	80.059	80.024
95	2019.04.19 03:00	673	80.018	80.033	2019.04.19 03:00	673	80.018	80.033	2019.04.19 03:15	674	80.032	80.021
96	2019.04.19 04:15	678	79.988	79.994	2019.04.19 04:45	680	80.005	80.021	2019.04.19 05:15	682	80.017	80.004
97	2019.04.19 06:00	685	79.999	80.001	2019.04.19 06:45	688	80.013	80.014	2019.04.19 07:00	689	80.014	80.007
98	2019.04.19 07:30	691	79.999	80.007	2019.04.19 07:30	691	79.999	80.007	2019.04.19 07:45	692	80.009	80.000
99	2019.04.19 08:00	693	79.999	80.007	2019.04.19 09:15	698	80.049	80.067	2019.04.19 09:30	699	80.066	80.026
100	2019.04.19 09:45	700	80.026	80.030	2019.04.19 10:30	703	80.059	80.080	2019.04.19 11:00	705	80.072	80.062
101	2019.04.19 11:30	707	80.060	80.063	2019.04.19 11:30	707	80.060	80.063	2019.04.19 11:45	708	80.063	80.060
102	2019.04.19 12:00	709	80.060	80.062	2019.04.19 12:00	709	80.060	80.062	2019.04.19 12:15	710	80.063	80.030
103	2019.04.19 12:45	712	80.023	80.029	2019.04.19 13:00	713	80.028	80.031	2019.04.19 13:15	714	80.031	80.026
104	2019.04.19 13:30	715	80.024	80.035	2019.04.19 13:45	716	80.036	80.055	2019.04.19 14:00	717	80.055	80.023
105	2019.04.19 14:15	718	80.023	80.038	2019.04.19 14:45	720	80.052	80.055	2019.04.19 15:00	721	80.054	80.044
106	2019.04.19 16:00	725	80.011	80.013	2019.04.19 16:15	726	80.014	80.030	2019.04.19 17:15	730	80.026	80.015
107	2019.04.19 17:30	731	80.014	80.016	2019.04.19 17:30	731	80.014	80.016	2019.04.19 17:45	732	80.017	80.013
108	2019.04.19 18:15	734	80.007	80.009	2019.04.19 18:15	734	80.007	80.009	2019.04.19 18:30	735	80.007	79.988
109	2019.04.19 19:00	737	79.964	79.999	2019.04.19 19:00	737	79.964	79.999	2019.04.19 19:30	739	79.990	79.986
110	2019.04.19 20:00	741	79.970	79.986	2019.04.19 20:30	743	79.986	80.000	2019.04.19 21:30	747	79.994	79.987
111	2019.04.19 21:45	748	79.985	80.015	2019.04.19 21:45	748	79.985	80.015	2019.04.19 22:15	750	80.008	80.005
112	2019.04.19 22:30	751	80.003	80.007	2019.04.19 22:30	751	80.003	80.007	2019.04.19 22:45	752	80.009	79.999
113	2019.04.19 23:00	753	80.000	80.025	2019.04.19 23:15	754	80.025	80.030	2019.04.19 23:30	755	80.027	80.015
114	2019.04.19 23:45	756	80.015	80.031	2019.04.19 23:45	756	80.015	80.031	2019.04.22 00:00	757	79.939	79.973
115	2019.04.22 00:15	758	79.972	79.978	2019.04.22 00:30	759	79.980	79.981	2019.04.22 00:45	760	79.982	79.976
116	2019.04.22 01:00	761	79.977	80.013	2019.04.22 01:30	763	80.031	80.039	2019.04.22 01:45	764	80.038	80.013
117	2019.04.22 02:00	765	80.010	80.015	2019.04.22 02:00	765	80.010	80.015	2019.04.22 02:15	766	80.012	80.010
118	2019.04.22 03:15	770	79.975	79.991	2019.04.22 03:30	771	79.991	80.066	2019.04.22 03:45	772	80.061	80.036
119	2019.04.22 04:30	775	79.908	79.971	2019.04.22 04:30	775	79.908	79.971	2019.04.22 04:45	776	79.970	79.943
120	2019.04.22 05:30	779	79.932	79.954	2019.04.22 05:30	779	79.932	79.954	2019.04.22 06:00	781	79.947	79.943
121	2019.04.22 07:00	785	79.849	79.891	2019.04.22 07:00	785	79.849	79.891	2019.04.22 08:00	789	79.881	79.872
122	2019.04.22 08:15	790	79.870	79.899	2019.04.22 09:00	793	79.906	79.938	2019.04.22 09:30	795	79.919	79.874
123	2019.04.22 09:45	796	79.877	79.895	2019.04.22 09:45	796	79.877	79.895	2019.04.22 10:00	797	79.898	79.874
124	2019.04.22 10:15	798	79.875	79.882	2019.04.22 10:30	799	79.878	79.886	2019.04.22 10:45	800	79.885	79.881
125	2019.04.22 11:30	803	79.871	79.876	2019.04.22 11:30	803	79.871	79.876	2019.04.22 12:00	805	79.876	79.874
126	2019.04.22 12:30	807	79.859	79.860	2019.04.22 13:15	810	79.889	79.893	2019.04.22 13:45	812	79.886	79.855
127	2019.04.22 14:15	814	79.837	79.856	2019.04.22 14:30	815	79.856	79.885	2019.04.22 14:45	816	79.884	79.870
128	2019.04.22 15:30	819	79.823	79.824	2019.04.22 15:30	819	79.823	79.824	2019.04.22 15:45	820	79.827	79.777
129	2019.04.22 16:00	821	79.774	79.844	2019.04.22 16:30	823	79.829	79.865	2019.04.22 17:30	827	79.847	79.814
130	2019.04.22 17:45	828	79.813	79.837	2019.04.22 17:45	828	79.813	79.837	2019.04.22 18:00	829	79.836	79.811
131	2019.04.22 18:15	830	79.810	79.834	2019.04.22 18:45	832	79.833	79.858	2019.04.22 19:00	833	79.856	79.830
132	2019.04.22 19:15	834	79.831	79.861	2019.04.22 19:30	835	79.859	79.881	2019.04.22 19:45	836	79.880	79.861
133	2019.04.22 20:00	837	79.860	79.869	2019.04.22 20:30	839	79.871	79.881	2019.04.22 20:45	840	79.880	79.872
134	2019.04.22 22:00	845	79.819	79.842	2019.04.22 22:30	847	79.852	79.853	2019.04.22 22:45	848	79.852	79.842
135	2019.04.22 23:00	849	79.844	79.848	2019.04.22 23:30	851	79.859	79.884	2019.04.23 00:00	853	79.810	79.835
136	2019.04.23 00:15	854	79.835	79.845	2019.04.23 00:30	855	79.843	79.892	2019.04.23 00:45	856	79.887	79.871
137	2019.04.23 01:00	857	79.876	79.879	2019.04.23 01:30	859	79.879	79.899	2019.04.23 02:00	861	79.897	79.891
138	2019.04.23 04:00	869	79.597	79.603	2019.04.23 04:00	869	79.597	79.603	2019.04.23 04:15	870	79.602	79.588
139	2019.04.23 04:30	871	79.590	79.684	2019.04.23 04:30	871	79.590	79.684	2019.04.23 06:00	877	79.671	79.650
140	2019.04.23 06:15	878	79.652	79.675	2019.04.23 06:45	880	79.697	79.710	2019.04.23 07:00	881	79.710	79.676
141	2019.04.23 07:15	882	79.671	79.690	2019.04.23 07:45	884	79.687	79.693	2019.04.23 08:00	885	79.693	79.673
142	2019.04.23 08:15	886	79.672	79.695	2019.04.23 08:15	886	79.672	79.695	2019.04.23 09:00	889	79.692	79.665
143	2019.04.23 10:45	896	79.539	79.542	2019.04.23 11:00	897	79.543	79.579	2019.04.23 11:15	898	79.578	79.552
144	2019.04.23 11:30	899	79.552	79.576	2019.04.23 11:45	900	79.575	79.583	2019.04.23 12:00	901	79.587	79.567
145	2019.04.23 12:45	904	79.564	79.572	2019.04.23 12:45	904	79.564	79.572	2019.04.23 13:00	905	79.570	79.557
146	2019.04.23 13:45	908	79.532	79.538	2019.04.23 14:30	911	79.540	79.577	2019.04.23 15:00	913	79.575	79.558
147	2019.04.23 15:45	916	79.510	79.515	2019.04.23 15:45	916	79.510	79.515	2019.04.23 16:00	917	79.514	79.498
148	2019.04.23 16:30	919	79.488	79.500	2019.04.23 16:30	919	79.488	79.500	2019.04.23 16:45	920	79.501	79.452
149	2019.04.23 17:30	923	79.300	79.346	2019.04.23 18:00	925	79.338	79.348	2019.04.23 18:15	926	79.348	79.332
150	2019.04.23 18:45	928	79.322	79.378	2019.04.23 18:45	928	79.322	79.378	2019.04.23 19:15	930	79.363	79.352
151	2019.04.23 20:45	936	79.285	79.290	2019.04.23 20:45	936	79.285	79.290	2019.04.23 21:00	937	79.291	79.279
152	2019.04.23 21:15	938	79.281	79.282	2019.04.23 23:30	947	79.424	79.453	2019.04.24 00:00	949	79.408	79.353
153	2019.04.24 00:15	950	79.354	79.366	2019.04.24 00:30	951	79.364	79.368	2019.04.24 00:45	952	79.361	79.359
154	2019.04.24 01:00	953	79.359	79.372	2019.04.24 01:00	953	79.359	79.372	2019.04.24 01:30	955	79.363	79.336
155	2019.04.24 02:00	957	79.332	79.341	2019.04.24 02:15	958	79.340	79.358	2019.04.24 02:30	959	79.358	79.340
156	2019.04.24 03:30	963	79.274	79.309	2019.04.24 03:30	963	79.274	79.309	2019.04.24 04:00	965	79.306	79.295
157	2019.04.24 05:15	970	78.644	78.694	2019.04.24 05:45	972	78.688	78.696	2019.04.24 06:00	973	78.694	78.667
158	2019.04.24 07:00	977	78.503	78.558	2019.04.24 08:45	984	78.644	78.650	2019.04.24 09:00	985	78.649	78.578
159	2019.04.24 09:30	987	78.550	78.623	2019.04.24 09:30	987	78.550	78.623	2019.04.24 09:45	988	78.624	78.577
