[20190307_154009 / views.py:11521]
fname_Src_CSV	44_5.1_10_rawdata.(EURJPY).(Period-H1).(NumOfUnits-4500).(Bars-ALL-20190307_151905).20190307_144106.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].(EURJPY-H1).(20190307_154007).csv
pair	EURJPY
timeframe	H1
start	2017.10.23 07:00
end	2019.03.07 07:00

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD
[20190307_154009 / views.py:11613]
51	2018.12.24 00:00	2018.12.24 23:00	24	9	5	4	5	0.375	0.208	0.167	0.208
52	2018.12.21 00:00	2018.12.21 23:00	24	4	6	5	8	0.167	0.250	0.208	0.333
53	2018.12.20 00:00	2018.12.20 23:00	24	4	4	4	11	0.167	0.167	0.167	0.458
54	2018.12.19 00:00	2018.12.19 23:00	24	3	9	8	3	0.125	0.375	0.333	0.125
55	2018.12.18 00:00	2018.12.18 23:00	24	5	8	7	3	0.208	0.333	0.292	0.125
56	2018.12.17 00:00	2018.12.17 23:00	24	7	5	5	6	0.292	0.208	0.208	0.250
57	2018.12.14 00:00	2018.12.14 23:00	24	1	8	9	5	0.042	0.333	0.375	0.208
58	2018.12.13 00:00	2018.12.13 23:00	24	8	6	5	4	0.333	0.250	0.208	0.167
59	2018.12.12 00:00	2018.12.12 23:00	24	8	5	5	5	0.333	0.208	0.208	0.208
60	2018.12.11 00:00	2018.12.11 23:00	24	6	4	4	9	0.250	0.167	0.167	0.375
61	2018.12.10 02:00	2018.12.10 23:00	22	8	5	6	2	0.364	0.227	0.273	0.091
62	2018.12.07 00:00	2018.12.07 23:00	24	6	7	6	4	0.250	0.292	0.250	0.167
63	2018.12.06 00:00	2018.12.06 23:00	24	6	5	5	7	0.250	0.208	0.208	0.292
64	2018.12.05 00:00	2018.12.05 23:00	24	7	7	6	3	0.292	0.292	0.250	0.125
65	2018.12.04 00:00	2018.12.04 23:00	24	2	5	5	11	0.083	0.208	0.208	0.458
66	2018.12.03 00:00	2018.12.03 23:00	24	8	5	5	5	0.333	0.208	0.208	0.208
67	2018.11.30 00:00	2018.11.30 23:00	24	2	6	6	9	0.083	0.250	0.250	0.375
68	2018.11.29 00:00	2018.11.29 23:00	24	4	4	5	10	0.167	0.167	0.208	0.417
69	2018.11.28 00:00	2018.11.28 23:00	24	10	6	6	1	0.417	0.250	0.250	0.042
70	2018.11.27 00:00	2018.11.27 23:00	24	7	6	5	5	0.292	0.250	0.208	0.208
71	2018.11.26 00:00	2018.11.26 23:00	24	12	3	3	5	0.500	0.125	0.125	0.208
72	2018.11.23 00:00	2018.11.23 23:00	24	5	6	6	6	0.208	0.250	0.250	0.250
73	2018.11.22 00:00	2018.11.22 23:00	24	4	6	5	8	0.167	0.250	0.208	0.333
74	2018.11.21 00:00	2018.11.21 23:00	24	5	7	7	4	0.208	0.292	0.292	0.167
75	2018.11.20 00:00	2018.11.20 23:00	24	5	6	7	5	0.208	0.250	0.292	0.208
76	2018.11.19 00:00	2018.11.19 23:00	24	1	8	8	6	0.042	0.333	0.333	0.250
77	2018.11.16 00:00	2018.11.16 23:00	24	4	6	7	6	0.167	0.250	0.292	0.250
78	2018.11.15 00:00	2018.11.15 23:00	24	6	7	7	3	0.250	0.292	0.292	0.125
79	2018.11.14 00:00	2018.11.14 23:00	24	6	6	5	6	0.250	0.250	0.208	0.250
80	2018.11.13 00:00	2018.11.13 23:00	24	9	5	5	2	0.375	0.208	0.208	0.083
81	2018.11.12 00:00	2018.11.12 23:00	24	3	5	5	10	0.125	0.208	0.208	0.417
82	2018.11.09 00:00	2018.11.09 23:00	24	3	6	6	8	0.125	0.250	0.250	0.333
83	2018.11.08 00:00	2018.11.08 23:00	24	8	4	4	7	0.333	0.167	0.167	0.292
84	2018.11.07 00:00	2018.11.07 23:00	24	7	7	7	2	0.292	0.292	0.292	0.083
85	2018.11.06 00:00	2018.11.06 23:00	24	5	7	8	3	0.208	0.292	0.333	0.125
86	2018.11.05 00:00	2018.11.05 23:00	24	5	8	7	3	0.208	0.333	0.292	0.125
87	2018.11.02 00:00	2018.11.02 23:00	24	8	6	6	3	0.333	0.250	0.250	0.125
88	2018.11.01 00:00	2018.11.01 23:00	24	5	9	8	1	0.208	0.375	0.333	0.042
89	2018.10.31 00:00	2018.10.31 23:00	24	6	6	7	4	0.250	0.250	0.292	0.167
90	2018.10.30 00:00	2018.10.30 23:00	24	9	4	5	5	0.375	0.167	0.208	0.208
91	2018.10.29 00:00	2018.10.29 23:00	24	9	6	5	3	0.375	0.250	0.208	0.125
92	2018.10.26 00:00	2018.10.26 23:00	24	2	7	8	6	0.083	0.292	0.333	0.250
