[20190307_154009 / views.py:11521]
fname_Src_CSV	44_5.1_10_rawdata.(EURJPY).(Period-H1).(NumOfUnits-4500).(Bars-ALL-20190307_151905).20190307_144106.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].(EURJPY-H1).(20190307_154007).csv
pair	EURJPY
timeframe	H1
start	2017.10.23 07:00
end	2019.03.07 07:00

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD
[20190307_154009 / views.py:11613]
245	2018.03.27 00:00	2018.03.27 23:00	24	5	5	4	9	0.208	0.208	0.167	0.375
246	2018.03.26 00:00	2018.03.26 23:00	24	11	6	5	1	0.458	0.250	0.208	0.042
247	2018.03.23 00:00	2018.03.23 23:00	24	3	8	7	5	0.125	0.333	0.292	0.208
248	2018.03.22 00:00	2018.03.22 23:00	24	5	6	6	6	0.208	0.250	0.250	0.250
249	2018.03.21 00:00	2018.03.21 23:00	24	7	7	7	2	0.292	0.292	0.292	0.083
250	2018.03.20 00:00	2018.03.20 23:00	24	2	8	8	5	0.083	0.333	0.333	0.208
251	2018.03.19 00:00	2018.03.19 23:00	24	8	6	5	4	0.333	0.250	0.208	0.167
252	2018.03.16 00:00	2018.03.16 23:00	24	4	5	5	9	0.167	0.208	0.208	0.375
253	2018.03.15 00:00	2018.03.15 23:00	24	5	5	5	8	0.208	0.208	0.208	0.333
254	2018.03.14 00:00	2018.03.14 23:00	24	4	5	6	8	0.167	0.208	0.250	0.333
255	2018.03.13 00:00	2018.03.13 23:00	24	12	4	4	3	0.500	0.167	0.167	0.125
256	2018.03.12 00:00	2018.03.12 23:00	24	8	7	7	1	0.333	0.292	0.292	0.042
257	2018.03.09 00:00	2018.03.09 23:00	24	8	6	5	4	0.333	0.250	0.208	0.167
258	2018.03.08 00:00	2018.03.08 23:00	24	3	6	5	9	0.125	0.250	0.208	0.375
259	2018.03.07 00:00	2018.03.07 23:00	24	8	6	6	3	0.333	0.250	0.250	0.125
260	2018.03.06 00:00	2018.03.06 23:00	24	7	4	3	9	0.292	0.167	0.125	0.375
261	2018.03.05 00:00	2018.03.05 23:00	24	7	6	6	4	0.292	0.250	0.250	0.167
262	2018.03.02 00:00	2018.03.02 23:00	24	6	7	7	3	0.250	0.292	0.292	0.125
263	2018.03.01 00:00	2018.03.01 23:00	24	7	5	6	5	0.292	0.208	0.250	0.208
264	2018.02.28 00:00	2018.02.28 23:00	24	2	7	6	8	0.083	0.292	0.250	0.333
265	2018.02.27 00:00	2018.02.27 23:00	24	1	6	6	10	0.042	0.250	0.250	0.417
266	2018.02.26 00:00	2018.02.26 23:00	24	7	5	6	5	0.292	0.208	0.250	0.208
267	2018.02.23 00:00	2018.02.23 23:00	24	5	5	5	6	0.208	0.208	0.208	0.250
268	2018.02.22 00:00	2018.02.22 23:00	24	4	5	6	8	0.167	0.208	0.250	0.333
269	2018.02.21 00:00	2018.02.21 23:00	24	6	6	7	4	0.250	0.250	0.292	0.167
270	2018.02.20 00:00	2018.02.20 23:00	24	7	5	5	6	0.292	0.208	0.208	0.250
271	2018.02.19 00:00	2018.02.19 23:00	24	8	5	5	5	0.333	0.208	0.208	0.208
272	2018.02.16 00:00	2018.02.16 23:00	24	2	10	9	2	0.083	0.417	0.375	0.083
273	2018.02.15 00:00	2018.02.15 23:00	24	5	7	7	4	0.208	0.292	0.292	0.167
274	2018.02.14 00:00	2018.02.14 23:00	24	5	6	5	7	0.208	0.250	0.208	0.292
275	2018.02.13 00:00	2018.02.13 23:00	24	3	8	7	5	0.125	0.333	0.292	0.208
276	2018.02.12 00:00	2018.02.12 23:00	24	9	5	5	4	0.375	0.208	0.208	0.167
277	2018.02.09 00:00	2018.02.09 23:00	24	6	6	6	5	0.250	0.250	0.250	0.208
278	2018.02.08 00:00	2018.02.08 23:00	24	2	6	7	8	0.083	0.250	0.292	0.333
279	2018.02.07 00:00	2018.02.07 23:00	24	2	8	7	6	0.083	0.333	0.292	0.250
280	2018.02.06 00:00	2018.02.06 23:00	24	6	6	6	5	0.250	0.250	0.250	0.208
281	2018.02.05 00:00	2018.02.05 23:00	24	5	4	3	11	0.208	0.167	0.125	0.458
282	2018.02.02 00:00	2018.02.02 23:00	24	8	7	6	2	0.333	0.292	0.250	0.083
283	2018.02.01 00:00	2018.02.01 23:00	24	10	6	6	1	0.417	0.250	0.250	0.042
284	2018.01.31 00:00	2018.01.31 23:00	24	10	4	5	4	0.417	0.167	0.208	0.167
285	2018.01.30 00:00	2018.01.30 23:00	24	3	7	7	6	0.125	0.292	0.292	0.250
286	2018.01.29 00:00	2018.01.29 23:00	24	4	6	7	6	0.167	0.250	0.292	0.250
287	2018.01.26 00:00	2018.01.26 23:00	24	5	7	6	5	0.208	0.292	0.250	0.208
288	2018.01.25 00:00	2018.01.25 23:00	24	5	6	7	5	0.208	0.250	0.292	0.208
289	2018.01.24 00:00	2018.01.24 23:00	24	2	6	7	8	0.083	0.250	0.292	0.333
290	2018.01.23 00:00	2018.01.23 23:00	24	6	6	6	5	0.250	0.250	0.250	0.208
291	2018.01.22 00:00	2018.01.22 23:00	24	6	6	5	6	0.250	0.250	0.208	0.250
292	2018.01.19 00:00	2018.01.19 23:00	24	3	8	9	1	0.125	0.333	0.375	0.042
293	2018.01.18 00:00	2018.01.18 23:00	24	9	5	6	3	0.375	0.208	0.250	0.125
294	2018.01.17 00:00	2018.01.17 23:00	24	7	6	6	4	0.292	0.250	0.250	0.167
295	2018.01.16 00:00	2018.01.16 23:00	24	4	6	7	6	0.167	0.250	0.292	0.250
296	2018.01.15 00:00	2018.01.15 23:00	24	8	5	5	5	0.333	0.208	0.208	0.208
297	2018.01.12 00:00	2018.01.12 23:00	24	12	3	4	2	0.500	0.125	0.167	0.083
298	2018.01.11 00:00	2018.01.11 23:00	24	6	5	6	4	0.250	0.208	0.250	0.167
299	2018.01.10 00:00	2018.01.10 23:00	24	1	6	6	10	0.042	0.250	0.250	0.417
300	2018.01.09 00:00	2018.01.09 23:00	24	6	5	5	7	0.250	0.208	0.208	0.292
301	2018.01.08 00:00	2018.01.08 23:00	24	6	4	4	9	0.250	0.167	0.167	0.375
302	2018.01.05 00:00	2018.01.05 23:00	24	5	8	7	3	0.208	0.333	0.292	0.125
303	2018.01.04 00:00	2018.01.04 23:00	24	12	4	4	3	0.500	0.167	0.167	0.125
304	2018.01.03 00:00	2018.01.03 23:00	24	4	7	8	4	0.167	0.292	0.333	0.167
305	2018.01.02 00:00	2018.01.02 23:00	24	11	4	4	4	0.458	0.167	0.167	0.167
306	2017.12.29 00:00	2017.12.29 23:00	24	6	6	4	5	0.250	0.250	0.167	0.208
307	2017.12.28 00:00	2017.12.28 23:00	24	7	6	6	3	0.292	0.250	0.250	0.125
308	2017.12.27 00:00	2017.12.27 23:00	24	5	5	5	6	0.208	0.208	0.208	0.250
309	2017.12.26 00:00	2017.12.26 23:00	24	5	5	4	7	0.208	0.208	0.167	0.292
310	2017.12.25 01:00	2017.12.25 09:00	9	6	1	1	0	0.667	0.111	0.111	0.000
311	2017.12.22 00:00	2017.12.22 23:00	24	6	5	6	6	0.250	0.208	0.250	0.250
312	2017.12.21 00:00	2017.12.21 23:00	24	7	4	5	7	0.292	0.167	0.208	0.292
313	2017.12.20 00:00	2017.12.20 23:00	24	7	7	6	3	0.292	0.292	0.250	0.125
314	2017.12.19 00:00	2017.12.19 23:00	24	11	5	5	2	0.458	0.208	0.208	0.083
315	2017.12.18 00:00	2017.12.18 23:00	24	4	7	7	5	0.167	0.292	0.292	0.208
316	2017.12.15 00:00	2017.12.15 23:00	24	6	5	5	7	0.250	0.208	0.208	0.292
317	2017.12.14 00:00	2017.12.14 23:00	24	5	4	4	10	0.208	0.167	0.167	0.417
318	2017.12.13 00:00	2017.12.13 23:00	24	3	7	7	6	0.125	0.292	0.292	0.250
319	2017.12.12 00:00	2017.12.12 23:00	24	4	6	6	7	0.167	0.250	0.250	0.292
320	2017.12.11 00:00	2017.12.11 23:00	24	0	9	8	6	0.000	0.375	0.333	0.250
321	2017.12.08 00:00	2017.12.08 23:00	24	5	8	8	2	0.208	0.333	0.333	0.083
322	2017.12.07 00:00	2017.12.07 23:00	24	11	5	4	3	0.458	0.208	0.167	0.125
323	2017.12.06 00:00	2017.12.06 23:00	24	0	8	8	7	0.000	0.333	0.333	0.292
324	2017.12.05 00:00	2017.12.05 23:00	24	7	6	6	4	0.292	0.250	0.250	0.167
325	2017.12.04 00:00	2017.12.04 23:00	24	3	6	6	6	0.125	0.250	0.250	0.250
326	2017.12.01 00:00	2017.12.01 23:00	24	5	4	6	6	0.208	0.167	0.250	0.250
327	2017.11.30 00:00	2017.11.30 23:00	24	16	3	3	1	0.667	0.125	0.125	0.042
328	2017.11.29 00:00	2017.11.29 23:00	24	7	6	6	4	0.292	0.250	0.250	0.167
329	2017.11.28 00:00	2017.11.28 23:00	24	2	8	8	5	0.083	0.333	0.333	0.208
330	2017.11.27 00:00	2017.11.27 23:00	24	1	8	7	7	0.042	0.333	0.292	0.292
331	2017.11.24 00:00	2017.11.24 23:00	24	11	5	4	3	0.458	0.208	0.167	0.125
332	2017.11.23 00:00	2017.11.23 23:00	24	7	6	6	4	0.292	0.250	0.250	0.167
333	2017.11.22 00:00	2017.11.22 23:00	24	3	6	7	7	0.125	0.250	0.292	0.292
334	2017.11.21 00:00	2017.11.21 23:00	24	3	6	6	8	0.125	0.250	0.250	0.333
335	2017.11.20 00:00	2017.11.20 23:00	24	4	5	6	8	0.167	0.208	0.250	0.333
336	2017.11.17 00:00	2017.11.17 23:00	24	4	4	4	11	0.167	0.167	0.167	0.458
337	2017.11.16 00:00	2017.11.16 23:00	24	7	5	5	6	0.292	0.208	0.208	0.250
338	2017.11.15 00:00	2017.11.15 23:00	24	1	7	7	8	0.042	0.292	0.292	0.333
339	2017.11.14 00:00	2017.11.14 23:00	24	9	5	6	3	0.375	0.208	0.250	0.125
340	2017.11.13 00:00	2017.11.13 23:00	24	9	5	5	4	0.375	0.208	0.208	0.167
341	2017.11.10 00:00	2017.11.10 23:00	24	6	8	7	2	0.250	0.333	0.292	0.083
342	2017.11.09 00:00	2017.11.09 23:00	24	5	5	6	5	0.208	0.208	0.250	0.208
343	2017.11.08 00:00	2017.11.08 23:00	24	7	5	6	5	0.292	0.208	0.250	0.208
344	2017.11.07 00:00	2017.11.07 23:00	24	10	5	5	3	0.417	0.208	0.208	0.125
345	2017.11.06 00:00	2017.11.06 23:00	24	5	7	6	5	0.208	0.292	0.250	0.208
346	2017.11.03 00:00	2017.11.03 23:00	24	4	6	6	7	0.167	0.250	0.250	0.292
347	2017.11.02 00:00	2017.11.02 23:00	24	5	6	6	4	0.208	0.250	0.250	0.167
348	2017.11.01 00:00	2017.11.01 23:00	24	7	5	5	6	0.292	0.208	0.208	0.250
349	2017.10.31 00:00	2017.10.31 23:00	24	5	7	7	4	0.208	0.292	0.292	0.167
350	2017.10.30 00:00	2017.10.30 23:00	24	7	5	5	6	0.292	0.208	0.208	0.250
351	2017.10.27 00:00	2017.10.27 23:00	24	3	7	7	6	0.125	0.292	0.292	0.250
352	2017.10.26 00:00	2017.10.26 23:00	24	1	6	6	10	0.042	0.250	0.250	0.417
353	2017.10.25 00:00	2017.10.25 23:00	24	7	5	5	6	0.292	0.208	0.208	0.250
354	2017.10.24 00:00	2017.10.24 23:00	24	13	4	4	2	0.542	0.167	0.167	0.083
355	2017.10.23 07:00	2017.10.23 23:00	17	1	3	4	8	0.059	0.176	0.235	0.471


