[20190312_082948 / views.py:11233]
fname_Src_CSV	44_5.1_10_rawdata.(AUDUSD).(Period-M15).(NumOfUnits-2000).(Bars-ALL-20190312_082921).20190312_082640.csv
slice by	day
this file	(20190312_082945).(AUDUSD-M15).[sec-1~BB-histogram.UU-UD-DU-DD].csv 
pair	AUDUSD
timeframe	M15
start	2019.02.11 06:30
end	2019.03.12 02:15

[BB locations]==============================
loc.	UU	UD	DU	DD	%UU	%UD	%DU	%DD
[20190312_082948 / views.py:11252]
> 2S	53	70	4	8	0.1123	0.1455	0.0084	0.0171
2S >= / >= 1S	113	122	79	70	0.2394	0.2536	0.1656	0.1499
1S > / >= main	96	105	102	119	0.2034	0.2183	0.2138	0.2548
main > / >= M1S	118	122	116	114	0.2500	0.2536	0.2432	0.2441
M1S > / >= M2S	83	58	120	110	0.1758	0.1206	0.2516	0.2355
M2S >	9	4	56	46	0.0191	0.0083	0.1174	0.0985
