[20190312_082947 / views.py:11499]
fname_Src_CSV	44_5.1_10_rawdata.(AUDUSD).(Period-M15).(NumOfUnits-2000).(Bars-ALL-20190312_082921).20190312_082640.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].(AUDUSD-M15).(20190312_082945).csv
pair	AUDUSD
timeframe	M15
start	2019.02.11 06:30
end	2019.03.12 02:15

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD
[20190312_082947 / views.py:11591]
1	2019.03.12 00:00	2019.03.12 02:15	10	2	3	3	1	0.200	0.300	0.300	0.100
2	2019.03.11 00:00	2019.03.11 23:45	96	29	20	21	21	0.302	0.208	0.219	0.219
3	2019.03.08 00:00	2019.03.08 23:45	96	28	24	25	15	0.292	0.250	0.260	0.156
4	2019.03.07 00:00	2019.03.07 23:45	96	18	22	21	20	0.188	0.229	0.219	0.208
5	2019.03.06 00:00	2019.03.06 23:45	96	20	25	26	23	0.208	0.260	0.271	0.240
6	2019.03.05 00:00	2019.03.05 23:45	96	27	19	21	20	0.281	0.198	0.219	0.208
7	2019.03.04 00:00	2019.03.04 23:45	96	23	25	24	21	0.240	0.260	0.250	0.219
8	2019.03.01 00:00	2019.03.01 23:45	96	27	23	24	19	0.281	0.240	0.250	0.198
9	2019.02.28 00:00	2019.02.28 23:45	96	20	24	23	24	0.208	0.250	0.240	0.250
10	2019.02.27 00:00	2019.02.27 23:45	96	17	26	26	24	0.177	0.271	0.271	0.250
11	2019.02.26 00:00	2019.02.26 23:45	96	22	21	21	25	0.229	0.219	0.219	0.260
12	2019.02.25 00:00	2019.02.25 23:45	96	27	26	23	15	0.281	0.271	0.240	0.156
13	2019.02.22 00:00	2019.02.22 23:45	96	26	24	24	21	0.271	0.250	0.250	0.219
14	2019.02.21 00:00	2019.02.21 23:45	96	20	21	20	32	0.208	0.219	0.208	0.333
15	2019.02.20 00:00	2019.02.20 23:45	96	21	22	23	29	0.219	0.229	0.240	0.302
16	2019.02.19 00:00	2019.02.19 23:45	96	22	27	25	17	0.229	0.281	0.260	0.177
17	2019.02.18 00:00	2019.02.18 23:45	96	23	19	18	29	0.240	0.198	0.188	0.302
18	2019.02.15 00:00	2019.02.15 23:45	96	25	22	23	21	0.260	0.229	0.240	0.219
19	2019.02.14 00:00	2019.02.14 23:45	96	30	22	22	21	0.312	0.229	0.229	0.219
20	2019.02.13 00:00	2019.02.13 23:45	96	15	25	23	28	0.156	0.260	0.240	0.292
21	2019.02.12 00:00	2019.02.12 23:45	96	16	25	24	23	0.167	0.260	0.250	0.240
22	2019.02.11 06:30	2019.02.11 23:45	70	14	16	17	18	0.200	0.229	0.243	0.257


