[20190325_081019 / views.py:12006]==============================
fname_Src_CSV	44_5.1_10_rawdata.(USDJPY).(Period-H1).(NumOfUnits-3000).(Bars-ALL-20190325_080819).20190318_085834.csv
slice by	through
this file	(20190325_081017).(USDJPY-H1).[sec-1.A-5.BB-diff-histogram.UU-UD-DU-DD].csv 
pair	USDJPY
timeframe	H1
start	2017.08.10 01:00
end	2019.03.25 02:00
total bars	10000

[20190325_081019 / views.py:12024]
[20190325_081018 / views.py:11753]==============================
average	0.195
max	0.610
min	0.006
variance	0.0142514
std	0.11938
median	0.173

[20190325_081018 / views.py:11775]
[BB-diff-histogram : lo_UU_Z1]==============================
s.n.	e0.dateTime	diff-total	std score
136	2018.04.19 03:00	0.122	43.86
137	2018.04.23 11:00	0.284	57.43
138	2018.04.23 12:00	0.220	52.07
139	2018.04.23 16:00	0.233	53.16
140	2018.04.23 17:00	0.249	54.50
141	2018.04.23 18:00	0.197	50.14
142	2018.04.23 19:00	0.089	41.09
143	2018.04.24 15:00	0.288	57.76
144	2018.04.24 16:00	0.175	48.30
145	2018.05.01 11:00	0.157	46.79
146	2018.05.01 12:00	0.075	39.92
147	2018.05.09 03:00	0.509	76.28
148	2018.05.09 09:00	0.205	50.81
149	2018.05.10 09:00	0.095	41.60
150	2018.05.14 09:00	0.139	45.28
151	2018.05.14 10:00	0.062	38.83
152	2018.05.14 11:00	0.062	38.83
153	2018.05.15 14:00	0.298	58.60
154	2018.05.15 15:00	0.224	52.40
155	2018.05.17 09:00	0.295	58.35
156	2018.05.17 10:00	0.220	52.07
157	2018.05.17 11:00	0.137	45.11
158	2018.05.21 07:00	0.168	47.71
159	2018.05.21 08:00	0.119	43.61
160	2018.05.21 09:00	0.051	37.91
161	2018.06.01 04:00	0.297	58.52
162	2018.06.01 15:00	0.277	56.84
163	2018.06.05 01:00	0.159	46.96
164	2018.06.06 09:00	0.189	49.47
165	2018.06.06 12:00	0.112	43.02
166	2018.06.11 05:00	0.287	57.68
167	2018.06.11 06:00	0.087	40.93
168	2018.06.13 04:00	0.132	44.70
169	2018.06.13 05:00	0.093	41.43
170	2018.06.13 06:00	0.035	36.57
171	2018.06.14 20:00	0.134	44.86
172	2018.06.20 21:00	0.178	48.55
173	2018.06.26 18:00	0.115	43.27
174	2018.06.26 19:00	0.230	52.90
175	2018.06.27 16:00	0.233	53.16
176	2018.07.02 04:00	0.172	48.05
177	2018.07.03 08:00	0.210	51.23
178	2018.07.09 16:00	0.221	52.15
179	2018.07.09 17:00	0.122	43.86
180	2018.07.09 18:00	0.101	42.10
181	2018.07.11 18:00	0.610	84.74
182	2018.07.11 19:00	0.473	73.26
183	2018.07.11 20:00	0.148	46.04
184	2018.07.11 21:00	0.054	38.16
185	2018.07.17 13:00	0.226	52.57
186	2018.07.17 14:00	0.132	44.70
187	2018.07.17 15:00	0.152	46.37
188	2018.07.17 16:00	0.170	47.88
189	2018.07.19 12:00	0.084	40.67
190	2018.07.31 10:00	0.426	69.32
191	2018.07.31 16:00	0.427	69.41
192	2018.08.06 13:00	0.179	48.63
193	2018.08.09 11:00	0.096	41.68
194	2018.08.14 09:00	0.248	54.41
195	2018.08.21 16:00	0.109	42.77
196	2018.08.23 03:00	0.210	51.23
197	2018.08.23 04:00	0.117	43.44
198	2018.08.23 16:00	0.340	62.12
199	2018.08.28 03:00	0.137	45.11
200	2018.08.28 04:00	0.136	45.03
201	2018.08.29 15:00	0.145	45.78
202	2018.08.29 16:00	0.303	59.02
203	2018.08.29 17:00	0.349	62.87
204	2018.09.04 08:00	0.231	52.99
205	2018.09.04 09:00	0.251	54.66
206	2018.09.07 15:00	0.207	50.98
207	2018.09.07 16:00	0.085	40.76
208	2018.09.07 17:00	0.134	44.86
209	2018.09.11 03:00	0.326	60.95
210	2018.09.13 17:00	0.329	61.20
211	2018.09.20 17:00	0.396	66.81
212	2018.09.24 22:00	0.102	42.18
213	2018.09.24 23:00	0.012	34.64
214	2018.09.27 15:00	0.214	51.56
215	2018.09.27 16:00	0.221	52.15
216	2018.09.27 17:00	0.316	60.11
217	2018.09.27 18:00	0.212	51.40
218	2018.10.01 01:00	0.077	40.09
219	2018.10.01 02:00	0.087	40.93
220	2018.10.01 03:00	0.157	46.79
221	2018.10.03 17:00	0.259	55.33
222	2018.10.03 18:00	0.246	54.24
223	2018.10.03 19:00	0.208	51.06
224	2018.10.03 23:00	0.167	47.63
225	2018.10.16 07:00	0.129	44.44
226	2018.10.16 08:00	0.068	39.33
227	2018.10.17 21:00	0.212	51.40
228	2018.10.17 22:00	0.168	47.71
229	2018.10.17 23:00	0.153	46.45
230	2018.10.22 08:00	0.134	44.86
231	2018.10.22 09:00	0.086	40.84
232	2018.10.22 10:00	0.032	36.32
233	2018.10.22 11:00	0.080	40.34
234	2018.10.22 12:00	0.100	42.01
235	2018.10.25 17:00	0.067	39.25
236	2018.10.29 13:00	0.206	50.89
237	2018.11.02 08:00	0.099	41.93
238	2018.11.02 20:00	0.142	45.53
