[20190319_124331 / views.py:11926]==============================
fname_Src_CSV	44_5.1_10_rawdata.(AUDUSD).(Period-H1).(NumOfUnits-7000).(Bars-ALL-20190312_174107).20190312_173929.csv
slice by	through
this file	(20190319_124329).(AUDUSD-H1).[sec-1.A-5.BB-diff-histogram.UU-UD-DU-DD].csv 
pair	AUDUSD
timeframe	H1
start	2018.01.23 01:00
end	2019.03.12 11:00
total bars	7000

[20190319_124331 / views.py:11944]
[20190319_124331 / views.py:11684]==============================
average	0.002
max	0.009
min	0.000
variance	0.0000016
std	0.00127
median	0.002

[20190319_124331 / views.py:11706]
[BB-diff-histogram : lo_UU_Z1]==============================
s.n.	e0.dateTime	diff-total
1	2018.01.24 10:00	0.004
2	2018.01.24 11:00	0.003
3	2018.02.12 23:00	0.001
4	2018.02.14 04:00	0.003
5	2018.02.22 15:00	0.002
6	2018.02.22 16:00	0.002
7	2018.02.26 06:00	0.002
8	2018.03.06 02:00	0.002
9	2018.03.06 03:00	0.001
10	2018.03.06 13:00	0.006
11	2018.03.09 15:00	0.004
12	2018.03.09 16:00	0.003
13	2018.03.09 17:00	0.002
14	2018.03.13 15:00	0.003
15	2018.03.21 20:00	0.005
16	2018.03.21 21:00	0.005
17	2018.03.26 23:00	0.000
18	2018.03.30 09:00	0.001
19	2018.04.04 05:00	0.001
20	2018.04.13 08:00	0.002
21	2018.04.13 09:00	0.002
22	2018.04.13 12:00	0.001
23	2018.05.10 20:00	0.002
24	2018.05.16 19:00	0.002
25	2018.05.21 15:00	0.002
26	2018.05.21 16:00	0.002
27	2018.05.21 17:00	0.001
28	2018.05.21 18:00	0.001
29	2018.05.21 19:00	0.000
30	2018.05.25 11:00	0.002
31	2018.05.30 11:00	0.001
32	2018.05.30 12:00	0.001
33	2018.05.30 13:00	0.001
34	2018.06.04 04:00	0.002
35	2018.06.04 05:00	0.001
36	2018.06.04 12:00	0.001
37	2018.06.13 17:00	0.002
38	2018.06.22 09:00	0.001
39	2018.06.22 10:00	0.002
40	2018.06.22 11:00	0.002
41	2018.06.29 07:00	0.001
42	2018.07.03 09:00	0.003
43	2018.07.03 10:00	0.001
44	2018.07.03 11:00	0.001
45	2018.07.06 08:00	0.002
46	2018.07.06 11:00	0.001
47	2018.07.09 03:00	0.002
48	2018.07.12 15:00	0.001
49	2018.07.12 17:00	0.002
50	2018.07.20 15:00	0.004
51	2018.07.24 13:00	0.002
52	2018.07.25 20:00	0.003
53	2018.07.25 21:00	0.002
54	2018.07.31 06:00	0.001
55	2018.08.03 17:00	0.002
56	2018.08.03 18:00	0.000
57	2018.08.07 08:00	0.003
58	2018.08.07 09:00	0.002
59	2018.08.07 10:00	0.001
60	2018.08.07 11:00	0.001
61	2018.08.07 12:00	0.000
62	2018.08.07 13:00	0.000
63	2018.08.16 04:00	0.003
64	2018.08.16 05:00	0.001
65	2018.08.20 21:00	0.001
66	2018.08.20 22:00	0.001
67	2018.08.20 23:00	0.001
68	2018.08.21 00:00	0.001
69	2018.08.21 19:00	0.003
70	2018.08.24 14:00	0.001
71	2018.08.24 17:00	0.002
72	2018.09.05 04:00	0.003
73	2018.09.12 17:00	0.003
74	2018.09.12 18:00	0.003
75	2018.09.12 19:00	0.001
76	2018.09.12 20:00	0.001
77	2018.09.13 15:00	0.004
78	2018.09.17 14:00	0.001
79	2018.09.17 15:00	0.001
80	2018.09.18 08:00	0.003
81	2018.09.19 06:00	0.001
82	2018.09.19 07:00	0.001
83	2018.09.26 04:00	0.003
84	2018.09.28 17:00	0.001
85	2018.10.08 13:00	0.001
86	2018.10.08 20:00	0.001
87	2018.10.08 21:00	0.001
88	2018.10.15 11:00	0.001
89	2018.10.18 11:00	0.002
90	2018.10.18 12:00	0.001
91	2018.10.19 13:00	0.002
92	2018.10.19 14:00	0.002
93	2018.10.19 15:00	0.001
94	2018.10.25 14:00	0.001
95	2018.11.01 03:00	0.003
96	2018.11.01 04:00	0.001
97	2018.11.01 05:00	0.002
98	2018.11.01 10:00	0.002
99	2018.11.02 07:00	0.005
100	2018.11.05 20:00	0.001
101	2018.11.07 05:00	0.003
102	2018.11.07 10:00	0.003
103	2018.11.07 11:00	0.001
104	2018.11.07 12:00	0.001
105	2018.11.16 16:00	0.002
106	2018.11.21 14:00	0.002
107	2018.11.21 15:00	0.001
108	2018.11.26 05:00	0.001
109	2018.11.26 08:00	0.002
110	2018.11.28 19:00	0.009
111	2018.12.12 02:00	0.002
112	2018.12.13 08:00	0.001
113	2018.12.18 02:00	0.002
114	2018.12.27 01:00	0.001
115	2019.01.04 17:00	0.007
116	2019.01.04 18:00	0.001
117	2019.01.04 19:00	0.001
118	2019.01.11 05:00	0.002
119	2019.01.25 15:00	0.004
120	2019.01.25 16:00	0.003
121	2019.01.25 17:00	0.002
122	2019.01.25 18:00	0.001
123	2019.01.30 02:00	0.003
124	2019.01.30 03:00	0.001
125	2019.01.30 04:00	0.000
126	2019.01.30 05:00	0.000
127	2019.02.05 05:00	0.005
128	2019.02.05 06:00	0.001
129	2019.02.13 03:00	0.003
130	2019.02.13 04:00	0.002
131	2019.02.13 05:00	0.001
132	2019.02.19 17:00	0.002
133	2019.02.19 18:00	0.003
134	2019.02.19 19:00	0.003
135	2019.02.22 15:00	0.002
136	2019.02.22 17:00	0.001
137	2019.02.25 12:00	0.001
138	2019.02.25 13:00	0.000
139	2019.03.01 13:00	0.001
140	2019.03.07 03:00	0.001
