[20190327_172317 / views.py:12018]==============================
fname_Src_CSV	44_5.1_10_rawdata.(EURJPY).(Period-M5).(NumOfUnits-8000).(Bars-ALL-20190326_110835).20190307_094255.csv
slice by	through
this file	(20190327_172311).(EURJPY-M5).[sec-1.A-5.BB-diff-histogram.UU-UD-DU-DD].csv 
pair	EURJPY
timeframe	M5
start	2018.05.18 04:55
end	2019.03.26 05:00
total bars	58414

[20190327_172317 / views.py:12036]
[20190327_172317 / views.py:11765]==============================
average	0.084
max	0.626
min	-0.114
variance	0.0052895
std	0.07273
median	0.067

[20190327_172317 / views.py:11787]
[BB-diff-histogram : lo_UU_Z1]==============================
s.n.	e0.dateTime	diff-total	std score
136	2018.06.13 06:05	0.034	43.13
137	2018.06.13 15:35	0.055	46.02
138	2018.06.13 15:40	0.061	46.85
139	2018.06.13 18:55	0.054	45.88
140	2018.06.13 19:00	0.049	45.20
141	2018.06.13 22:00	0.113	54.00
142	2018.06.13 22:05	0.067	47.67
143	2018.06.14 02:45	0.102	52.48
144	2018.06.15 08:25	0.127	55.92
145	2018.06.15 08:30	0.086	50.28
146	2018.06.15 12:10	0.139	57.57
147	2018.06.18 11:40	0.106	53.03
148	2018.06.18 11:45	0.037	43.55
149	2018.06.18 12:10	0.087	50.42
150	2018.06.18 20:55	0.058	46.43
151	2018.06.19 18:30	0.048	45.06
152	2018.06.19 23:10	0.069	47.95
153	2018.06.19 23:15	0.056	46.16
154	2018.06.19 23:20	0.082	49.73
155	2018.06.19 23:25	0.045	44.65
156	2018.06.20 02:10	0.085	50.15
157	2018.06.20 02:15	0.056	46.16
158	2018.06.20 02:20	0.083	49.87
159	2018.06.20 02:25	0.083	49.87
160	2018.06.20 08:10	0.098	51.93
161	2018.06.20 08:15	0.055	46.02
162	2018.06.20 15:10	0.053	45.75
163	2018.06.20 15:50	0.110	53.58
164	2018.06.20 18:55	0.087	50.42
165	2018.06.20 19:00	0.050	45.33
166	2018.06.20 21:00	0.041	44.10
167	2018.06.20 21:05	0.025	41.90
168	2018.06.21 01:30	0.035	43.27
169	2018.06.21 01:35	0.052	45.61
170	2018.06.21 04:50	0.177	62.80
171	2018.06.21 05:10	0.096	51.66
172	2018.06.21 08:05	0.096	51.66
173	2018.06.21 13:50	0.305	80.40
174	2018.06.21 13:55	0.172	62.11
175	2018.06.21 20:50	0.052	45.61
176	2018.06.21 20:55	0.043	44.37
177	2018.06.21 21:00	0.100	52.21
178	2018.06.22 02:40	0.061	46.85
179	2018.06.22 07:55	0.082	49.73
180	2018.06.22 08:00	0.050	45.33
181	2018.06.22 10:00	0.531	111.47
182	2018.06.22 10:05	0.092	51.11
183	2018.06.22 14:40	0.075	48.77
184	2018.06.22 14:45	0.040	43.96
185	2018.06.22 22:40	0.025	41.90
186	2018.06.25 13:55	0.167	61.42
187	2018.06.25 14:00	0.146	58.53
188	2018.06.25 14:05	0.226	69.53
189	2018.06.25 14:10	0.127	55.92
190	2018.06.25 14:15	0.131	56.47
191	2018.06.25 21:05	0.047	44.92
192	2018.06.25 22:30	0.438	98.68
193	2018.06.26 08:05	0.147	58.67
194	2018.06.26 17:00	0.104	52.76
195	2018.06.26 21:50	0.043	44.37
196	2018.06.27 02:10	0.020	41.21
197	2018.06.27 02:20	0.034	43.13
198	2018.06.27 02:25	0.014	40.38
199	2018.06.27 16:45	0.118	54.68
200	2018.06.28 13:25	0.137	57.30
201	2018.06.28 13:30	0.096	51.66
202	2018.06.28 13:35	0.092	51.11
203	2018.06.29 02:05	0.032	42.86
204	2018.06.29 02:10	0.023	41.62
205	2018.06.29 05:35	0.626	124.53
206	2018.06.29 05:40	0.238	71.18
207	2018.06.29 05:55	0.251	72.97
208	2018.06.29 07:20	0.138	57.43
209	2018.06.29 11:30	0.281	77.10
210	2018.06.29 11:45	0.072	48.36
211	2018.06.29 11:50	0.025	41.90
212	2018.06.29 17:50	0.259	74.07
213	2018.06.29 20:00	0.072	48.36
214	2018.07.02 11:40	0.128	56.06
215	2018.07.02 11:45	0.049	45.20
216	2018.07.02 20:35	0.014	40.38
217	2018.07.02 22:10	0.090	50.83
218	2018.07.02 23:25	0.058	46.43
219	2018.07.03 02:50	0.033	43.00
220	2018.07.03 02:55	0.049	45.20
221	2018.07.03 08:30	0.160	60.46
222	2018.07.03 08:35	0.059	46.57
223	2018.07.03 08:40	0.064	47.26
224	2018.07.03 10:00	0.164	61.01
225	2018.07.03 20:25	0.077	49.05
226	2018.07.03 20:30	0.041	44.10
227	2018.07.03 20:35	0.030	42.58
228	2018.07.03 22:45	0.017	40.80
229	2018.07.03 22:50	0.031	42.72
230	2018.07.04 16:55	0.038	43.68
231	2018.07.04 17:00	0.008	39.56
232	2018.07.04 17:05	0.008	39.56
233	2018.07.04 19:15	0.222	68.98
234	2018.07.05 03:00	0.053	45.75
235	2018.07.05 03:05	0.035	43.27
236	2018.07.05 03:10	0.018	40.93
237	2018.07.05 08:20	0.144	58.26
238	2018.07.05 08:25	0.135	57.02
239	2018.07.05 08:30	0.160	60.46
240	2018.07.05 08:35	0.230	70.08
241	2018.07.05 08:40	0.295	79.02
242	2018.07.05 08:45	0.219	68.57
243	2018.07.05 08:50	0.114	54.13
244	2018.07.05 14:35	0.075	48.77
245	2018.07.05 14:50	0.106	53.03
246	2018.07.05 23:55	-0.044	32.41
