[20190327_172320 / views.py:13670]
fname_Src_CSV	44_5.1_10_rawdata.(EURJPY).(Period-M5).(NumOfUnits-8000).(Bars-ALL-20190326_110835).20190307_094255.csv
slice by	through
this file	(20190327_172311).(EURJPY-M5).[sec-1.A-6.3-seq].(20190327_172320).csv
pair	EURJPY
timeframe	M5
start	2018.05.18 04:55
end	2019.03.26 05:00
bars	58414

[20190327_172320 / views.py:13739]
[lo_UUU]==============================
s.n.	e0.date	e1.date	e2.date	e0.diff	e1.diff	e2.diff
63	2018.05.22 05:00	2018.05.22 05:05	2018.05.22 05:10	0.005	0.005	0.028
64	2018.05.22 05:05	2018.05.22 05:10	2018.05.22 05:15	0.005	0.028	0.036
65	2018.05.22 05:10	2018.05.22 05:15	2018.05.22 05:20	0.028	0.036	0.008
66	2018.05.22 06:00	2018.05.22 06:05	2018.05.22 06:10	0.010	0.001	0.002
67	2018.05.22 06:20	2018.05.22 06:25	2018.05.22 06:30	0.007	0.019	0.004
68	2018.05.22 08:10	2018.05.22 08:15	2018.05.22 08:20	0.005	0.002	0.010
69	2018.05.22 08:50	2018.05.22 08:55	2018.05.22 09:00	0.013	0.029	0.073
70	2018.05.22 09:15	2018.05.22 09:20	2018.05.22 09:25	0.042	0.012	0.061
71	2018.05.22 09:50	2018.05.22 09:55	2018.05.22 10:00	0.004	0.011	0.043
72	2018.05.22 09:55	2018.05.22 10:00	2018.05.22 10:05	0.011	0.043	0.013
73	2018.05.22 10:00	2018.05.22 10:05	2018.05.22 10:10	0.043	0.013	0.153
74	2018.05.22 10:05	2018.05.22 10:10	2018.05.22 10:15	0.013	0.153	0.046
75	2018.05.22 10:10	2018.05.22 10:15	2018.05.22 10:20	0.153	0.046	0.042
76	2018.05.22 10:15	2018.05.22 10:20	2018.05.22 10:25	0.046	0.042	0.099
77	2018.05.22 15:55	2018.05.22 16:00	2018.05.22 16:05	0.018	0.003	0.050
78	2018.05.22 16:25	2018.05.22 16:30	2018.05.22 16:35	0.015	0.005	0.010
79	2018.05.22 16:30	2018.05.22 16:35	2018.05.22 16:40	0.005	0.010	0.059
80	2018.05.22 16:35	2018.05.22 16:40	2018.05.22 16:45	0.010	0.059	0.009
81	2018.05.22 16:40	2018.05.22 16:45	2018.05.22 16:50	0.059	0.009	0.051
82	2018.05.22 17:50	2018.05.22 17:55	2018.05.22 18:00	0.040	0.032	0.076
83	2018.05.22 18:10	2018.05.22 18:15	2018.05.22 18:20	0.042	0.005	0.006
84	2018.05.22 21:10	2018.05.22 21:15	2018.05.22 21:20	0.027	0.000	0.003
85	2018.05.22 21:15	2018.05.22 21:20	2018.05.22 21:25	0.000	0.003	0.010
86	2018.05.22 21:20	2018.05.22 21:25	2018.05.22 21:30	0.003	0.010	0.020
87	2018.05.22 21:25	2018.05.22 21:30	2018.05.22 21:35	0.010	0.020	0.003
88	2018.05.22 23:55	2018.05.23 00:05	2018.05.23 00:10	0.001	0.007	0.003
89	2018.05.23 00:05	2018.05.23 00:10	2018.05.23 00:15	0.007	0.003	0.008
90	2018.05.23 00:10	2018.05.23 00:15	2018.05.23 00:20	0.003	0.008	0.003
91	2018.05.23 01:15	2018.05.23 01:20	2018.05.23 01:25	0.037	0.002	0.016
92	2018.05.23 01:20	2018.05.23 01:25	2018.05.23 01:30	0.002	0.016	0.000
93	2018.05.23 02:50	2018.05.23 02:55	2018.05.23 03:00	0.001	0.008	0.017
94	2018.05.23 02:55	2018.05.23 03:00	2018.05.23 03:05	0.008	0.017	0.011
95	2018.05.23 03:00	2018.05.23 03:05	2018.05.23 03:10	0.017	0.011	0.017
96	2018.05.23 03:05	2018.05.23 03:10	2018.05.23 03:15	0.011	0.017	0.027
97	2018.05.23 06:10	2018.05.23 06:15	2018.05.23 06:20	0.003	0.015	0.067
98	2018.05.23 06:15	2018.05.23 06:20	2018.05.23 06:25	0.015	0.067	0.028
99	2018.05.23 06:35	2018.05.23 06:40	2018.05.23 06:45	0.026	0.031	0.063
100	2018.05.23 06:40	2018.05.23 06:45	2018.05.23 06:50	0.031	0.063	0.051
101	2018.05.23 07:40	2018.05.23 07:45	2018.05.23 07:50	0.012	0.003	0.000
102	2018.05.23 08:35	2018.05.23 08:40	2018.05.23 08:45	0.017	0.017	0.020
103	2018.05.23 08:40	2018.05.23 08:45	2018.05.23 08:50	0.017	0.020	0.025
104	2018.05.23 09:05	2018.05.23 09:10	2018.05.23 09:15	0.001	0.022	0.027
105	2018.05.23 12:45	2018.05.23 12:50	2018.05.23 12:55	0.023	0.093	0.000
106	2018.05.23 12:50	2018.05.23 12:55	2018.05.23 13:00	0.093	0.000	0.051
107	2018.05.23 12:55	2018.05.23 13:00	2018.05.23 13:05	0.000	0.051	0.061
108	2018.05.23 14:20	2018.05.23 14:25	2018.05.23 14:30	0.018	0.014	0.000
109	2018.05.23 14:50	2018.05.23 14:55	2018.05.23 15:00	0.056	0.038	0.085
110	2018.05.23 14:55	2018.05.23 15:00	2018.05.23 15:05	0.038	0.085	0.003
111	2018.05.23 15:00	2018.05.23 15:05	2018.05.23 15:10	0.085	0.003	0.136
112	2018.05.23 15:05	2018.05.23 15:10	2018.05.23 15:15	0.003	0.136	0.053
113	2018.05.23 15:10	2018.05.23 15:15	2018.05.23 15:20	0.136	0.053	0.006
114	2018.05.23 15:15	2018.05.23 15:20	2018.05.23 15:25	0.053	0.006	0.016
115	2018.05.23 15:20	2018.05.23 15:25	2018.05.23 15:30	0.006	0.016	0.026
116	2018.05.23 15:25	2018.05.23 15:30	2018.05.23 15:35	0.016	0.026	0.054
117	2018.05.23 16:15	2018.05.23 16:20	2018.05.23 16:25	0.207	0.064	0.012
118	2018.05.23 16:20	2018.05.23 16:25	2018.05.23 16:30	0.064	0.012	0.021
