[20190311_090203 / views.py:11521]
fname_Src_CSV	44_5.1_10_rawdata.(AUDJPY).(Period-H1).(NumOfUnits-8000).(Bars-ALL-20190311_090135).20190311_090020.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].(AUDJPY-H1).(20190311_090201).csv
pair	AUDJPY
timeframe	H1
start	2017.11.21 10:00
end	2019.03.11 03:00

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD
[20190311_090203 / views.py:11613]
59	2018.12.14 00:00	2018.12.14 23:00	24	3	6	6	8	0.125	0.250	0.250	0.333
60	2018.12.13 00:00	2018.12.13 23:00	24	7	4	4	8	0.292	0.167	0.167	0.333
61	2018.12.12 00:00	2018.12.12 23:00	24	4	7	8	4	0.167	0.292	0.333	0.167
62	2018.12.11 00:00	2018.12.11 23:00	24	2	7	7	7	0.083	0.292	0.292	0.292
63	2018.12.10 02:00	2018.12.10 23:00	22	11	5	5	0	0.500	0.227	0.227	0.000
64	2018.12.07 00:00	2018.12.07 23:00	24	3	7	7	6	0.125	0.292	0.292	0.250
65	2018.12.06 00:00	2018.12.06 23:00	24	3	6	4	8	0.125	0.250	0.167	0.333
66	2018.12.05 00:00	2018.12.05 23:00	24	3	7	7	6	0.125	0.292	0.292	0.250
67	2018.12.04 00:00	2018.12.04 23:00	24	1	4	4	14	0.042	0.167	0.167	0.583
68	2018.12.03 00:00	2018.12.03 23:00	24	6	6	7	4	0.250	0.250	0.292	0.167
69	2018.11.30 00:00	2018.11.30 23:00	24	3	6	7	7	0.125	0.250	0.292	0.292
70	2018.11.29 00:00	2018.11.29 23:00	24	6	4	5	8	0.250	0.167	0.208	0.333
71	2018.11.28 00:00	2018.11.28 23:00	24	5	6	6	6	0.208	0.250	0.250	0.250
72	2018.11.27 00:00	2018.11.27 23:00	24	7	6	6	4	0.292	0.250	0.250	0.167
73	2018.11.26 00:00	2018.11.26 23:00	24	9	5	3	4	0.375	0.208	0.125	0.167
74	2018.11.23 00:00	2018.11.23 23:00	24	6	7	7	3	0.250	0.292	0.292	0.125
75	2018.11.22 00:00	2018.11.22 23:00	24	5	5	5	8	0.208	0.208	0.208	0.333
76	2018.11.21 00:00	2018.11.21 23:00	24	7	7	8	1	0.292	0.292	0.333	0.042
77	2018.11.20 00:00	2018.11.20 23:00	24	5	4	4	8	0.208	0.167	0.167	0.333
78	2018.11.19 00:00	2018.11.19 23:00	24	6	5	5	5	0.250	0.208	0.208	0.208
79	2018.11.16 00:00	2018.11.16 23:00	24	4	7	8	4	0.167	0.292	0.333	0.167
80	2018.11.15 00:00	2018.11.15 23:00	24	4	7	6	6	0.167	0.292	0.250	0.250
81	2018.11.14 00:00	2018.11.14 23:00	24	7	5	5	6	0.292	0.208	0.208	0.250
82	2018.11.13 00:00	2018.11.13 23:00	24	5	6	7	5	0.208	0.250	0.292	0.208
83	2018.11.12 00:00	2018.11.12 23:00	24	4	3	3	13	0.167	0.125	0.125	0.542
84	2018.11.09 00:00	2018.11.09 23:00	24	7	5	5	6	0.292	0.208	0.208	0.250
85	2018.11.08 00:00	2018.11.08 23:00	24	6	6	7	4	0.250	0.250	0.292	0.167
86	2018.11.07 00:00	2018.11.07 23:00	24	9	6	6	2	0.375	0.250	0.250	0.083
87	2018.11.06 00:00	2018.11.06 23:00	24	7	7	7	2	0.292	0.292	0.292	0.083
88	2018.11.05 00:00	2018.11.05 23:00	24	11	5	4	3	0.458	0.208	0.167	0.125
89	2018.11.02 00:00	2018.11.02 23:00	24	6	6	6	5	0.250	0.250	0.250	0.208
90	2018.11.01 00:00	2018.11.01 23:00	24	7	8	7	1	0.292	0.333	0.292	0.042
91	2018.10.31 00:00	2018.10.31 23:00	24	2	5	7	7	0.083	0.208	0.292	0.292
92	2018.10.30 00:00	2018.10.30 23:00	24	11	6	6	0	0.458	0.250	0.250	0.000
93	2018.10.29 00:00	2018.10.29 23:00	24	8	7	6	2	0.333	0.292	0.250	0.083
94	2018.10.26 00:00	2018.10.26 23:00	24	2	7	8	6	0.083	0.292	0.333	0.250
95	2018.10.25 00:00	2018.10.25 23:00	24	7	6	5	5	0.292	0.250	0.208	0.208
96	2018.10.24 00:00	2018.10.24 23:00	24	5	4	5	9	0.208	0.167	0.208	0.375
97	2018.10.23 00:00	2018.10.23 23:00	24	1	5	5	12	0.042	0.208	0.208	0.500
98	2018.10.22 00:00	2018.10.22 23:00	24	5	6	6	4	0.208	0.250	0.250	0.167
99	2018.10.19 00:00	2018.10.19 23:00	24	8	5	5	5	0.333	0.208	0.208	0.208
100	2018.10.18 00:00	2018.10.18 23:00	24	4	6	5	8	0.167	0.250	0.208	0.333
101	2018.10.17 00:00	2018.10.17 23:00	24	6	5	5	7	0.250	0.208	0.208	0.292
102	2018.10.16 00:00	2018.10.16 23:00	24	8	7	7	1	0.333	0.292	0.292	0.042
103	2018.10.15 00:00	2018.10.15 23:00	24	8	7	7	1	0.333	0.292	0.292	0.042
104	2018.10.12 00:00	2018.10.12 23:00	24	6	6	6	5	0.250	0.250	0.250	0.208
105	2018.10.11 00:00	2018.10.11 23:00	24	11	5	5	2	0.458	0.208	0.208	0.083
106	2018.10.10 00:00	2018.10.10 23:00	24	9	5	4	5	0.375	0.208	0.167	0.208
107	2018.10.09 00:00	2018.10.09 23:00	24	3	9	9	2	0.125	0.375	0.375	0.083
108	2018.10.08 00:00	2018.10.08 23:00	24	8	3	4	8	0.333	0.125	0.167	0.333
109	2018.10.05 00:00	2018.10.05 23:00	24	7	4	5	7	0.292	0.167	0.208	0.292
110	2018.10.04 00:00	2018.10.04 23:00	24	4	6	6	7	0.167	0.250	0.250	0.292
111	2018.10.03 00:00	2018.10.03 23:00	24	3	5	4	11	0.125	0.208	0.167	0.458
112	2018.10.02 00:00	2018.10.02 23:00	24	7	4	4	8	0.292	0.167	0.167	0.333
113	2018.10.01 00:00	2018.10.01 23:00	24	4	7	7	5	0.167	0.292	0.292	0.208
114	2018.09.28 00:00	2018.09.28 23:00	24	5	6	5	7	0.208	0.250	0.208	0.292
115	2018.09.27 00:00	2018.09.27 23:00	24	4	6	6	7	0.167	0.250	0.250	0.292
116	2018.09.26 00:00	2018.09.26 23:00	24	7	5	4	7	0.292	0.208	0.167	0.292
117	2018.09.25 00:00	2018.09.25 23:00	24	8	5	5	5	0.333	0.208	0.208	0.208
118	2018.09.24 00:00	2018.09.24 23:00	24	4	7	7	4	0.167	0.292	0.292	0.167
119	2018.09.21 00:00	2018.09.21 23:00	24	3	6	7	7	0.125	0.250	0.292	0.292
120	2018.09.20 00:00	2018.09.20 23:00	24	8	6	6	3	0.333	0.250	0.250	0.125
121	2018.09.19 00:00	2018.09.19 23:00	24	8	6	6	3	0.333	0.250	0.250	0.125
122	2018.09.18 00:00	2018.09.18 23:00	24	13	4	4	2	0.542	0.167	0.167	0.083
123	2018.09.17 00:00	2018.09.17 23:00	24	8	6	6	3	0.333	0.250	0.250	0.125
124	2018.09.14 00:00	2018.09.14 23:00	24	7	5	6	5	0.292	0.208	0.250	0.208
125	2018.09.13 00:00	2018.09.13 23:00	24	8	7	6	2	0.333	0.292	0.250	0.083
126	2018.09.12 00:00	2018.09.12 23:00	24	6	6	5	6	0.250	0.250	0.208	0.250
127	2018.09.11 00:00	2018.09.11 23:00	24	8	5	6	4	0.333	0.208	0.250	0.167
128	2018.09.10 00:00	2018.09.10 23:00	24	8	6	5	4	0.333	0.250	0.208	0.167
129	2018.09.07 00:00	2018.09.07 23:00	24	2	7	7	7	0.083	0.292	0.292	0.292
130	2018.09.06 00:00	2018.09.06 23:00	24	3	8	7	5	0.125	0.333	0.292	0.208
131	2018.09.05 00:00	2018.09.05 23:00	24	7	3	4	7	0.292	0.125	0.167	0.292
