[20190311_090203 / views.py:11521]
fname_Src_CSV	44_5.1_10_rawdata.(AUDJPY).(Period-H1).(NumOfUnits-8000).(Bars-ALL-20190311_090135).20190311_090020.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].(AUDJPY-H1).(20190311_090201).csv
pair	AUDJPY
timeframe	H1
start	2017.11.21 10:00
end	2019.03.11 03:00

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD
[20190311_090203 / views.py:11613]
255	2018.03.15 00:00	2018.03.15 23:00	24	4	5	5	9	0.167	0.208	0.208	0.375
256	2018.03.14 00:00	2018.03.14 23:00	24	11	4	5	3	0.458	0.167	0.208	0.125
257	2018.03.13 00:00	2018.03.13 23:00	24	6	5	5	7	0.250	0.208	0.208	0.292
258	2018.03.12 00:00	2018.03.12 23:00	24	6	6	5	6	0.250	0.250	0.208	0.250
259	2018.03.09 00:00	2018.03.09 23:00	24	10	6	5	2	0.417	0.250	0.208	0.083
260	2018.03.08 00:00	2018.03.08 23:00	24	3	6	6	8	0.125	0.250	0.250	0.333
261	2018.03.07 00:00	2018.03.07 23:00	24	8	4	4	7	0.333	0.167	0.167	0.292
262	2018.03.06 00:00	2018.03.06 23:00	24	7	4	4	8	0.292	0.167	0.167	0.333
263	2018.03.05 00:00	2018.03.05 23:00	24	9	5	5	4	0.375	0.208	0.208	0.167
264	2018.03.02 00:00	2018.03.02 23:00	24	5	6	6	6	0.208	0.250	0.250	0.250
265	2018.03.01 00:00	2018.03.01 23:00	24	2	8	8	4	0.083	0.333	0.333	0.167
266	2018.02.28 00:00	2018.02.28 23:00	24	3	6	5	9	0.125	0.250	0.208	0.375
267	2018.02.27 00:00	2018.02.27 23:00	24	2	8	7	6	0.083	0.333	0.292	0.250
268	2018.02.26 00:00	2018.02.26 23:00	24	6	5	5	7	0.250	0.208	0.208	0.292
269	2018.02.23 00:00	2018.02.23 23:00	24	5	5	6	7	0.208	0.208	0.250	0.292
270	2018.02.22 00:00	2018.02.22 23:00	24	6	5	6	6	0.250	0.208	0.250	0.250
271	2018.02.21 00:00	2018.02.21 23:00	24	3	5	6	9	0.125	0.208	0.250	0.375
272	2018.02.20 00:00	2018.02.20 23:00	24	7	6	6	4	0.292	0.250	0.250	0.167
273	2018.02.19 00:00	2018.02.19 23:00	24	6	6	6	3	0.250	0.250	0.250	0.125
274	2018.02.16 00:00	2018.02.16 23:00	24	4	8	8	3	0.167	0.333	0.333	0.125
275	2018.02.15 00:00	2018.02.15 23:00	24	4	7	8	4	0.167	0.292	0.333	0.167
276	2018.02.14 00:00	2018.02.14 23:00	24	10	4	4	5	0.417	0.167	0.167	0.208
277	2018.02.13 00:00	2018.02.13 23:00	24	6	4	4	9	0.250	0.167	0.167	0.375
278	2018.02.12 00:00	2018.02.12 23:00	24	7	7	8	1	0.292	0.292	0.333	0.042
279	2018.02.09 00:00	2018.02.09 23:00	24	7	5	6	5	0.292	0.208	0.250	0.208
280	2018.02.08 00:00	2018.02.08 23:00	24	5	5	6	7	0.208	0.208	0.250	0.292
281	2018.02.07 00:00	2018.02.07 23:00	24	2	7	6	8	0.083	0.292	0.250	0.333
282	2018.02.06 00:00	2018.02.06 23:00	24	5	7	7	4	0.208	0.292	0.292	0.167
283	2018.02.05 00:00	2018.02.05 23:00	24	7	4	4	8	0.292	0.167	0.167	0.333
284	2018.02.02 00:00	2018.02.02 23:00	24	2	7	7	7	0.083	0.292	0.292	0.292
285	2018.02.01 00:00	2018.02.01 23:00	24	7	7	7	2	0.292	0.292	0.292	0.083
286	2018.01.31 00:00	2018.01.31 23:00	24	11	5	5	2	0.458	0.208	0.208	0.083
287	2018.01.30 00:00	2018.01.30 23:00	24	4	8	8	3	0.167	0.333	0.333	0.125
288	2018.01.29 00:00	2018.01.29 23:00	24	5	8	9	1	0.208	0.333	0.375	0.042
289	2018.01.26 00:00	2018.01.26 23:00	24	10	4	3	6	0.417	0.167	0.125	0.250
290	2018.01.25 00:00	2018.01.25 23:00	24	3	6	6	8	0.125	0.250	0.250	0.333
291	2018.01.24 00:00	2018.01.24 23:00	24	7	3	4	9	0.292	0.125	0.167	0.375
292	2018.01.23 00:00	2018.01.23 23:00	24	4	6	6	7	0.167	0.250	0.250	0.292
293	2018.01.22 00:00	2018.01.22 23:00	24	9	6	5	3	0.375	0.250	0.208	0.125
294	2018.01.19 00:00	2018.01.19 23:00	24	3	7	7	6	0.125	0.292	0.292	0.250
295	2018.01.18 00:00	2018.01.18 23:00	24	11	5	6	1	0.458	0.208	0.250	0.042
296	2018.01.17 00:00	2018.01.17 23:00	24	7	6	6	4	0.292	0.250	0.250	0.167
297	2018.01.16 00:00	2018.01.16 23:00	24	4	4	5	10	0.167	0.167	0.208	0.417
298	2018.01.15 00:00	2018.01.15 23:00	24	7	6	5	5	0.292	0.250	0.208	0.208
299	2018.01.12 00:00	2018.01.12 23:00	24	5	6	5	5	0.208	0.250	0.208	0.208
300	2018.01.11 00:00	2018.01.11 23:00	24	7	6	6	3	0.292	0.250	0.250	0.125
301	2018.01.10 00:00	2018.01.10 23:00	24	4	3	5	7	0.167	0.125	0.208	0.292
302	2018.01.09 00:00	2018.01.09 23:00	24	2	5	6	10	0.083	0.208	0.250	0.417
303	2018.01.08 00:00	2018.01.08 23:00	24	5	5	5	7	0.208	0.208	0.208	0.292
304	2018.01.05 00:00	2018.01.05 23:00	24	8	7	6	2	0.333	0.292	0.250	0.083
305	2018.01.04 00:00	2018.01.04 23:00	24	7	5	7	2	0.292	0.208	0.292	0.083
306	2018.01.03 00:00	2018.01.03 23:00	24	5	7	7	4	0.208	0.292	0.292	0.167
307	2018.01.02 00:00	2018.01.02 23:00	24	7	6	5	5	0.292	0.250	0.208	0.208
308	2017.12.29 00:00	2017.12.29 23:00	24	4	7	7	5	0.167	0.292	0.292	0.208
309	2017.12.28 00:00	2017.12.28 23:00	24	9	5	5	4	0.375	0.208	0.208	0.167
310	2017.12.27 00:00	2017.12.27 23:00	24	6	7	7	3	0.250	0.292	0.292	0.125
311	2017.12.26 00:00	2017.12.26 23:00	24	2	9	9	3	0.083	0.375	0.375	0.125
312	2017.12.25 01:00	2017.12.25 09:00	9	3	2	1	2	0.333	0.222	0.111	0.222
313	2017.12.22 00:00	2017.12.22 23:00	24	7	7	6	3	0.292	0.292	0.250	0.125
314	2017.12.21 00:00	2017.12.21 23:00	24	8	4	4	7	0.333	0.167	0.167	0.292
315	2017.12.20 00:00	2017.12.20 23:00	24	10	5	5	3	0.417	0.208	0.208	0.125
316	2017.12.19 00:00	2017.12.19 23:00	24	3	7	6	5	0.125	0.292	0.250	0.208
317	2017.12.18 00:00	2017.12.18 23:00	24	6	6	6	5	0.250	0.250	0.250	0.208
318	2017.12.15 00:00	2017.12.15 23:00	24	1	7	7	8	0.042	0.292	0.292	0.333
319	2017.12.14 00:00	2017.12.14 23:00	24	9	5	5	4	0.375	0.208	0.208	0.167
320	2017.12.13 00:00	2017.12.13 23:00	24	10	4	5	4	0.417	0.167	0.208	0.167
321	2017.12.12 00:00	2017.12.12 23:00	24	10	4	4	5	0.417	0.167	0.167	0.208
322	2017.12.11 00:00	2017.12.11 23:00	24	10	5	4	4	0.417	0.208	0.167	0.167
323	2017.12.08 00:00	2017.12.08 23:00	24	5	7	7	4	0.208	0.292	0.292	0.167
324	2017.12.07 00:00	2017.12.07 23:00	24	5	7	8	1	0.208	0.292	0.333	0.042
325	2017.12.06 00:00	2017.12.06 23:00	24	4	6	7	4	0.167	0.250	0.292	0.167
326	2017.12.05 00:00	2017.12.05 23:00	24	7	5	4	7	0.292	0.208	0.167	0.292
327	2017.12.04 00:00	2017.12.04 23:00	24	7	5	5	6	0.292	0.208	0.208	0.250
328	2017.12.01 00:00	2017.12.01 23:00	24	7	6	6	4	0.292	0.250	0.250	0.167
329	2017.11.30 00:00	2017.11.30 23:00	24	7	5	5	6	0.292	0.208	0.208	0.250
330	2017.11.29 00:00	2017.11.29 23:00	24	9	5	5	4	0.375	0.208	0.208	0.167
331	2017.11.28 00:00	2017.11.28 23:00	24	3	7	7	6	0.125	0.292	0.292	0.250
332	2017.11.27 00:00	2017.11.27 23:00	24	7	6	5	5	0.292	0.250	0.208	0.208
333	2017.11.24 00:00	2017.11.24 23:00	24	11	4	3	5	0.458	0.167	0.125	0.208
334	2017.11.23 00:00	2017.11.23 23:00	24	2	7	8	4	0.083	0.292	0.333	0.167
335	2017.11.22 00:00	2017.11.22 23:00	24	2	4	5	12	0.083	0.167	0.208	0.500
336	2017.11.21 10:00	2017.11.21 23:00	14	3	3	3	4	0.214	0.214	0.214	0.286


