[20190224_140028 / views.py:10103]
fname_Src_CSV	44_5.1_10_rawdata.(EURJPY).(Period-M15).(NumOfUnits-4500).(Bars-4500).20190214_095445.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].20190224_140027.csv
pair	EURJPY
timeframe	M15

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD


[20190224_140029 / views.py:10215]
fname_Src_CSV	44_5.1_10_rawdata.(EURJPY).(Period-M15).(NumOfUnits-4500).(Bars-4500).20190214_095445.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].20190224_140027.csv
pair	EURJPY
timeframe	M15

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD
25	2019.01.11 00:00	2019.01.11 23:45	96	17	28	27	21	0.177	0.292	0.281	0.219
26	2019.01.10 00:00	2019.01.10 23:45	96	31	25	23	14	0.323	0.260	0.240	0.146
27	2019.01.09 00:00	2019.01.09 23:45	96	22	24	24	23	0.229	0.250	0.250	0.240
28	2019.01.08 00:00	2019.01.08 23:45	96	16	25	25	29	0.167	0.260	0.260	0.302
29	2019.01.07 00:00	2019.01.07 23:45	96	25	24	22	22	0.260	0.250	0.229	0.229
30	2019.01.04 00:00	2019.01.04 23:45	96	31	23	23	18	0.323	0.240	0.240	0.188
31	2019.01.03 00:00	2019.01.03 23:45	96	26	20	21	28	0.271	0.208	0.219	0.292
32	2018.12.28 00:00	2018.12.28 23:45	96	20	26	27	20	0.208	0.271	0.281	0.208
33	2018.12.27 00:00	2018.12.27 23:45	96	27	27	26	13	0.281	0.281	0.271	0.135
34	2018.12.26 00:15	2018.12.26 23:45	95	24	22	24	21	0.253	0.232	0.253	0.221
35	2018.12.25 00:00	2018.12.25 07:45	24	4	6	5	5	0.167	0.250	0.208	0.208
36	2018.12.24 00:00	2018.12.24 23:45	96	19	26	25	25	0.198	0.271	0.260	0.260
37	2018.12.21 00:00	2018.12.21 23:45	96	18	24	25	28	0.188	0.250	0.260	0.292
38	2018.12.20 00:00	2018.12.20 23:45	96	16	25	25	29	0.167	0.260	0.260	0.302
39	2018.12.19 00:00	2018.12.19 23:45	96	22	26	24	21	0.229	0.271	0.250	0.219
40	2018.12.18 00:00	2018.12.18 23:45	96	19	24	24	26	0.198	0.250	0.250	0.271
41	2018.12.17 00:00	2018.12.17 23:45	96	19	24	23	29	0.198	0.250	0.240	0.302
42	2018.12.14 00:00	2018.12.14 23:45	96	24	25	25	21	0.250	0.260	0.260	0.219
43	2018.12.13 00:00	2018.12.13 23:45	96	30	26	25	14	0.312	0.271	0.260	0.146
44	2018.12.12 00:00	2018.12.12 23:45	96	30	21	21	19	0.312	0.219	0.219	0.198
45	2018.12.11 00:00	2018.12.11 23:45	96	19	23	24	27	0.198	0.240	0.250	0.281
46	2018.12.10 02:00	2018.12.10 23:45	88	26	21	21	15	0.295	0.239	0.239	0.170
47	2018.12.07 00:00	2018.12.07 23:45	96	24	26	25	18	0.250	0.271	0.260	0.188
48	2018.12.06 00:00	2018.12.06 23:45	96	18	27	27	23	0.188	0.281	0.281	0.240
49	2018.12.05 09:45	2018.12.05 23:45	57	15	15	15	11	0.263	0.263	0.263	0.193


