[20190301_103844 / views.py:10526]
fname_Src_CSV	44_5.1_10_rawdata.(EURUSD).(Period-M15).(NumOfUnits-6000).(Bars-6000).20190226_125818.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].20190301_103843.csv
pair	EURUSD
timeframe	M15

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD
[20190301_103844 / views.py:10644]
1	2019.02.26 00:00	2019.02.26 05:45	24	5	7	7	4	0.208	0.292	0.292	0.167
2	2019.02.25 00:00	2019.02.25 23:45	96	37	19	18	21	0.385	0.198	0.188	0.219
3	2019.02.22 00:00	2019.02.22 23:45	96	26	22	21	24	0.271	0.229	0.219	0.250
4	2019.02.21 00:00	2019.02.21 23:45	96	20	23	24	24	0.208	0.240	0.250	0.250
5	2019.02.20 00:00	2019.02.20 23:45	96	14	28	27	22	0.146	0.292	0.281	0.229
6	2019.02.19 00:00	2019.02.19 23:45	96	22	28	25	16	0.229	0.292	0.260	0.167
7	2019.02.18 00:00	2019.02.18 23:45	96	25	22	22	20	0.260	0.229	0.229	0.208
8	2019.02.15 00:00	2019.02.15 23:45	96	20	23	24	20	0.208	0.240	0.250	0.208
9	2019.02.14 00:00	2019.02.14 23:45	96	40	19	19	15	0.417	0.198	0.198	0.156
10	2019.02.13 00:00	2019.02.13 23:45	96	11	24	23	37	0.115	0.250	0.240	0.385
11	2019.02.12 00:00	2019.02.12 23:45	96	25	22	20	24	0.260	0.229	0.208	0.250
12	2019.02.11 00:00	2019.02.11 23:45	96	24	23	23	21	0.250	0.240	0.240	0.219
13	2019.02.08 00:00	2019.02.08 23:45	96	19	29	28	19	0.198	0.302	0.292	0.198
14	2019.02.07 00:00	2019.02.07 23:45	96	20	19	19	28	0.208	0.198	0.198	0.292
15	2019.02.06 00:00	2019.02.06 23:45	96	22	19	18	32	0.229	0.198	0.188	0.333
16	2019.02.05 00:00	2019.02.05 23:45	96	17	23	22	25	0.177	0.240	0.229	0.260
17	2019.02.04 00:00	2019.02.04 23:45	96	18	25	24	28	0.188	0.260	0.250	0.292
18	2019.02.01 00:00	2019.02.01 23:45	96	25	23	21	22	0.260	0.240	0.219	0.229
19	2019.01.31 00:00	2019.01.31 23:45	96	24	20	21	26	0.250	0.208	0.219	0.271
20	2019.01.30 00:00	2019.01.30 23:45	96	21	24	24	24	0.219	0.250	0.250	0.250
21	2019.01.29 00:00	2019.01.29 23:45	96	17	28	29	21	0.177	0.292	0.302	0.219
22	2019.01.28 00:00	2019.01.28 23:45	96	24	20	20	25	0.250	0.208	0.208	0.260
23	2019.01.25 00:00	2019.01.25 23:45	96	25	28	28	12	0.260	0.292	0.292	0.125
24	2019.01.24 00:00	2019.01.24 23:45	96	20	24	22	27	0.208	0.250	0.229	0.281
25	2019.01.23 00:00	2019.01.23 23:45	96	17	28	27	19	0.177	0.292	0.281	0.198
26	2019.01.22 00:00	2019.01.22 23:45	96	20	25	24	22	0.208	0.260	0.250	0.229
27	2019.01.21 00:00	2019.01.21 23:45	96	21	26	22	18	0.219	0.271	0.229	0.188
28	2019.01.18 00:00	2019.01.18 23:45	96	21	24	24	20	0.219	0.250	0.250	0.208
29	2019.01.17 00:00	2019.01.17 23:45	96	28	23	24	18	0.292	0.240	0.250	0.188
30	2019.01.16 00:00	2019.01.16 23:45	96	18	25	26	24	0.188	0.260	0.271	0.250
31	2019.01.15 00:00	2019.01.15 23:45	96	28	23	23	15	0.292	0.240	0.240	0.156
32	2019.01.14 00:00	2019.01.14 23:45	96	22	23	23	27	0.229	0.240	0.240	0.281
33	2019.01.11 00:00	2019.01.11 23:45	96	18	22	23	30	0.188	0.229	0.240	0.312
34	2019.01.10 00:00	2019.01.10 23:45	96	20	26	24	21	0.208	0.271	0.250	0.219
35	2019.01.09 00:00	2019.01.09 23:45	96	26	24	22	21	0.271	0.250	0.229	0.219
36	2019.01.08 00:00	2019.01.08 23:45	96	26	20	21	28	0.271	0.208	0.219	0.292
37	2019.01.07 00:00	2019.01.07 23:45	96	24	24	24	19	0.250	0.250	0.250	0.198
38	2019.01.04 00:00	2019.01.04 23:45	96	18	23	23	27	0.188	0.240	0.240	0.281
39	2019.01.03 00:00	2019.01.03 23:45	96	26	24	25	18	0.271	0.250	0.260	0.188
40	2018.12.28 00:00	2018.12.28 23:45	96	19	29	29	14	0.198	0.302	0.302	0.146
41	2018.12.27 00:00	2018.12.27 23:45	96	33	24	23	15	0.344	0.250	0.240	0.156
42	2018.12.26 00:15	2018.12.26 23:45	95	19	22	23	28	0.200	0.232	0.242	0.295
43	2018.12.25 02:15	2018.12.25 07:45	23	5	6	6	4	0.217	0.261	0.261	0.174
44	2018.12.24 00:00	2018.12.24 23:45	96	18	25	25	23	0.188	0.260	0.260	0.240
45	2018.12.21 00:00	2018.12.21 23:45	96	18	25	25	25	0.188	0.260	0.260	0.260
46	2018.12.20 00:00	2018.12.20 23:45	96	31	20	19	21	0.323	0.208	0.198	0.219
47	2018.12.19 00:00	2018.12.19 23:45	96	29	27	26	10	0.302	0.281	0.271	0.104
48	2018.12.18 00:00	2018.12.18 23:45	96	22	22	22	23	0.229	0.229	0.229	0.240
49	2018.12.17 00:00	2018.12.17 23:45	96	23	26	25	17	0.240	0.271	0.260	0.177
50	2018.12.14 00:00	2018.12.14 23:45	96	21	24	22	24	0.219	0.250	0.229	0.250
51	2018.12.13 00:00	2018.12.13 23:45	96	24	26	24	15	0.250	0.271	0.250	0.156
52	2018.12.12 00:00	2018.12.12 23:45	96	27	25	23	18	0.281	0.260	0.240	0.188
53	2018.12.11 00:00	2018.12.11 23:45	96	21	27	27	20	0.219	0.281	0.281	0.208
54	2018.12.10 02:00	2018.12.10 23:45	88	18	23	22	24	0.205	0.261	0.250	0.273
55	2018.12.07 00:00	2018.12.07 23:45	96	19	23	23	26	0.198	0.240	0.240	0.271
56	2018.12.06 00:00	2018.12.06 23:45	96	25	26	23	15	0.260	0.271	0.240	0.156
57	2018.12.05 00:00	2018.12.05 23:45	96	25	26	26	18	0.260	0.271	0.271	0.188
58	2018.12.04 00:00	2018.12.04 23:45	96	25	22	22	24	0.260	0.229	0.229	0.250
59	2018.12.03 00:00	2018.12.03 23:45	96	20	23	21	29	0.208	0.240	0.219	0.302
60	2018.11.30 00:00	2018.11.30 23:45	96	19	23	22	29	0.198	0.240	0.229	0.302
