[20190324_113404 / views.py:12736]
fname_Src_CSV	44_5.1_10_rawdata.(USDJPY).(Period-M15).(NumOfUnits-10000).(Bars-ALL-20190324_113108).20190324_112524.csv
slice by	through
this file	(20190324_113358).(USDJPY-M15).[sec-1.A-6.3-seq].(20190324_113404).csv
pair	USDJPY
timeframe	M15
start	2018.06.07 17:45
end	2019.03.22 23:45
bars	10000

[20190324_113404 / views.py:12804]
[lo_UUU]==============================
s.n.	e0.date	e1.date	e2.date	e0.diff	e1.diff	e2.diff
1	2018.06.07 22:45	2018.06.07 23:00	2018.06.07 23:15	0.030	0.032	0.004
2	2018.06.08 03:15	2018.06.08 03:30	2018.06.08 03:45	0.019	0.023	0.036
3	2018.06.08 03:30	2018.06.08 03:45	2018.06.08 04:00	0.023	0.036	0.030
4	2018.06.08 14:15	2018.06.08 14:30	2018.06.08 14:45	0.071	0.002	0.082
5	2018.06.08 14:30	2018.06.08 14:45	2018.06.08 15:00	0.002	0.082	0.032
6	2018.06.08 14:45	2018.06.08 15:00	2018.06.08 15:15	0.082	0.032	0.030
7	2018.06.08 18:00	2018.06.08 18:15	2018.06.08 18:30	0.087	0.034	0.017
8	2018.06.08 23:45	2018.06.11 00:00	2018.06.11 00:15	0.074	0.026	0.010
9	2018.06.11 02:30	2018.06.11 02:45	2018.06.11 03:00	0.039	0.028	0.011
10	2018.06.11 05:15	2018.06.11 05:30	2018.06.11 05:45	0.030	0.033	0.207
11	2018.06.11 06:45	2018.06.11 07:00	2018.06.11 07:15	0.017	0.020	0.007
12	2018.06.11 07:00	2018.06.11 07:15	2018.06.11 07:30	0.020	0.007	0.030
13	2018.06.11 07:15	2018.06.11 07:30	2018.06.11 07:45	0.007	0.030	0.004
14	2018.06.11 08:30	2018.06.11 08:45	2018.06.11 09:00	0.001	0.002	0.176
15	2018.06.11 08:45	2018.06.11 09:00	2018.06.11 09:15	0.002	0.176	0.046
16	2018.06.11 11:45	2018.06.11 12:00	2018.06.11 12:15	0.007	0.004	0.011
17	2018.06.11 12:00	2018.06.11 12:15	2018.06.11 12:30	0.004	0.011	0.018
18	2018.06.11 12:15	2018.06.11 12:30	2018.06.11 12:45	0.011	0.018	0.038
19	2018.06.11 18:00	2018.06.11 18:15	2018.06.11 18:30	0.001	0.003	0.040
20	2018.06.11 19:00	2018.06.11 19:15	2018.06.11 19:30	0.044	0.059	0.003
