[20190324_113400 / views.py:12006]==============================
fname_Src_CSV	44_5.1_10_rawdata.(USDJPY).(Period-M15).(NumOfUnits-10000).(Bars-ALL-20190324_113108).20190324_112524.csv
slice by	through
this file	(20190324_113358).(USDJPY-M15).[sec-1.A-5.BB-diff-histogram.UU-UD-DU-DD].csv 
pair	USDJPY
timeframe	M15
start	2018.06.07 17:45
end	2019.03.22 23:45
total bars	10000

[20190324_113400 / views.py:12024]
[20190324_113400 / views.py:11753]==============================
average	0.095
max	0.510
min	-0.097
variance	0.0049484
std	0.07034
median	0.077

[20190324_113400 / views.py:11775]
[BB-diff-histogram : lo_UU_Z1]==============================
s.n.	e0.dateTime	diff-total	std score
1	2018.06.08 03:30	0.060	45.00
2	2018.06.08 03:45	0.066	45.85
3	2018.06.08 15:45	0.154	58.36
4	2018.06.08 23:45	-0.097	22.68
5	2018.06.11 19:15	0.062	45.28
6	2018.06.12 01:15	0.077	47.41
7	2018.06.12 01:30	0.031	40.87
8	2018.06.12 01:45	0.155	58.50
9	2018.06.12 02:00	0.222	68.03
10	2018.06.12 02:45	0.069	46.28
11	2018.06.13 01:15	0.105	51.39
12	2018.06.13 21:00	0.349	86.08
13	2018.06.14 15:30	0.052	43.86
14	2018.06.14 15:45	0.169	60.49
15	2018.06.14 16:30	0.036	41.59
16	2018.06.14 20:30	0.084	48.41
17	2018.06.15 23:45	0.069	46.28
18	2018.06.18 22:15	0.045	42.86
19	2018.06.19 11:45	0.145	57.08
20	2018.06.19 18:15	0.202	65.18
21	2018.06.20 21:00	0.100	50.68
22	2018.06.20 21:15	0.027	40.31
23	2018.06.20 21:30	0.078	47.56
24	2018.06.21 04:15	0.095	49.97
25	2018.06.21 04:30	0.153	58.22
26	2018.06.22 04:15	0.060	45.00
27	2018.11.12 02:15	0.062	45.28
28	2018.11.12 03:00	0.061	45.14
29	2018.11.12 07:45	0.034	41.30
30	2018.11.12 08:00	0.022	39.59
31	2018.11.12 08:15	0.121	53.67
32	2018.11.13 05:15	0.216	67.17
33	2018.11.13 05:30	0.131	55.09
34	2018.11.14 02:45	0.059	44.85
35	2018.11.14 03:00	0.026	40.16
36	2018.11.15 20:15	0.231	69.31
37	2018.11.21 02:30	0.048	43.29
38	2018.11.21 03:15	0.134	55.52
39	2018.11.21 11:45	0.088	48.98
40	2018.11.21 12:00	0.093	49.69
41	2018.11.21 12:15	0.112	52.39
42	2018.11.21 12:30	0.078	47.56
43	2018.11.26 02:45	0.068	46.13
44	2018.11.26 03:00	0.102	50.97
45	2018.11.26 03:15	0.188	63.19
46	2018.11.26 03:30	0.140	56.37
47	2018.11.26 03:45	0.047	43.15
48	2018.11.26 04:00	0.024	39.88
49	2018.11.26 15:45	0.100	50.68
50	2018.11.26 16:00	0.100	50.68
51	2018.11.26 16:15	0.074	46.99
52	2018.11.26 16:30	0.056	44.43
53	2018.11.26 17:45	0.108	51.82
54	2018.11.27 09:30	0.065	45.71
55	2018.11.27 11:00	0.030	40.73
56	2018.11.27 16:45	0.194	64.05
57	2018.11.28 07:15	0.059	44.85
58	2018.11.28 16:00	0.061	45.14
59	2018.11.28 16:15	0.028	40.45
60	2018.11.28 17:45	0.074	46.99
61	2018.11.29 12:45	0.057	44.57
62	2018.11.29 13:00	0.042	42.44
63	2018.11.30 11:45	0.065	45.71
64	2018.11.30 19:45	0.103	51.11
65	2018.12.03 19:30	0.054	44.14
66	2018.12.03 19:45	0.040	42.15
67	2018.12.04 17:15	0.106	51.54
68	2018.12.04 17:30	0.056	44.43
69	2018.12.05 03:15	0.113	52.53
70	2018.12.05 03:30	0.056	44.43
71	2018.12.05 16:30	0.092	49.55
72	2018.12.05 16:45	0.038	41.87
73	2018.12.05 17:00	0.044	42.72
74	2018.12.05 22:15	0.028	40.45
75	2018.12.06 09:00	0.253	72.43
76	2018.12.07 05:45	0.065	45.71
77	2018.12.07 06:00	0.056	44.43
78	2018.12.07 07:15	0.050	43.58
79	2018.12.10 09:15	0.100	50.68
80	2018.12.10 09:30	0.058	44.71
81	2018.12.10 09:45	0.041	42.30
82	2018.12.10 15:15	0.146	57.22
83	2018.12.10 16:15	0.150	57.79
84	2018.12.10 19:45	0.125	54.24
85	2018.12.10 20:30	0.052	43.86
86	2018.12.11 15:30	0.082	48.12
87	2018.12.12 02:30	0.088	48.98
88	2018.12.13 02:45	0.051	43.72
89	2018.12.13 03:00	0.045	42.86
90	2018.12.13 03:45	0.056	44.43
91	2018.12.13 04:00	0.061	45.14
92	2018.12.13 15:30	0.071	46.56
93	2018.12.13 15:45	0.015	38.60
94	2018.12.13 16:00	0.024	39.88
95	2018.12.13 16:15	0.013	38.32
96	2018.12.13 17:00	0.060	45.00
97	2018.12.14 02:00	0.062	45.28
98	2018.12.14 08:15	0.077	47.41
99	2018.12.18 16:00	0.116	52.96
100	2018.12.18 16:15	0.058	44.71
101	2018.12.18 16:30	0.026	40.16
102	2018.12.21 06:00	0.141	56.51
103	2018.12.26 01:30	0.241	70.73
104	2018.12.26 01:45	0.065	45.71
105	2018.12.26 02:30	0.180	62.06
106	2018.12.26 02:45	0.087	48.84
107	2018.12.26 03:00	0.030	40.73
108	2018.12.26 19:15	0.191	63.62
109	2018.12.26 19:30	0.140	56.37
110	2018.12.26 19:45	0.113	52.53
111	2018.12.26 21:45	0.303	79.54
112	2018.12.27 22:15	0.227	68.74
113	2019.01.03 09:15	0.405	94.04
114	2019.01.03 09:30	0.106	51.54
115	2019.01.03 09:45	0.179	61.91
116	2019.01.03 10:00	0.244	71.15
117	2019.01.03 18:30	0.510	108.97
118	2019.01.04 04:15	0.219	67.60
119	2019.01.04 04:30	0.093	49.69
120	2019.01.04 04:45	0.217	67.32
121	2019.01.04 05:00	0.213	66.75
122	2019.01.04 05:15	0.065	45.71
123	2019.01.04 15:15	0.361	87.79
124	2019.01.04 16:00	0.165	59.92
125	2019.01.04 16:15	0.175	61.34
126	2019.01.07 12:30	0.150	57.79
127	2019.01.07 12:45	0.067	45.99
128	2019.01.07 17:15	0.105	51.39
129	2019.01.07 18:15	0.089	49.12
130	2019.01.07 18:30	0.126	54.38
131	2019.01.08 05:45	0.218	67.46
132	2019.01.08 22:30	0.040	42.15
133	2019.01.08 22:45	0.009	37.75
134	2019.01.09 04:00	0.115	52.82
135	2019.01.09 04:15	0.066	45.85
136	2019.01.10 10:45	0.178	61.77
137	2019.01.10 11:00	0.067	45.99
138	2019.01.10 12:00	0.106	51.54
139	2019.01.10 18:00	0.097	50.26
140	2019.01.10 18:15	0.044	42.72
141	2019.01.14 10:30	0.048	43.29
142	2019.01.15 02:00	0.095	49.97
143	2019.01.15 02:15	0.084	48.41
144	2019.01.15 18:30	0.096	50.11
145	2019.01.16 09:00	0.063	45.42
146	2019.01.16 09:15	0.058	44.71
147	2019.01.16 09:30	0.048	43.29
148	2019.01.16 09:45	0.011	38.03
149	2019.01.16 12:30	0.095	49.97
150	2019.01.16 13:30	0.072	46.70
151	2019.01.16 19:30	0.137	55.94
152	2019.01.16 23:15	0.149	57.65
153	2019.01.17 17:15	0.048	43.29
154	2019.01.17 21:30	0.264	74.00
155	2019.01.18 10:30	0.045	42.86
156	2019.01.18 10:45	0.050	43.58
157	2019.01.18 11:00	0.086	48.69
158	2019.01.18 11:15	0.041	42.30
159	2019.01.18 17:15	0.283	76.70
160	2019.01.23 03:30	0.107	51.68
161	2019.01.23 15:15	0.079	47.70
162	2019.01.23 15:30	0.112	52.39
163	2019.01.23 15:45	0.168	60.35
164	2019.01.24 07:45	0.069	46.28
165	2019.01.24 08:00	0.068	46.13
166	2019.01.24 08:15	0.065	45.71
167	2019.01.25 04:00	0.035	41.44
168	2019.01.25 10:30	0.089	49.12
169	2019.01.29 11:00	0.083	48.27
170	2019.01.29 11:15	0.038	41.87
171	2019.01.29 11:30	0.038	41.87
172	2019.01.30 15:45	0.191	63.62
173	2019.01.31 17:30	0.109	51.96
174	2019.01.31 17:45	0.080	47.84
175	2019.01.31 18:00	0.016	38.74
176	2019.01.31 22:45	0.063	45.42
177	2019.02.01 09:15	0.068	46.13
178	2019.02.01 15:30	0.077	47.41
179	2019.02.01 15:45	0.080	47.84
180	2019.02.01 16:00	0.071	46.56
181	2019.02.01 16:15	0.043	42.58
182	2019.02.01 16:30	0.057	44.57
183	2019.02.01 16:45	0.269	74.71
184	2019.02.01 17:00	0.205	65.61
185	2019.02.04 06:15	0.089	49.12
186	2019.02.04 06:30	0.081	47.98
187	2019.02.04 06:45	0.041	42.30
188	2019.02.04 15:15	0.056	44.43
189	2019.02.04 15:30	0.074	46.99
190	2019.02.04 15:45	0.109	51.96
191	2019.02.04 16:00	0.071	46.56
192	2019.02.05 11:45	0.045	42.86
193	2019.02.06 20:00	0.194	64.05
194	2019.02.06 20:15	0.094	49.83
195	2019.02.11 04:45	0.088	48.98
196	2019.02.11 05:30	0.057	44.57
197	2019.02.11 10:15	0.033	41.16
198	2019.02.11 10:30	0.073	46.84
199	2019.02.11 10:45	0.186	62.91
200	2019.02.11 11:00	0.140	56.37
201	2019.02.11 11:15	0.034	41.30
202	2019.02.11 11:30	0.029	40.59
203	2019.02.11 15:30	0.087	48.84
204	2019.02.11 15:45	0.041	42.30
205	2019.02.11 16:00	0.082	48.12
206	2019.02.12 02:00	0.064	45.57
207	2019.02.12 02:15	0.060	45.00
208	2019.02.12 02:30	0.049	43.43
209	2019.02.12 05:30	0.164	59.78
210	2019.02.13 15:30	0.152	58.08
211	2019.02.15 08:45	0.118	53.24
212	2019.02.15 15:15	0.098	50.40
213	2019.02.18 15:45	0.024	39.88
214	2019.02.20 02:30	0.098	50.40
215	2019.02.20 02:45	0.092	49.55
216	2019.02.20 03:00	0.096	50.11
217	2019.02.20 03:15	0.118	53.24
218	2019.02.21 19:30	0.024	39.88
219	2019.02.22 11:15	0.047	43.15
220	2019.02.22 11:30	0.010	37.89
221	2019.02.22 11:45	0.059	44.85
222	2019.02.25 00:30	0.092	49.55
223	2019.02.25 01:15	0.039	42.01
224	2019.02.25 12:30	0.029	40.59
225	2019.02.25 18:00	0.055	44.29
226	2019.02.25 18:15	0.145	57.08
227	2019.02.25 18:30	0.158	58.93
228	2019.02.25 18:45	0.081	47.98
229	2019.02.25 19:00	0.101	50.83
230	2019.02.25 19:15	0.096	50.11
231	2019.02.27 14:00	0.057	44.57
232	2019.02.27 14:15	0.041	42.30
233	2019.02.27 14:30	0.029	40.59
234	2019.02.27 14:45	0.035	41.44
235	2019.02.27 15:00	0.079	47.70
236	2019.02.27 15:15	0.106	51.54
