Pair=EURJPY;Period=H1;Days=5000;Shift=1;Bars=120000;Time=20180903_135340;;;;;;;;;;
no;Open;High;Low;Close;RSI;MFI;BB.2s;BB.1s;BB.main;BB.-1s;BB.-2s;Diff;High/Low;datetime;
740;130.897;131.08;130.891;131.046;48.8434192462;57.5546832024;131.1301893954;131.0441446977;130.9581;130.8720553023;130.7860106046;0.149;0.189;2018.07.20 12:00;2018.07.20 19:00;12
741;130.894;131.068;130.853;130.896;42.9177906752;57.750459201;131.1219629547;131.0382064774;130.95445;130.8706935226;130.7869370453;0.002;0.215;2018.07.20 11:00;2018.07.20 18:00;13
742;130.943;130.981;130.772;130.894;42.8339154487;52.2437291206;131.1283509469;131.0445254735;130.9607;130.8768745265;130.7930490531;-0.049;0.209;2018.07.20 10:00;2018.07.20 17:00;14
743;131.014;131.125;130.867;130.944;44.3827711583;52.9513299924;131.135061518;131.051330759;130.9676;130.883869241;130.800138482;-0.07;0.258;2018.07.20 09:00;2018.07.20 16:00;15
744;130.889;131.077;130.865;131.016;46.6924743375;53.1923089965;131.143997076;131.058498538;130.973;130.887501462;130.802002924;0.127;0.212;2018.07.20 08:00;2018.07.20 15:00;16
745;130.881;130.948;130.853;130.89;41.6436338283;47.1955500675;131.1724744242;131.0766872121;130.9809;130.8851127879;130.7893255758;0.009;0.095;2018.07.20 07:00;2018.07.20 14:00;17
746;130.93;130.94;130.811;130.884;41.3925258902;48.4788720537;131.1943341062;131.0941420531;130.99395;130.8937579469;130.7935658938;-0.046;0.129;2018.07.20 06:00;2018.07.20 13:00;18
747;130.759;130.997;130.694;130.929;42.701715011;42.3964909195;131.209908366;131.108304183;131.0067;130.905095817;130.803491634;0.17;0.303;2018.07.20 05:00;2018.07.20 12:00;19
748;131.142;131.208;130.592;130.758;35.3161539065;35.8351563963;131.2264554358;131.1220527179;131.01765;130.9132472821;130.8088445642;-0.384;0.616;2018.07.20 04:00;2018.07.20 11:00;20
749;130.955;131.203;130.949;131.142;48.7105707361;41.244704005;131.2509388529;131.1477194265;131.0445;130.9412805735;130.8380611471;0.187;0.254;2018.07.20 03:00;2018.07.20 10:00;21
750;130.947;131.007;130.921;130.954;37.7252533599;36.3738850868;131.2853440199;131.16902201;131.0527;130.93637799;130.8200559801;0.007;0.086;2018.07.20 02:00;2018.07.20 09:00;22
751;130.924;131.003;130.912;130.945;37.1126828643;37.2671869398;131.3307040958;131.2013020479;131.0719;130.9424979521;130.8130959042;0.021;0.091;2018.07.20 01:00;2018.07.20 08:00;23
752;130.914;130.941;130.892;130.92;35.4367738622;34.5074750389;131.3615353698;131.2258176849;131.0901;130.9543823151;130.8186646302;0.006;0.049;2018.07.20 00:00;2018.07.20 07:00;24
753;130.909;130.964;130.874;130.958;36.8550186455;33.6295431065;131.3865375969;131.2482187984;131.1099;130.9715812016;130.8332624031;0.049;0.09;2018.07.19 23:00;2018.07.20 06:00;25
754;130.97;130.98;130.896;130.909;33.5996239992;31.254099404;131.41192147;131.270235735;131.12855;130.986864265;130.84517853;-0.061;0.084;2018.07.19 22:00;2018.07.20 05:00;26
755;130.919;130.993;130.899;130.97;35.7812359483;31.6489131599;131.4317871994;131.2913185997;131.15085;131.0103814003;130.8699128006;0.051;0.094;2018.07.19 21:00;2018.07.20 04:00;27
756;130.993;131.067;130.722;130.923;32.5768582524;28.6186316819;131.4614088641;131.3170044321;131.1726;131.0281955679;130.8837911359;-0.07;0.345;2018.07.19 20:00;2018.07.20 03:00;28
757;131.095;131.115;130.924;130.995;35.1277392678;29.3047097961;131.4734113422;131.3343806711;131.19535;131.0563193289;130.9172886578;-0.1;0.191;2018.07.19 19:00;2018.07.20 02:00;29
758;131.094;131.132;130.988;131.095;39.1752071783;29.8821993933;131.4821901381;131.3475200691;131.21285;131.0781799309;130.9435098619;0.001;0.144;2018.07.19 18:00;2018.07.20 01:00;30
759;130.97;131.168;130.959;131.094;39.1085551918;30.7000234938;131.5067416065;131.3678708033;131.229;131.0901291967;130.9512583935;0.124;0.209;2018.07.19 17:00;2018.07.20 00:00;31
760;131.023;131.167;130.96;130.973;30.3331400389;24.7650123024;131.529431169;131.3876155845;131.2458;131.1039844155;130.9621688311;-0.05;0.207;2018.07.19 16:00;2018.07.19 23:00;32
761;131.03;131.047;130.915;131.021;32.0751878637;18.5693237217;131.5308928353;131.3993464177;131.2678;131.1362535823;131.0047071647;-0.009;0.132;2018.07.19 15:00;2018.07.19 22:00;33
762;131.052;131.095;130.926;131.032;32.4813049157;23.6793872098;131.5366780458;131.4127890229;131.2889;131.1650109771;131.0411219542;-0.02;0.169;2018.07.19 14:00;2018.07.19 21:00;34
763;131.175;131.211;131.051;131.052;33.2075441214;29.386596961;131.526278495;131.4161642475;131.30605;131.1959357525;131.085821505;-0.123;0.16;2018.07.19 13:00;2018.07.19 20:00;35
764;131.154;131.218;131.072;131.174;38.1506721136;36.3962743499;131.5055542513;131.4120521256;131.31855;131.2250478744;131.1315457487;0.02;0.146;2018.07.19 12:00;2018.07.19 19:00;36
765;131.134;131.233;131.094;131.151;36.4566189825;44.3710412596;131.4998869836;131.4120684918;131.32425;131.2364315082;131.1486130164;0.017;0.139;2018.07.19 11:00;2018.07.19 18:00;37
766;131.146;131.213;131.059;131.139;35.5820869761;36.1383216434;131.5039985846;131.4134742923;131.32295;131.2324257077;131.1419014154;-0.007;0.154;2018.07.19 10:00;2018.07.19 17:00;38
767;131.296;131.337;131.106;131.148;35.9344589575;37.3894213545;131.5073927492;131.4146463746;131.3219;131.2291536254;131.1364072508;-0.148;0.231;2018.07.19 09:00;2018.07.19 16:00;39
768;131.305;131.381;131.291;131.295;42.4587901192;38.3656202144;131.4981412237;131.4143956118;131.33065;131.2469043882;131.1631587764;-0.01;0.09;2018.07.19 08:00;2018.07.19 15:00;40
769;131.337;131.36;131.254;131.306;43.0139695477;33.0226846317;131.4985155447;131.4150827723;131.33165;131.2482172277;131.1647844553;-0.031;0.106;2018.07.19 07:00;2018.07.19 14:00;41
770;131.311;131.362;131.257;131.338;44.6266215465;31.7095583696;131.501135368;131.417717684;131.3343;131.250882316;131.167464632;0.027;0.105;2018.07.19 06:00;2018.07.19 13:00;42
771;131.315;131.329;131.182;131.309;42.7796804735;26.6768317868;131.5079751599;131.4229375799;131.3379;131.2528624201;131.1678248401;-0.006;0.147;2018.07.19 05:00;2018.07.19 12:00;43
772;131.331;131.416;131.23;131.316;43.1094022769;32.8634810275;131.5358556059;131.4422028029;131.34855;131.2548971971;131.1612443941;-0.015;0.186;2018.07.19 04:00;2018.07.19 11:00;44
773;131.357;131.407;131.282;131.331;43.7965769149;33.2459185411;131.5516595856;131.4541797928;131.3567;131.2592202072;131.1617404144;-0.026;0.125;2018.07.19 03:00;2018.07.19 10:00;45
774;131.405;131.421;131.338;131.355;44.8840813833;33.7454157967;131.5794766036;131.4735633018;131.36765;131.2617366982;131.1558233964;-0.05;0.083;2018.07.19 02:00;2018.07.19 09:00;46
775;131.38;131.426;131.366;131.405;47.2038837224;33.3171679352;131.61497319;131.497486595;131.38;131.262513405;131.14502681;0.025;0.06;2018.07.19 01:00;2018.07.19 08:00;47
776;131.401;131.405;131.248;131.378;45.7659187968;31.2191142681;131.6463542147;131.5183771073;131.3904;131.2624228927;131.1344457853;-0.023;0.157;2018.07.19 00:00;2018.07.19 07:00;48
777;131.416;131.429;131.337;131.345;43.9947968096;31.4760256445;131.6827799993;131.5432899996;131.4038;131.2643100004;131.1248200007;-0.071;0.092;2018.07.18 23:00;2018.07.19 06:00;49
778;131.438;131.46;131.343;131.418;47.2366055948;35.8723279279;131.7295525041;131.575801252;131.42205;131.268298748;131.1145474959;-0.02;0.117;2018.07.18 22:00;2018.07.19 05:00;50
