[20190325_083514 / views.py:12748]
fname_Src_CSV	44_5.1_10_rawdata.(USDJPY).(Period-D1).(NumOfUnits-2000).(Bars-ALL-20190325_082029).20190318_092307.csv
slice by	through
this file	(20190325_083511).(USDJPY-D1).[sec-1.A-6.3-seq].(20190325_083514).csv
pair	USDJPY
timeframe	D1
start	2012.06.01 00:00
end	2019.03.25 00:00
bars	2036

[20190325_083514 / views.py:12816]
[lo_UUU]==============================
s.n.	e0.date	e1.date	e2.date	e0.diff	e1.diff	e2.diff
63	2013.12.12 00:00	2013.12.13 00:00	2013.12.14 00:00	0.393	0.188	0.076
64	2013.12.18 00:00	2013.12.19 00:00	2013.12.20 00:00	0.106	1.178	0.186
65	2013.12.23 00:00	2013.12.24 00:00	2013.12.25 00:00	0.046	0.307	0.081
66	2013.12.24 00:00	2013.12.25 00:00	2013.12.26 00:00	0.307	0.081	0.406
67	2013.12.25 00:00	2013.12.26 00:00	2013.12.27 00:00	0.081	0.406	0.201
68	2013.12.26 00:00	2013.12.27 00:00	2013.12.28 00:00	0.406	0.201	0.205
69	2014.03.04 00:00	2014.03.05 00:00	2014.03.06 00:00	0.514	0.425	0.648
70	2014.03.05 00:00	2014.03.06 00:00	2014.03.07 00:00	0.425	0.648	0.373
71	2014.03.24 00:00	2014.03.25 00:00	2014.03.26 00:00	0.103	0.013	0.096
72	2014.03.28 00:00	2014.03.29 00:00	2014.03.31 00:00	0.570	0.097	0.053
73	2014.03.29 00:00	2014.03.31 00:00	2014.04.01 00:00	0.097	0.053	0.593
74	2014.03.31 00:00	2014.04.01 00:00	2014.04.02 00:00	0.053	0.593	0.160
75	2014.04.01 00:00	2014.04.02 00:00	2014.04.03 00:00	0.593	0.160	0.168
76	2014.04.11 00:00	2014.04.12 00:00	2014.04.14 00:00	0.110	0.015	0.247
77	2014.04.18 00:00	2014.04.19 00:00	2014.04.21 00:00	0.164	0.001	0.148
78	2014.04.19 00:00	2014.04.21 00:00	2014.04.22 00:00	0.001	0.148	0.035
79	2014.05.09 00:00	2014.05.10 00:00	2014.05.12 00:00	0.108	0.085	0.242
80	2014.05.10 00:00	2014.05.12 00:00	2014.05.13 00:00	0.085	0.242	0.112
81	2014.05.20 00:00	2014.05.21 00:00	2014.05.22 00:00	0.177	0.147	0.176
82	2014.05.21 00:00	2014.05.22 00:00	2014.05.23 00:00	0.147	0.176	0.158
83	2014.05.22 00:00	2014.05.23 00:00	2014.05.24 00:00	0.176	0.158	0.135
84	2014.05.30 00:00	2014.05.31 00:00	2014.06.02 00:00	0.185	0.005	0.322
85	2014.05.31 00:00	2014.06.02 00:00	2014.06.03 00:00	0.005	0.322	0.259
86	2014.06.02 00:00	2014.06.03 00:00	2014.06.04 00:00	0.322	0.259	0.210
87	2014.07.01 00:00	2014.07.02 00:00	2014.07.03 00:00	0.223	0.233	0.428
88	2014.07.21 00:00	2014.07.22 00:00	2014.07.23 00:00	0.027	0.174	0.022
89	2014.07.22 00:00	2014.07.23 00:00	2014.07.24 00:00	0.174	0.022	0.266
90	2014.07.23 00:00	2014.07.24 00:00	2014.07.25 00:00	0.022	0.266	0.030
91	2014.07.29 00:00	2014.07.30 00:00	2014.07.31 00:00	0.354	0.674	0.017
92	2014.08.12 00:00	2014.08.13 00:00	2014.08.14 00:00	0.079	0.273	0.007
93	2014.08.16 00:00	2014.08.18 00:00	2014.08.19 00:00	0.002	0.247	0.270
94	2014.08.18 00:00	2014.08.19 00:00	2014.08.20 00:00	0.247	0.270	0.491
95	2014.08.19 00:00	2014.08.20 00:00	2014.08.21 00:00	0.270	0.491	0.480
96	2014.08.20 00:00	2014.08.21 00:00	2014.08.22 00:00	0.491	0.480	0.292
97	2014.08.29 00:00	2014.08.30 00:00	2014.09.01 00:00	0.140	0.174	0.081
98	2014.08.30 00:00	2014.09.01 00:00	2014.09.02 00:00	0.174	0.081	0.900
99	2014.09.06 00:00	2014.09.08 00:00	2014.09.09 00:00	0.200	0.379	0.832
100	2014.09.08 00:00	2014.09.09 00:00	2014.09.10 00:00	0.379	0.832	0.456
101	2014.09.09 00:00	2014.09.10 00:00	2014.09.11 00:00	0.832	0.456	0.137
102	2014.09.10 00:00	2014.09.11 00:00	2014.09.12 00:00	0.456	0.137	0.546
103	2014.09.17 00:00	2014.09.18 00:00	2014.09.19 00:00	0.300	1.164	0.336
104	2014.09.18 00:00	2014.09.19 00:00	2014.09.20 00:00	1.164	0.336	0.083
105	2014.09.26 00:00	2014.09.27 00:00	2014.09.29 00:00	0.488	0.142	0.045
106	2014.09.27 00:00	2014.09.29 00:00	2014.09.30 00:00	0.142	0.045	0.345
107	2014.10.22 00:00	2014.10.23 00:00	2014.10.24 00:00	0.520	0.920	0.030
108	2014.10.28 00:00	2014.10.29 00:00	2014.10.30 00:00	0.166	0.117	0.874
109	2014.10.29 00:00	2014.10.30 00:00	2014.10.31 00:00	0.117	0.874	3.330
110	2014.10.30 00:00	2014.10.31 00:00	2014.11.01 00:00	0.874	3.330	0.028
111	2014.10.31 00:00	2014.11.01 00:00	2014.11.03 00:00	3.330	0.028	1.106
112	2014.11.17 00:00	2014.11.18 00:00	2014.11.19 00:00	0.009	0.115	1.070
113	2014.11.18 00:00	2014.11.19 00:00	2014.11.20 00:00	0.115	1.070	0.368
114	2014.11.27 00:00	2014.11.28 00:00	2014.11.29 00:00	0.020	0.816	0.119
