[20190318_090305 / views.py:11855]==============================
fname_Src_CSV	44_5.1_10_rawdata.(USDJPY).(Period-H1).(NumOfUnits-3000).(Bars-ALL-20190318_090156).20190318_085834.csv
slice by	through
this file	(20190318_090303).(USDJPY-H1).[sec-1.A-5.BB-diff-histogram.UU-UD-DU-DD].csv 
pair	USDJPY
timeframe	H1
start	2017.08.18 14:00
end	2019.03.18 02:00
total bars	9723

[20190318_090305 / views.py:11873]
[20190318_090305 / views.py:11613]==============================
average	0.196
max	0.610
min	0.006
variance	0.0141829
std	0.11909
median	0.174

[20190318_090305 / views.py:11635]
[BB-diff-histogram : lo_UU_Z1]==============================
s.n.	e0.dateTime	diff-total
168	2018.06.27 16:00	0.233
169	2018.07.02 04:00	0.172
170	2018.07.03 08:00	0.210
171	2018.07.09 16:00	0.221
172	2018.07.09 17:00	0.122
173	2018.07.09 18:00	0.101
174	2018.07.11 18:00	0.610
175	2018.07.11 19:00	0.473
176	2018.07.11 20:00	0.148
177	2018.07.11 21:00	0.054
178	2018.07.17 13:00	0.226
179	2018.07.17 14:00	0.132
180	2018.07.17 15:00	0.152
181	2018.07.17 16:00	0.170
182	2018.07.19 12:00	0.084
183	2018.07.31 10:00	0.426
184	2018.07.31 16:00	0.427
185	2018.08.06 13:00	0.179
186	2018.08.09 11:00	0.096
187	2018.08.14 09:00	0.248
188	2018.08.21 16:00	0.109
189	2018.08.23 03:00	0.210
190	2018.08.23 04:00	0.117
191	2018.08.23 16:00	0.340
192	2018.08.28 03:00	0.137
193	2018.08.28 04:00	0.136
194	2018.08.29 15:00	0.145
195	2018.08.29 16:00	0.303
196	2018.08.29 17:00	0.349
197	2018.09.04 08:00	0.231
198	2018.09.04 09:00	0.251
199	2018.09.07 15:00	0.207
200	2018.09.07 16:00	0.085
201	2018.09.07 17:00	0.134
202	2018.09.11 03:00	0.326
203	2018.09.13 17:00	0.329
204	2018.09.20 17:00	0.396
205	2018.09.24 22:00	0.102
206	2018.09.24 23:00	0.012
207	2018.09.27 15:00	0.214
208	2018.09.27 16:00	0.221
209	2018.09.27 17:00	0.316
210	2018.09.27 18:00	0.212
211	2018.10.01 01:00	0.077
212	2018.10.01 02:00	0.087
213	2018.10.01 03:00	0.157
214	2018.10.03 17:00	0.259
215	2018.10.03 18:00	0.246
216	2018.10.03 19:00	0.208
217	2018.10.03 23:00	0.167
218	2018.10.16 07:00	0.129
219	2018.10.16 08:00	0.068
220	2018.10.17 21:00	0.212
221	2018.10.17 22:00	0.168
222	2018.10.17 23:00	0.153
223	2018.10.22 08:00	0.134
224	2018.10.22 09:00	0.086
225	2018.10.22 10:00	0.032
226	2018.10.22 11:00	0.080
227	2018.10.22 12:00	0.100
228	2018.10.25 17:00	0.067
229	2018.10.29 13:00	0.206
230	2018.11.02 08:00	0.099
231	2018.11.02 20:00	0.142
232	2018.11.07 23:00	0.006
233	2018.11.08 17:00	0.195
234	2018.11.08 18:00	0.159
235	2018.11.08 23:00	0.051
236	2018.11.12 03:00	0.075
237	2018.11.12 04:00	0.030
238	2018.11.12 07:00	0.188
239	2018.11.13 09:00	0.154
240	2018.11.26 02:00	0.308
241	2018.11.26 03:00	0.259
242	2018.11.27 17:00	0.137
243	2018.11.28 16:00	0.182
244	2018.11.30 19:00	0.107
245	2018.12.03 00:00	0.131
246	2018.12.10 19:00	0.214
247	2018.12.11 17:00	0.140
