[libfx_5.py:464 / 20190731_162632]
fname_Src_Csv	44_5.1_10_rawdata.(AUDJPY).(Period-M15).(NumOfUnits-18000).(Bars-ALL-20190424_184417).20190311_081029.[SLICE-1000].csv
dpath_Src_Csv	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw


[libfx_5.py:584 / 20190731_162632] cntOf_SLs	\280 (0.805)
cntOf_TPs	\68 (0.195)

st_idx	st_pr	cu_idx	cu_pr	e0.price_High	e0.price_Low	exit
78	232	80.118	232	80.126	80.240	80.104	STATUS_POS_EXIT__TP
79	234	80.210	234	80.227	80.228	80.188	STATUS_POS_EXIT__SL
80	236	80.215	236	80.215	80.224	80.180	STATUS_POS_EXIT__SL
81	237	80.221	237	80.221	80.314	80.212	STATUS_POS_EXIT__TP
82	238	80.301	238	80.311	80.335	80.280	STATUS_POS_EXIT__SL
83	240	80.295	240	80.283	80.381	80.274	STATUS_POS_EXIT__TP
84	242	80.381	242	80.381	80.382	80.337	STATUS_POS_EXIT__SL
85	243	80.348	245	80.458	80.466	80.388	STATUS_POS_EXIT__SL
86	247	80.403	247	80.403	80.445	80.354	STATUS_POS_EXIT__SL
87	248	80.447	248	80.447	80.448	80.387	STATUS_POS_EXIT__SL
88	249	80.412	250	80.436	80.485	80.370	STATUS_POS_EXIT__SL
89	252	80.371	252	80.371	80.410	80.333	STATUS_POS_EXIT__SL
90	253	80.371	253	80.371	80.393	80.335	STATUS_POS_EXIT__SL
91	254	80.385	254	80.419	80.430	80.371	STATUS_POS_EXIT__SL
92	256	80.394	256	80.394	80.396	80.355	STATUS_POS_EXIT__SL
93	257	80.374	259	80.387	80.398	80.345	STATUS_POS_EXIT__SL
94	261	80.399	261	80.399	80.399	80.369	STATUS_POS_EXIT__SL
95	262	80.377	266	80.424	80.426	80.383	STATUS_POS_EXIT__SL
96	268	80.408	268	80.408	80.418	80.375	STATUS_POS_EXIT__SL
97	269	80.392	269	80.392	80.402	80.356	STATUS_POS_EXIT__SL
98	270	80.371	272	80.356	80.356	80.321	STATUS_POS_EXIT__SL
99	274	80.331	276	80.332	80.374	80.303	STATUS_POS_EXIT__SL
100	278	80.323	278	80.323	80.401	80.295	STATUS_POS_EXIT__TP
101	279	80.337	279	80.337	80.368	80.302	STATUS_POS_EXIT__SL
102	280	80.368	280	80.368	80.384	80.335	STATUS_POS_EXIT__SL
103	281	80.356	282	80.365	80.383	80.331	STATUS_POS_EXIT__SL
104	284	80.350	287	80.373	80.373	80.321	STATUS_POS_EXIT__SL
105	289	80.337	289	80.337	80.412	80.332	STATUS_POS_EXIT__TP
106	290	80.374	290	80.374	80.375	80.326	STATUS_POS_EXIT__SL
107	291	80.360	291	80.360	80.360	80.295	STATUS_POS_EXIT__SL
108	292	80.325	292	80.325	80.347	80.255	STATUS_POS_EXIT__SL
109	293	80.262	293	80.262	80.275	80.212	STATUS_POS_EXIT__SL
110	294	80.215	294	80.215	80.311	80.204	STATUS_POS_EXIT__TP
111	295	80.292	295	80.292	80.345	80.258	STATUS_POS_EXIT__SL
112	296	80.335	296	80.335	80.339	80.267	STATUS_POS_EXIT__SL
113	297	80.306	298	80.364	80.387	80.333	STATUS_POS_EXIT__SL
114	300	80.387	300	80.409	80.412	80.358	STATUS_POS_EXIT__SL
115	302	80.357	302	80.357	80.360	80.298	STATUS_POS_EXIT__SL
116	303	80.292	303	80.292	80.294	80.260	STATUS_POS_EXIT__SL
117	304	80.285	306	80.317	80.318	80.269	STATUS_POS_EXIT__SL
118	308	80.270	308	80.270	80.271	80.232	STATUS_POS_EXIT__SL
119	309	80.252	309	80.294	80.311	80.243	STATUS_POS_EXIT__SL
120	311	80.265	311	80.263	80.263	80.205	STATUS_POS_EXIT__SL
121	313	80.206	314	80.274	80.274	80.203	STATUS_POS_EXIT__SL
122	316	80.208	317	80.230	80.326	80.229	STATUS_POS_EXIT__TP
123	319	80.317	319	80.317	80.318	80.265	STATUS_POS_EXIT__SL
124	320	80.277	320	80.263	80.267	80.217	STATUS_POS_EXIT__SL
125	322	80.243	323	80.293	80.308	80.247	STATUS_POS_EXIT__SL
126	325	80.259	329	80.329	80.348	80.291	STATUS_POS_EXIT__SL
