[libfx_5.py:464 / 20190731_162632]
fname_Src_Csv	44_5.1_10_rawdata.(AUDJPY).(Period-M15).(NumOfUnits-18000).(Bars-ALL-20190424_184417).20190311_081029.[SLICE-1000].csv
dpath_Src_Csv	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw


[libfx_5.py:584 / 20190731_162632] cntOf_SLs	\280 (0.805)
cntOf_TPs	\68 (0.195)

st_idx	st_pr	cu_idx	cu_pr	e0.price_High	e0.price_Low	exit
340	978	78.555	984	78.650	78.651	78.574	STATUS_POS_EXIT__SL
341	986	78.578	986	78.578	78.585	78.538	STATUS_POS_EXIT__SL
342	987	78.550	987	78.550	78.630	78.545	STATUS_POS_EXIT__TP
343	988	78.624	988	78.624	78.634	78.567	STATUS_POS_EXIT__SL
344	989	78.579	989	78.579	78.641	78.548	STATUS_POS_EXIT__TP
345	990	78.634	990	78.634	78.720	78.604	STATUS_POS_EXIT__TP
346	991	78.714	991	78.714	78.750	78.683	STATUS_POS_EXIT__SL
347	992	78.695	992	78.704	78.725	78.632	STATUS_POS_EXIT__SL
348	994	78.686	997	78.797	78.804	78.761	STATUS_POS_EXIT__SL


