[20190224_132755 / views.py:10080]
s.n.	start	end	UU	UD	DU	DD


[20190224_132757 / views.py:10164]
s.n.	start	end	UU	UD	DU	DD
12019.02.14 00:00	2019.02.14 02:45	3	3
22019.02.13 00:00	2019.02.13 23:45	25	20
32019.02.12 00:00	2019.02.12 23:45	24	27
42019.02.11 00:00	2019.02.11 23:45	20	27
52019.02.08 00:00	2019.02.08 23:45	21	25
62019.02.07 00:00	2019.02.07 23:45	17	24
72019.02.06 00:00	2019.02.06 23:45	24	24
82019.02.05 00:00	2019.02.05 23:45	20	26
92019.02.04 00:00	2019.02.04 23:45	22	27
102019.02.01 00:00	2019.02.01 23:45	31	24
112019.01.31 00:00	2019.01.31 23:45	26	22
122019.01.30 00:00	2019.01.30 23:45	18	27
132019.01.29 00:00	2019.01.29 23:45	23	27
142019.01.28 00:00	2019.01.28 23:45	27	18
152019.01.25 00:00	2019.01.25 23:45	32	21
162019.01.24 00:00	2019.01.24 23:45	22	23
172019.01.23 00:00	2019.01.23 23:45	21	28
182019.01.22 00:00	2019.01.22 23:45	21	26
192019.01.21 00:00	2019.01.21 23:45	22	28
202019.01.18 00:00	2019.01.18 23:45	23	26
212019.01.17 00:00	2019.01.17 23:45	19	22
222019.01.16 00:00	2019.01.16 23:45	26	24
232019.01.15 00:00	2019.01.15 23:45	25	24
242019.01.14 00:00	2019.01.14 23:45	18	26
252019.01.11 00:00	2019.01.11 23:45	17	28
262019.01.10 00:00	2019.01.10 23:45	31	25
272019.01.09 00:00	2019.01.09 23:45	22	24
282019.01.08 00:00	2019.01.08 23:45	16	25
292019.01.07 00:00	2019.01.07 23:45	25	24
302019.01.04 00:00	2019.01.04 23:45	31	23
312019.01.03 00:00	2019.01.03 23:45	26	20
322018.12.28 00:00	2018.12.28 23:45	20	26
332018.12.27 00:00	2018.12.27 23:45	27	27
342018.12.26 00:15	2018.12.26 23:45	24	22
352018.12.25 00:00	2018.12.25 07:45	4	6
362018.12.24 00:00	2018.12.24 23:45	19	26
372018.12.21 00:00	2018.12.21 23:45	18	24
382018.12.20 00:00	2018.12.20 23:45	16	25
392018.12.19 00:00	2018.12.19 23:45	22	26
402018.12.18 00:00	2018.12.18 23:45	19	24
412018.12.17 00:00	2018.12.17 23:45	19	24
422018.12.14 00:00	2018.12.14 23:45	24	25
432018.12.13 00:00	2018.12.13 23:45	30	26
442018.12.12 00:00	2018.12.12 23:45	30	21
452018.12.11 00:00	2018.12.11 23:45	19	23
462018.12.10 02:00	2018.12.10 23:45	26	21
472018.12.07 00:00	2018.12.07 23:45	24	26
482018.12.06 00:00	2018.12.06 23:45	18	27
492018.12.05 09:45	2018.12.05 23:45	15	15


