[20190318_083041 / views.py:11855]==============================
fname_Src_CSV	44_5.1_10_rawdata.(AUDJPY).(Period-H1).(NumOfUnits-8000).(Bars-ALL-20190311_090135).20190311_090020.csv
slice by	through
this file	(20190318_083040).(AUDJPY-H1).[sec-1.A-5.BB-diff-histogram.UU-UD-DU-DD].csv 
pair	AUDJPY
timeframe	H1
start	2017.11.21 10:00
end	2019.03.11 03:00
total bars	8000

[20190318_083041 / views.py:11873]
[20190318_083041 / views.py:11613]==============================
average	0.196
max	0.903
min	0.016
variance	0.0183726
std	0.13555
median	0.165

[20190318_083041 / views.py:11635]
[BB-diff-histogram : lo_UU_Z1]==============================
s.n.	e0.dateTime	diff-total
168	2019.01.10 17:00	0.261
169	2019.01.15 02:00	0.286
170	2019.01.15 03:00	0.146
171	2019.01.15 04:00	0.087
172	2019.01.23 05:00	0.090
173	2019.01.25 15:00	0.256
174	2019.01.25 16:00	0.158
175	2019.01.30 02:00	0.230
176	2019.01.30 05:00	0.089
177	2019.02.01 17:00	0.332
178	2019.02.01 18:00	0.192
179	2019.02.05 05:00	0.479
180	2019.02.12 03:00	0.193
181	2019.02.12 04:00	0.103
182	2019.02.13 03:00	0.366
183	2019.02.13 04:00	0.262
184	2019.02.14 07:00	0.073
185	2019.02.14 08:00	0.109
186	2019.02.19 17:00	0.244
187	2019.02.19 18:00	0.291
188	2019.02.19 19:00	0.200
189	2019.02.19 20:00	0.082
190	2019.02.25 01:00	0.160
191	2019.02.25 12:00	0.147
192	2019.03.01 09:00	0.119
193	2019.03.01 11:00	0.146
194	2019.03.01 12:00	0.124
195	2019.03.01 13:00	0.065
