[20190322_082846 / views.py:12006]==============================
fname_Src_CSV	44_5.1_10_rawdata.(EURJPY).(Period-M15).(NumOfUnits-4500).(Bars-ALL-20190307_102535).20190214_095445.csv
slice by	through
this file	(20190322_082845).(EURJPY-M15).[sec-1.A-5.BB-diff-histogram.UU-UD-DU-DD].csv 
pair	EURJPY
timeframe	M15
start	2018.11.09 03:30
end	2019.03.07 02:45
total bars	7691

[20190322_082846 / views.py:12024]
[20190322_082846 / views.py:11753]==============================
average	0.125
max	0.506
min	0.018
variance	0.0076485
std	0.08746
median	0.104

[20190322_082846 / views.py:11775]
[BB-diff-histogram : lo_UU_Z1]==============================
s.n.	e0.dateTime	diff-total	std score
1	2018.11.13 05:15	0.364	77.30
2	2018.11.13 05:30	0.236	62.66
3	2018.11.13 05:45	0.095	46.54
4	2018.11.13 17:45	0.342	74.78
5	2018.11.14 01:00	0.180	56.26
6	2018.11.14 15:00	0.182	56.49
7	2018.11.14 15:15	0.118	49.17
8	2018.11.15 20:15	0.490	91.71
9	2018.11.15 21:15	0.216	60.38
10	2018.11.21 03:15	0.158	53.74
11	2018.11.21 03:30	0.039	40.14
12	2018.11.21 03:45	0.044	40.71
13	2018.11.21 08:45	0.118	49.17
14	2018.11.21 09:00	0.069	43.57
15	2018.11.21 09:15	0.091	46.08
16	2018.11.21 10:00	0.145	52.26
17	2018.11.21 14:45	0.149	52.71
18	2018.11.22 12:15	0.107	47.91
19	2018.11.23 03:15	0.018	37.74
20	2018.11.26 03:15	0.136	51.23
21	2018.11.26 03:30	0.164	54.43
22	2018.11.26 03:45	0.090	45.97
23	2018.11.26 04:00	0.056	42.08
24	2018.11.26 10:00	0.194	57.86
25	2018.11.28 07:15	0.063	42.88
26	2018.11.28 19:45	0.204	59.00
27	2018.11.28 20:00	0.172	55.34
28	2018.12.03 17:15	0.105	47.68
29	2018.12.06 09:00	0.237	62.78
30	2018.12.07 05:00	0.055	41.97
31	2018.12.07 05:15	0.049	41.28
32	2018.12.07 05:30	0.052	41.62
33	2018.12.10 07:15	0.061	42.65
34	2018.12.10 07:30	0.058	42.31
35	2018.12.10 09:15	0.168	54.89
36	2018.12.10 15:00	0.131	50.66
37	2018.12.11 13:45	0.078	44.60
38	2018.12.12 02:15	0.158	53.74
39	2018.12.13 04:00	0.053	41.74
40	2018.12.13 09:30	0.040	40.25
41	2018.12.13 09:45	0.104	47.57
42	2018.12.13 10:00	0.140	51.69
43	2018.12.17 03:00	0.051	41.51
44	2018.12.18 10:00	0.089	45.85
45	2018.12.18 10:15	0.104	47.57
46	2018.12.19 09:15	0.193	57.75
47	2018.12.19 16:45	0.151	52.94
48	2018.12.19 17:00	0.035	39.68
49	2018.12.19 17:15	0.069	43.57
50	2018.12.20 11:00	0.385	79.70
51	2018.12.20 11:15	0.125	49.97
52	2018.12.26 02:30	0.149	52.71
53	2018.12.26 19:00	0.205	59.12
54	2018.12.27 21:45	0.179	56.15
55	2018.12.27 22:00	0.091	46.08
56	2018.12.27 22:15	0.147	52.49
57	2019.01.03 09:15	0.506	93.54
58	2019.01.03 18:30	0.492	91.93
59	2019.01.04 04:15	0.183	56.60
60	2019.01.04 04:30	0.058	42.31
61	2019.01.04 04:45	0.117	49.06
62	2019.01.04 05:00	0.211	59.80
63	2019.01.04 05:15	0.144	52.14
64	2019.01.04 17:15	0.408	82.33
65	2019.01.07 15:30	0.124	49.86
66	2019.01.07 15:45	0.092	46.20
67	2019.01.09 01:15	0.094	46.43
68	2019.01.09 01:30	0.024	38.42
69	2019.01.09 01:45	0.091	46.08
70	2019.01.09 09:00	0.226	61.52
71	2019.01.09 16:30	0.391	80.39
72	2019.01.11 03:30	0.094	46.43
73	2019.01.11 09:00	0.090	45.97
