[20190325_180708 / views.py:13410]
fname_Src_CSV	44_5.1_10_rawdata.(USDJPY).(Period-M5).(NumOfUnits-50000).(Bars-ALL-20190322_165334).20190322_165012.csv
slice by	through
this file	(20190325_180701).(USDJPY-M5).[sec-1.A-6.3-seq].(20190325_180708).csv
pair	USDJPY
timeframe	M5
start	2018.06.19 20:55
end	2019.03.22 10:50
bars	50000

[20190325_180709 / views.py:13479]
[lo_UUU]==============================
s.n.	e0.date	e1.date	e2.date	e0.diff	e1.diff	e2.diff
63	2018.06.21 12:20	2018.06.21 12:25	2018.06.21 12:30	0.018	0.040	0.001
64	2018.06.21 12:25	2018.06.21 12:30	2018.06.21 12:35	0.040	0.001	0.026
65	2018.06.21 13:45	2018.06.21 13:50	2018.06.21 13:55	0.008	0.056	0.072
66	2018.06.21 13:50	2018.06.21 13:55	2018.06.21 14:00	0.056	0.072	0.029
67	2018.06.21 14:50	2018.06.21 14:55	2018.06.21 15:00	0.000	0.006	0.005
68	2018.06.21 14:55	2018.06.21 15:00	2018.06.21 15:05	0.006	0.005	0.031
69	2018.06.21 15:00	2018.06.21 15:05	2018.06.21 15:10	0.005	0.031	0.013
70	2018.06.21 16:45	2018.06.21 16:50	2018.06.21 16:55	0.030	0.009	0.002
71	2018.06.21 18:10	2018.06.21 18:15	2018.06.21 18:20	0.002	0.033	0.019
72	2018.06.21 18:15	2018.06.21 18:20	2018.06.21 18:25	0.033	0.019	0.003
73	2018.06.21 19:10	2018.06.21 19:15	2018.06.21 19:20	0.014	0.014	0.007
74	2018.06.21 19:15	2018.06.21 19:20	2018.06.21 19:25	0.014	0.007	0.009
75	2018.06.21 20:30	2018.06.21 20:35	2018.06.21 20:40	0.007	0.003	0.018
76	2018.06.21 22:40	2018.06.21 22:45	2018.06.21 22:50	0.013	0.017	0.033
77	2018.06.21 22:45	2018.06.21 22:50	2018.06.21 22:55	0.017	0.033	0.032
78	2018.06.21 23:15	2018.06.21 23:20	2018.06.21 23:25	0.001	0.000	0.000
79	2018.06.21 23:45	2018.06.21 23:50	2018.06.21 23:55	0.000	0.002	0.000
80	2018.06.22 00:50	2018.06.22 00:55	2018.06.22 01:00	0.012	0.022	0.014
81	2018.06.22 00:55	2018.06.22 01:00	2018.06.22 01:05	0.022	0.014	0.032
82	2018.06.22 01:00	2018.06.22 01:05	2018.06.22 01:10	0.014	0.032	0.003
83	2018.06.22 01:05	2018.06.22 01:10	2018.06.22 01:15	0.032	0.003	0.001
84	2018.06.22 01:55	2018.06.22 02:00	2018.06.22 02:05	0.010	0.015	0.010
85	2018.06.22 02:00	2018.06.22 02:05	2018.06.22 02:10	0.015	0.010	0.000
86	2018.06.22 02:05	2018.06.22 02:10	2018.06.22 02:15	0.010	0.000	0.016
87	2018.06.22 02:25	2018.06.22 02:30	2018.06.22 02:35	0.002	0.010	0.014
88	2018.06.22 02:30	2018.06.22 02:35	2018.06.22 02:40	0.010	0.014	0.000
89	2018.06.22 02:35	2018.06.22 02:40	2018.06.22 02:45	0.014	0.000	0.010
90	2018.06.22 02:40	2018.06.22 02:45	2018.06.22 02:50	0.000	0.010	0.002
91	2018.06.22 04:35	2018.06.22 04:40	2018.06.22 04:45	0.011	0.031	0.008
92	2018.06.22 06:45	2018.06.22 06:50	2018.06.22 06:55	0.000	0.014	0.004
93	2018.06.22 07:05	2018.06.22 07:10	2018.06.22 07:15	0.001	0.020	0.009
94	2018.06.22 07:10	2018.06.22 07:15	2018.06.22 07:20	0.020	0.009	0.010
95	2018.06.22 07:15	2018.06.22 07:20	2018.06.22 07:25	0.009	0.010	0.020
96	2018.06.22 09:05	2018.06.22 09:10	2018.06.22 09:15	0.005	0.000	0.028
97	2018.06.22 09:10	2018.06.22 09:15	2018.06.22 09:20	0.000	0.028	0.001
98	2018.06.22 10:00	2018.06.22 10:05	2018.06.22 10:10	0.117	0.093	0.055
99	2018.06.22 11:05	2018.06.22 11:10	2018.06.22 11:15	0.008	0.008	0.018
100	2018.06.22 11:10	2018.06.22 11:15	2018.06.22 11:20	0.008	0.018	0.016
101	2018.06.22 12:25	2018.06.22 12:30	2018.06.22 12:35	0.008	0.005	0.006
102	2018.06.22 12:30	2018.06.22 12:35	2018.06.22 12:40	0.005	0.006	0.019
103	2018.06.22 13:20	2018.06.22 13:25	2018.06.22 13:30	0.004	0.018	0.021
104	2018.06.22 13:25	2018.06.22 13:30	2018.06.22 13:35	0.018	0.021	0.011
105	2018.06.22 14:10	2018.06.22 14:15	2018.06.22 14:20	0.000	0.001	0.003
106	2018.06.22 14:15	2018.06.22 14:20	2018.06.22 14:25	0.001	0.003	0.015
107	2018.06.22 16:00	2018.06.22 16:05	2018.06.22 16:10	0.017	0.000	0.000
108	2018.06.22 16:05	2018.06.22 16:10	2018.06.22 16:15	0.000	0.000	0.030
109	2018.06.22 18:35	2018.06.22 18:40	2018.06.22 18:45	0.008	0.018	0.020
110	2018.06.22 20:25	2018.06.22 20:30	2018.06.22 20:35	0.029	0.001	0.011
111	2018.06.22 22:05	2018.06.22 22:10	2018.06.22 22:15	0.006	0.010	0.000
